CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
MWG,2024,4,1035471253998,806163942588,66918985373,-141025314729,0,-627238602343,323470486929,0,1463760751816,38470643956,-454321055722,-325910980822,-6332644201,-307080568328,-280150639769,0,0,128435506930,-62842918607,7320550676,-19208764699749,10647198693834,0,-1777389076956,2376478611267,-8017998839535,0,-4311790000,20459240811095,-17420567788704,0,0,0,3034361232391,-4855202100214,9752339611719,194029225,4897331540730
MWG,2024,3,1068045400607,709538513762,80430663127,20090137067,0,-283114817875,303696061820,0,1898685958508,325328320498,-892284242431,193484688240,33370603157,-320504510983,-316590960701,0,0,921489856288,-192924283078,13744481224,-7206863787201,9836218769118,0,1777389076956,-1354529919662,2873034337357,-6870914127,0,18966926966123,-18047655601891,0,-730957694000,0,181442756105,3975966949750,5776462799036,-90137067,9752339611719
MWG,2024,2,1516043093292,678485705848,10720119998,44786364809,0,-299454082517,243089634104,0,2193670835534,-245714153459,-559392776703,1703772577621,35334158153,-238666474463,-263393323126,0,0,2625610843557,-25473845353,23100009043,-12886534558449,10309832935985,0,0,834079917131,-1744995541643,5139612188,-3287890000,17221762086009,-17898483015502,0,0,0,-674869207305,205746094609,5570878069236,-161364809,5776462799036
MWG,2024,1,1206203265181,719230919285,62882883093,101838393807,0,-519356600752,266979946895,0,1837778807509,33120379966,1269070160551,2010460439610,65416753793,-275269986960,-98780054502,0,0,4841796499967,-22506780357,10496649248,-12857087949196,7496014988027,0,0,519757465681,-4853325626597,1773365640481,-1542110000,18108349216306,-19663632014286,0,0,0,216540732501,205011605871,5365704857172,161606193,5570878069236
MWG,2023,4,218925223312,701829297877,-21011530774,85793314830,0,-303257759051,329035164103,0,1011313710297,262612129132,1191190239280,-669304754250,-42518101861,-476120279595,-110460524384,0,0,1166712418619,84459988182,17874623315,-8000132052985,7486489366384,-105597412729,-850176017298,1113823997114,-253257508017,443220000,-2116340000,23386416925825,-21284493416508,0,0,0,2100250389317,3013705299919,2351917872085,81685168,5365704857172
MWG,2023,3,182016087121,1006840609129,-55178311258,-266996700,0,-475018894506,438383487662,0,1096775981448,-90022700555,-923986300505,-844627371226,61107528212,-349433316401,-96410133566,0,0,-1146596312593,-169717571299,4417187838,-6816046278337,6893118919183,0,850176017298,-663292796669,98655478014,0,-2880000,19130672654158,-18441337404711,0,-731280023500,0,-41947654053,-1089888488632,3441539364017,266996700,2351917872085
MWG,2023,2,129784475802,795750255130,-37738373012,-1841689564,0,-448139684846,384520976326,0,822335959836,-624212470029,-888833114986,430844019003,35167611010,-339659697858,-94302291722,0,0,-658659984746,-128149054360,6501879697,-7874531089794,3923745742332,0,0,374001057554,-3698431464571,0,-6752960000,16605054559487,-11580877676096,0,0,0,5017423923391,660332474074,2781240200379,-33310436,3441539364017
MWG,2023,1,158966581661,876110565119,-52001853088,-53356364,0,-311890462234,295778726706,0,966910201800,1127422344569,4790660933684,-2055474905901,76243066094,-270518576762,-560759008694,0,0,4074484054790,-309976693317,2370099800,-11460664759521,4501761434555,0,0,288135716115,-6978374202368,0,-911100000,11251588904100,-10626621359930,0,0,0,624056444170,-2279833703408,5061020547422,53356365,2781240200379
MWG,2022,4,933378274121,996662347576,-49620584491,727903727,0,-142998803578,361070284056,0,2099219421411,628813223031,3035187850019,1015673176217,12788014601,-458462850797,-401192432121,0,0,5932026402361,-1619369846398,187066778,-5710336019828,5459274776982,0,0,172344521478,-1697899500988,0,-1751430000,12114645490505,-18350737810831,0,0,0,-6237843750326,-2003716848953,7065242844865,-505448490,5061020547422
MWG,2022,3,1417840145809,866076773120,-92845447932,-300485553,0,-49640153073,434637150382,0,2575767982753,-733148082079,-341263128961,294908791756,-34183400669,-312130317515,-423379365487,0,0,1026572479798,-885442520448,1917253574,-2926240072148,6242654791180,0,0,229969106876,2662858559034,718670000,-1577710000,18829462135076,-18350921127634,0,0,0,477681967442,4167113006274,2897829353037,300485554,7065242844865
MWG,2022,2,1702143324153,861860467800,-146189157450,1014786880,0,14102508960,365962737941,0,2798894668284,-649794460344,4482194324656,-1449498903922,-61914730658,-344797078919,-428217834535,0,0,4346865984562,-1244895758042,811010594,-3546481722220,2955561256420,-181034840000,0,183806957608,-1832233095640,0,-1696500000,14263849962306,-16405339484869,0,-731854815000,0,-2875040837563,-360407948641,3259252088558,-1014786880,2897829353037
MWG,2022,1,2002993629475,857825230333,-33144177011,-1157830640,0,-210295952505,200473736724,0,2816694636376,102890289514,-3384181624681,-2147725823212,-10187588939,-206990862173,-552551212191,0,0,-3382052185306,-661851560501,1302110694,-8616076251135,11194475246487,0,0,551422035595,2469271581140,191909700000,0,20043690263194,-20206740863665,0,0,0,28859099529,-883921504637,4142015762555,1157830640,3259252088558
MWG,2021,4,2049913129681,797527199280,46876943689,781227162,0,-278251369537,187425447131,0,2804272577406,-894059069792,-7662556523028,4436729980940,-99678153658,-130736394960,-716369614985,0,0,-2262397198077,-1300736120722,223007860,-13953916755014,12386420318306,0,0,280060375002,-2587949174568,0,-722670000,19549452019415,-12967000535166,0,-1883709063,0,6579845105186,1729498732541,3215215954814,-781227162,4943933460193
MWG,2021,3,968131160753,748163282149,204477834995,-874832730,0,-242887862149,163932694294,0,1840942277312,469670301191,640212077697,-1218069153970,105873060173,-191674504122,-4587601471,0,0,1642366456810,-1321898067106,447177723,-541782080476,1817097525622,0,0,270835159788,224699715551,0,-390350000,12408461378259,-15440946869791,0,-237635732000,0,-3270511573532,-1403445401171,4617786523255,874832730,3215215954814
MWG,2021,2,1625970525968,719003729709,-20334657221,5598581,0,-231539753959,169881589077,0,2262987032155,-342419130884,867238203561,267013561680,-28628925286,-161078455291,-365088720091,0,0,2500023565844,-1451652365381,-1581240217,-4733651106847,3456573237675,0,0,46987903575,-2683323571195,93069700000,-838570000,18996257010816,-16491348228126,0,0,0,2597139912690,2413839907339,2203952214497,-5598581,4617786523255
MWG,2021,1,1827568934141,656019397272,-51469404286,-58647007,0,-206163553318,152706974017,0,2378603700819,-199360289145,-3781705226133,303730516143,-12846458946,-100684597506,-447056186260,0,0,-1859318541028,-889596825490,2018075304,-5884311709591,1194263057536,0,0,321964678028,-5255662724213,135183330000,-368410000,12982037839460,-11145835324654,0,0,0,1971017434806,-5143963830435,7347857397925,58647007,2203952214497
