CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
MWG,2024,4825763013078,2913419081483,220952651591,25689580954,0,-1729164103487,1137236129748,0,7393896353367,151205190961,-636927914305,3581806724649,127788870902,-1141521540734,-958914978098,0,0,8517332706742,-303747827395,54661690191,-52159250994595,38289265386964,0,0,2375786074417,-11743285670418,1771634338542,-9141790000,74756279079533,-73030338420383,0,-730957694000,0,2757475513692,-468477449984,5365704857172,104133542,4897331540730
MWG,2023,689692367896,3351314267883,-165930068132,83631272202,0,-1509203341265,1447718354797,0,3897222853381,672440536688,4169031757473,-3136706601092,130000103455,-1435731870616,-860429603219,0,0,3435827176070,-523383330794,31276790650,-34151374180637,22805115462454,-105597412729,0,1112667974114,-10831294696942,443220000,-9783280000,70373733043570,-61933329857245,0,-731280023500,0,7699783102825,304315581953,5061020547422,368727797,5365704857172
MWG,2022,6056355373558,3540324726294,-321799366884,284374414,0,-348599792355,1362143909103,0,10288709224130,-588827639446,3791937421033,-2286756979213,-101041271147,-1322381109404,-1805340844308,0,0,7976298801645,-4465359523505,5331159526,-20799334065331,25851966071069,-181034840000,0,1137542621557,1549111423316,192628370000,-5025640000,65251647851081,-73313739286999,0,-731854815000,0,-8606343520918,919066704043,4142015762555,-61919176,5061020547422
MWG,2021,6471583750543,2920713608410,179550717177,-146653994,0,-959323580633,674427746189,0,9286805587692,-827596105467,-9923705315353,3781614904801,-27490477725,-585136035219,-1533102122807,0,0,171390435922,-4976876590016,1107020670,-19225219180045,12163993969618,-16385001737,796626468011,1883709063,-11254869604436,228253030000,-2320000000,63936208247950,-56045130957737,0,-239519441063,0,7877490879150,-3205988289364,7347857397925,146653994,4142015762555
MWG,2020,5409735407353,2195583071035,58366659386,-36874578,0,-557627148536,594003821021,0,7700024935681,850493238036,6269571171519,-1894206905085,-75119169600,-563748612045,-1494585439732,0,0,10792429218774,-3911358160002,2018075304,-11512468958904,6512150136986,0,0,335398013989,-8574260892627,105200450000,-6040930000,51168161383884,-48573996682152,0,-678908841000,0,2014415380732,4232583706879,3115236816468,36874578,7347857397925
MWG,2019,5053447204696,1442826938954,90495782206,-27160364,0,-341194613832,568136717134,0,6813684868794,-675979882201,-8374797030131,2823942311184,-227805034461,-537997464046,-1092128547184,0,-15000000000,-1286080778045,-3066921164140,1290807344,-8997469863015,5911392314754,0,0,278946264804,-5872761640253,90454820000,-4850060000,45905952301242,-38801961791867,0,-665093453185,0,6524501816190,-634340602108,3749550258212,27160364,3115236816468
MWG,2018,3786318568918,1222868683717,126083626828,-107059306,0,-84857279584,436416577674,0,5486723118247,1246646823981,-4672944194460,1331042865781,126753313780,-427564376510,-829523019750,0,0,2261134531069,-1495931919038,1339965525,-85922451739,0,-828166470141,0,64286835061,-2344394040332,705355067201,-729700000,31893805156672,-31690848740269,0,-485862426828,0,421719356776,338459847513,3410983351393,107059306,3749550258212
MWG,2017,2809312032646,689713708632,125969042598,911764559,0,-35336741307,233202340492,0,3823772147620,-1322949244960,-2796297892101,3970336761157,-96805747662,-223723867627,-690668199572,0,0,2663663956855,-2065069567410,180000000,-210280000000,125580000000,0,0,29374580928,-2120214986482,92466480000,0,29465789268692,-27456000269116,0,-231718927130,0,1870536552446,2413985522819,996983462012,14366562,3410983351393
MWG,2016,2005914114923,386634522356,78431491258,-91382580,0,2261763,119645695306,0,2590536703026,-989517728630,-4503949077200,3124564571480,-164867267201,-112394627462,-530854203913,0,0,-586481629900,-1278788918537,951588323,0,0,0,0,1799386697,-1276037943517,0,-315300000,19961551061988,-17225505287912,0,-220130282800,0,2515600191276,653080617859,343872968705,29875448,996983462012
MWG,2015,1385783787694,197056011824,32187455819,-138916487,0,-856415030,38893852014,0,1652925775834,-476685311770,-2756191562693,1235357266488,-63386564833,-37442521379,-196048457727,0,0,-641471376080,-586517897472,0,0,0,-72239580000,0,913660286,-657843817186,0,-2153900000,8129261915021,-6695006247613,0,-1834225628,0,1430267541780,130952348514,212920620191,0,343872968705
