CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
MWG,2024,0.1341135220353486,135225101298992,3721868441661,21.197661610378155,2376502605263,-1137236129748,135225101298992,-883948450190,134341152848802,-106841942771781,27499210077021,-1188465609510,-44596454899,-19849837609882,-3565767583102,5227045424891,25743895664,0,-427026307477,-401282411813,4825763013078,-1282537116919,190062332561,3733288228720,11419787059,3721868441661
MWG,2023,-0.11496292698764089,119234184825086,167669392704,-0.9591026623765085,2166963715091,-1447718354797,119234184825086,-954396369644,118279788455442,-95759175291712,22520613163730,-1556146106982,0,-20916710755306,-1167651662536,1047068353997,36883419051,0,-394259405152,-357375986101,689692367896,-433257176515,-88606036442,167829154939,159762235,167669392704
MWG,2022,0.08523113550283798,134722248887557,4099763027305,-0.16312054997420844,1313137304323,-1362143909103,134722248887557,-1317471297033,133404777590524,-102542735094343,30862042496181,-1382620454532,0,-22336838067678,-1881027579714,6574693698580,61606712681,0,-579945037703,-518338325022,6056355373558,-1792998810102,-161642138517,4101714424939,1951397634,4099763027305
MWG,2021,0.13060207891335165,124141525689948,4898869278220,0.2504235956195219,1287956026163,-674427746189,124141525689948,-1183419586774,122958106103174,-95325974107640,27632131995534,-714707225745,-2210500486,-17914173302345,-3823390074765,6465606918356,54872797433,0,-48895965246,5976832187,6471583750543,-1632975695694,62818619041,4901426673890,2557395670,4898869278220
MWG,2020,0.06103497289034607,109801253690656,3917767783159,0.021776830003072418,794121782667,-594003821021,109801253690656,-1255234025244,108546019665412,-84591522392949,23954497272463,-594151513751,-3706939471,-15333798830787,-3404431838167,5412529932954,43512695471,0,-46307221072,-2794525601,5409735407353,-1598413821219,108551123373,3919872709507,2104926348,3917767783159
MWG,2019,0.17947297268445386,103485046672447,3834269547047,0.3319336527872173,631177854351,-568136717134,103485046672447,-1310802695724,102174243976723,-82686444673012,19487799303711,-569754844844,-3473283371,-12437282718212,-2073782880058,5034683431577,41557041541,0,-22793268422,18763773119,5053447204696,-1248353081834,31145964165,3836240087027,1970539980,3834269547047
MWG,2018,0.2960158090359154,87738378978636,2878724130908,0.3051415496636928,342083875229,-436416577674,87738378978636,-1222091976137,86516287002499,-71224159239435,15292127763064,-436573150236,-2100986885,-9659741188756,-1761613900080,3774182412336,33233337382,0,-21097180799,12136156583,3786318568919,-933836738446,27827229661,2880309060134,1584929226,2878724130908
MWG,2017,0.48420451140277837,67698540686709,2205679630420,0.3983252107045313,250509808127,-233202340492,67698540686709,-1358736494531,66339804192178,-55198024925235,11141779266943,-234286596275,0,-7017061321366,-1345497381559,2795443775870,17684643400,0,-3816386624,13868256776,2809312032646,-639743605453,37328692156,2206897119349,1217488929,2205679630420
MWG,2016,0.7966183792280618,45612676802016,1577372426339,0.4715756722024189,135327700732,-119645695306,45612676802016,-999344129028,44613332672988,-37399226360426,7214106312562,-120085861346,0,-4287696260226,-934776941124,2006874950598,31129990083,0,-32090825758,-960835675,2005914114923,-495800545472,68137051386,1578250620837,878194498,1577372426339
MWG,2015,0.6031214444892155,25388072018730,1071893519399,0.6043763539445716,80985820413,-38893852014,25388072018730,-135338939486,25252733079244,-21330302185370,3922430893874,-40666093756,0,-2351094719997,-249315306535,1362340593999,25192750122,0,-1749556427,23443193695,1385783787694,-312610960322,2598402071,1075771229443,3877710044,1071893519399
MWG,2014,0.6592363558570074,15836649248254,668106031832,1.6138605766745002,71335314202,-21261415761,15836649248254,-79923391578,15756725856676,-13360606457365,2396119399311,-21291413996,0,-1349301070370,-240543267438,856318961709,15118039591,0,-3239558206,11878481385,868197443094,-203799232655,9346006165,673744216604,5638184772,668106031832
MWG,2013,,9544540892171,255601250424,,29466115268,-26535371431,9544540892171,-45691574828,9498849317343,-8091484102566,1407365214777,-26843253776,0,-935793711279,-125646424308,348547940682,10158134968,0,-7918446086,2239688882,350787629564,-92541582226,222806148,258468853486,2867603062,255601250424
