Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
MWG,2024,5,0.9707935971,1.5047591094,0.12754009800056912,1.923179265555386,2.0580952675,26.6371155731,0.7470015745026924,76.3473919619,29.2204889233,106.31488245970269,4.7807788926,0.030397274382727733,0.20469684451770898,0.027704604008050165,0.1456594136,0.0736822541,0.0570187144,6997023965520,4083604884037,0.0,1.5558208047,0.1157318395,0.324301996,-3.5908152908770896,2.5047591094484067,87442201784600,1462244177,23.4941678233,3.150212549,0.650896616,10.2663832441,2545.312540958062,18982.8460998939,15.6988338909
MWG,2023,5,1.3313197904,1.5733037113,0.2782644953300347,1.5975141727193214,2.0402682121,14.5775724924,0.7507010968187319,91.6449403269,31.7755839494,124.17122537311873,3.9827621547,0.0036882949452715927,0.1904011958240346,0.0014175658825020972,0.0070949803,0.008999806,0.0028922146,3787565013771,436250745888,0.0081967213,1.6886038681,0.1744079121,0.3420922822,-0.3013367513387446,2.5733037113447628,89265979676000,1463376716,532.3928132404,3.8235834668,0.7547018881,25.9809283475,114.57705378988688,15953.6206102011,28.7820977964
MWG,2022,5,0.9397497974000001,1.3329742165,0.40645439374336434,1.6367021249950924,2.2457676978,13.7710490349,0.7692331304702456,99.5023833696,37.2422520268,137.51386852687023,3.6682538412,0.0498046394498914,0.23134135863491886,0.030731755648878756,0.185155743,0.1639648029,0.0690163841,10184501575083,6644176848789,0.011682243,1.7145059397,0.1946526592,0.3100675433,-4.877734873963742,2.3329742164690694,62654033184000,1463879280,15.2823548012,2.6195267521,0.4696535935,7.8550258387,2800.615517493355,16338.8291283459,7.2838519118
MWG,2021,5,1.2094993003,2.0901287979,0.4734052613411824,1.3936281176824272,2.2560647488,14.5150700873,0.861799058454369,95.2961559895,40.0279121083,136.18586715625435,3.8301649863,0.04793965038366706,0.22472802217974885,0.03984177565413512,0.2732224229,0.1309155874,0.0898856256,8815282226834,5894568618424,0.0233100233,1.2198028795,0.0972460338,0.1714861714,-8.740103964779824,3.0901287979062517,30590509735500,713065495,6.2444021259,1.5020080998,0.2487880686,178.4843452375,6870.1533205165115,28561.7634188708,5.7962940876
MWG,2020,5,1.1548179710000002,1.9732464872,0.47119931599826226,1.0587622840252897,2.474294213,17.0955592699,0.7711566118575904,99.5054726414,44.8389928554,145.1156221086576,3.6681399556,0.04805580729342169,0.22068517432791743,0.03609315012411634,0.2836364007,0.1618272612,0.0893050725,7411849674544,5216266603509,0.0036791759,1.2683224378,0.2497358838,0.3039546038,-8.781537119648576,2.973246487240703,61591237233300,453209987,15.7210025306,3.9807140819,0.5674205044,5.7068928584,8644.486872613865,34139.6033989119,9.5786126192
MWG,2019,5,1.257888828,2.4345764315,0.4449899916298127,0.8304763585564273,2.9263447378,23.3890637924,1.1285737404260687,97.1515431548,44.8048040398,143.08492093502605,3.7570170081,0.048708299780273225,0.19073103499694744,0.037526771892929404,0.3629798028,0.1892528449,0.1098162715,6419560644395,4976733705441,0.0117370892,1.230976919,0.1095280449,0.1733443083,-8.759746651380734,3.4345764315338303,56685201548400,443546178,14.7838332316,4.6709053315,0.5547895374,-44.0759262685,8644.578033196354,27360.8628158194,10.5494940807
MWG,2018,5,0.9187082777000001,2.1306268371,0.3710491539505113,0.6143320980612118,3.3964453688,25.4579257963,3.799821712207857,77.2058884304,40.0181138621,121.02382400470785,4.7276186755,0.04474039291718788,0.17675432329432134,0.033273782667358906,0.3866147561,0.2415058326,0.113012585,5093641357945,3870772674228,0.0117370892,1.3035545938,0.2091282116,0.2951615923,-8.869444636723765,3.1306268370932364,56678811548400,443496178,19.6888652649,6.3139315402,0.6551230238,25.06653663,6490.978442903289,20240.9543381071,11.7742649812
MWG,2017,5,1.3544568117,2.8624111293,0.5861748243570236,0.4040991530797527,3.5215081847,23.864164968,4.608567165737009,72.1549255375,39.8514532048,116.61494590803701,5.0585597211,0.041893710689391704,0.16795013796945615,0.03324820833101083,0.4524343863,0.2186235748,0.1170838378,3468934272650,2779220564018,0.0117370892,1.2003998675,0.2170690807,0.3930828518,-11.917635809977392,3.8624111292971253,40511122248600,316988437,18.3667300046,6.85915364,0.6106608656,15.2087961938,6958.233717591408,18632.036357099,12.6562149732
MWG,2016,5,1.2466924686,2.8669304686,0.5456732744897502,0.2627028909934924,4.0337505705,30.2948684601,1.3105420899442344,70.8708324834,32.4569325216,104.63830709494422,5.150214654,0.044642105664028826,0.16170292332654895,0.03535652532172407,0.4987809543,0.2307708532,0.1426194042,2378267633568,1991633111212,0.0117370892,1.115821742,0.0905286494,0.218618632,-16.646090827741826,3.8669304686327735,19674928470600,153950927,12.4732296204,5.124958265,0.4410100589,-33.5473908602,10245.94302273347,24936.7884365451,9.8672396765
