time,open,high,low,close,volume
2023-09-11 10:00:00,37.55,38.4,37.55,38.16,1001300
2023-09-11 11:00:00,38.16,38.16,37.92,38.02,82300
2023-09-11 13:00:00,38.02,38.21,37.74,38.07,444600
2023-09-11 14:00:00,38.07,38.11,37.69,37.69,513600
2023-09-12 10:00:00,37.78,37.83,37.69,37.74,191000
2023-09-12 11:00:00,37.74,37.74,37.69,37.74,37400
2023-09-12 13:00:00,37.74,37.74,37.55,37.64,149800
2023-09-12 14:00:00,37.64,37.83,37.64,37.83,307200
2023-09-13 10:00:00,38.26,38.3,37.83,38.21,1006400
2023-09-13 11:00:00,38.21,38.92,38.21,38.54,656500
2023-09-13 13:00:00,38.54,38.59,38.4,38.49,271300
2023-09-13 14:00:00,38.44,38.49,38.07,38.11,332600
2023-09-14 10:00:00,38.3,38.3,38.02,38.07,303300
2023-09-14 11:00:00,38.07,38.11,38.02,38.02,24500
2023-09-14 13:00:00,37.97,38.4,37.92,37.97,456900
2023-09-14 14:00:00,37.97,38.21,37.83,37.83,312600
2023-09-15 10:00:00,38.68,38.73,38.49,38.54,911900
2023-09-15 11:00:00,38.49,38.54,38.21,38.44,144500
2023-09-15 13:00:00,38.3,38.3,38.16,38.21,361900
2023-09-15 14:00:00,38.21,38.26,37.92,37.97,387400
2023-09-18 10:00:00,37.97,38.02,37.74,37.74,429900
2023-09-18 11:00:00,37.74,37.92,37.74,37.74,86300
2023-09-18 13:00:00,37.64,37.74,37.4,37.4,320700
2023-09-18 14:00:00,37.4,37.59,36.93,37.45,568400
2023-09-19 10:00:00,37.74,37.74,37.22,37.36,227100
2023-09-19 11:00:00,37.36,37.55,37.17,37.5,87800
2023-09-19 13:00:00,37.5,37.55,37.17,37.5,187100
2023-09-19 14:00:00,37.45,37.74,37.31,37.74,150800
2023-09-20 10:00:00,37.88,38.02,37.78,37.97,291600
2023-09-20 11:00:00,37.97,38.02,37.83,37.97,128700
2023-09-20 13:00:00,38.02,38.4,38.02,38.07,473400
2023-09-20 14:00:00,38.07,38.21,38.02,38.21,166100
2023-09-21 10:00:00,38.54,38.54,38.35,38.35,454500
2023-09-21 11:00:00,38.35,38.35,38.21,38.21,72000
2023-09-21 13:00:00,38.26,38.35,38.11,38.35,188400
2023-09-21 14:00:00,38.35,38.5,38.21,38.3,257600
2023-09-22 10:00:00,37.82,37.82,36.57,36.86,598400
2023-09-22 11:00:00,36.86,37.34,36.86,37.1,52200
2023-09-22 13:00:00,37.05,37.82,36.67,37.44,291700
2023-09-22 14:00:00,37.44,37.82,37.44,37.68,97800
2023-09-25 10:00:00,37.49,37.68,37.39,37.68,218200
2023-09-25 11:00:00,37.63,37.68,37.58,37.63,24700
2023-09-25 13:00:00,37.63,37.63,36.91,37.0,219200
2023-09-25 14:00:00,37.05,37.05,36.09,36.09,693600
2023-09-26 10:00:00,35.85,36.38,35.8,35.99,419800
2023-09-26 11:00:00,35.99,35.99,35.75,35.75,157500
2023-09-26 13:00:00,35.75,36.04,35.71,36.04,174700
2023-09-26 14:00:00,36.04,36.19,35.71,35.71,312900
2023-09-27 10:00:00,35.51,35.61,34.94,35.08,678700
2023-09-27 11:00:00,35.08,35.08,34.65,34.84,167500
2023-09-27 13:00:00,34.84,35.37,34.65,35.13,365900
2023-09-27 14:00:00,35.13,35.37,35.08,35.18,461200
2023-09-28 10:00:00,35.8,35.85,35.42,35.61,462300
2023-09-28 11:00:00,35.61,35.61,35.51,35.61,65800
2023-09-28 13:00:00,35.51,36.09,35.46,35.99,370700
2023-09-28 14:00:00,35.99,36.33,35.85,36.33,227400
2023-09-29 10:00:00,36.04,36.09,35.95,35.95,210100
2023-09-29 11:00:00,35.95,35.99,35.95,35.95,16900
2023-09-29 13:00:00,35.95,35.99,35.75,35.85,108700
2023-09-29 14:00:00,35.9,36.09,35.85,36.09,99700
2023-10-02 10:00:00,36.14,36.47,36.14,36.19,203500
2023-10-02 11:00:00,36.19,36.23,36.04,36.14,80400
2023-10-02 13:00:00,36.14,36.19,35.95,36.04,187100
2023-10-02 14:00:00,36.04,36.09,35.95,36.09,96900
2023-10-03 10:00:00,35.32,35.46,35.32,35.42,270700
2023-10-03 11:00:00,35.37,35.51,34.94,35.18,200900
2023-10-03 13:00:00,35.03,35.46,34.79,35.42,231200
2023-10-03 14:00:00,35.42,35.42,34.65,34.65,323200
2023-10-04 10:00:00,34.65,34.84,34.55,34.65,258300
2023-10-04 11:00:00,34.65,34.65,34.65,34.65,18700
2023-10-04 13:00:00,34.69,34.89,34.6,34.79,331200
2023-10-04 14:00:00,34.79,35.03,34.79,34.89,176400
2023-10-05 10:00:00,34.65,34.65,34.26,34.26,270600
2023-10-05 11:00:00,34.31,34.31,34.02,34.17,128100
2023-10-05 13:00:00,34.17,34.21,34.02,34.12,197300
2023-10-05 14:00:00,34.12,34.12,33.11,33.11,934500
2023-10-06 10:00:00,33.54,33.54,33.2,33.25,594100
2023-10-06 11:00:00,33.25,33.25,33.06,33.15,144800
2023-10-06 13:00:00,33.15,33.3,33.11,33.25,480800
2023-10-06 14:00:00,33.2,34.17,33.2,33.68,974400
2023-10-09 10:00:00,34.45,34.5,34.31,34.31,796500
2023-10-09 11:00:00,34.31,34.45,34.31,34.45,123000
2023-10-09 13:00:00,34.41,34.41,34.12,34.17,234200
2023-10-09 14:00:00,34.17,34.45,34.12,34.36,398900
2023-10-10 10:00:00,34.65,34.89,34.65,34.89,785000
2023-10-10 11:00:00,34.89,34.89,34.79,34.84,78000
2023-10-10 13:00:00,34.84,34.84,34.69,34.69,469300
2023-10-10 14:00:00,34.69,34.84,34.65,34.65,192200
2023-10-11 10:00:00,35.13,35.56,35.13,35.46,659300
2023-10-11 11:00:00,35.46,35.51,35.32,35.32,96300
2023-10-11 13:00:00,35.37,35.51,35.13,35.32,319600
2023-10-11 14:00:00,35.32,35.51,35.27,35.51,277700
2023-10-12 10:00:00,35.66,35.75,35.46,35.61,423700
2023-10-12 11:00:00,35.61,35.71,35.56,35.61,78700
2023-10-12 13:00:00,35.66,35.66,35.37,35.42,328200
2023-10-12 14:00:00,35.42,35.51,35.18,35.32,231200
2023-10-13 10:00:00,35.32,35.37,35.18,35.32,545600
2023-10-13 11:00:00,35.32,35.32,35.18,35.22,156900
2023-10-13 13:00:00,35.22,35.32,35.13,35.18,323500
2023-10-13 14:00:00,35.22,35.46,35.18,35.32,273600
2023-10-16 10:00:00,35.99,36.04,35.95,35.99,514400
2023-10-16 11:00:00,35.99,36.04,35.8,35.8,111300
2023-10-16 13:00:00,35.85,35.9,35.71,35.8,160500
2023-10-16 14:00:00,35.75,35.75,35.42,35.42,225700
2023-10-17 10:00:00,35.37,35.37,35.18,35.32,195600
2023-10-17 11:00:00,35.27,35.32,35.27,35.27,68400
2023-10-17 13:00:00,35.27,35.27,35.08,35.22,330500
2023-10-17 14:00:00,35.22,35.22,34.65,34.65,411300
2023-10-18 10:00:00,34.45,34.5,34.12,34.21,439800
2023-10-18 11:00:00,34.21,34.36,34.17,34.26,93900
2023-10-18 13:00:00,34.17,34.36,33.97,34.07,220100
2023-10-18 14:00:00,34.07,34.17,33.15,33.68,545700
2023-10-19 10:00:00,33.92,33.97,33.59,33.59,186000
2023-10-19 11:00:00,33.64,33.88,33.59,33.88,41200
2023-10-19 13:00:00,33.88,34.31,33.64,34.02,164200
2023-10-19 14:00:00,34.02,34.21,33.68,33.68,201700
2023-10-20 10:00:00,33.68,33.68,33.25,33.3,218900
2023-10-20 11:00:00,33.25,33.35,33.11,33.3,98300
2023-10-20 13:00:00,33.3,33.73,33.2,33.64,93700
2023-10-20 14:00:00,33.64,34.12,33.64,34.07,199500
2023-10-23 10:00:00,34.21,34.21,33.78,33.88,136000
2023-10-23 11:00:00,34.07,34.07,33.78,33.78,21000
2023-10-23 13:00:00,33.78,34.07,33.68,34.02,139700
2023-10-23 14:00:00,34.02,34.17,33.78,34.02,80300
2023-10-24 10:00:00,34.17,34.17,33.97,34.02,121200
2023-10-24 11:00:00,34.02,34.02,33.83,34.02,24700
2023-10-24 13:00:00,34.02,34.17,34.02,34.12,86800
2023-10-24 14:00:00,34.12,34.21,34.12,34.17,70700
2023-10-25 10:00:00,34.07,34.31,34.07,34.26,148400
2023-10-25 11:00:00,34.26,34.26,34.21,34.26,10800
2023-10-25 13:00:00,34.26,34.26,34.07,34.17,101500
2023-10-25 14:00:00,34.12,34.17,33.92,34.02,113200
2023-10-26 10:00:00,32.63,32.67,31.71,31.76,719800
2023-10-26 11:00:00,31.76,32.0,31.66,31.76,182400
2023-10-26 13:00:00,31.76,32.43,31.66,31.71,317200
2023-10-26 14:00:00,31.71,31.81,31.66,31.66,583300
2023-10-27 10:00:00,31.95,32.0,30.99,31.57,200900
2023-10-27 11:00:00,31.57,31.76,31.47,31.47,55200
2023-10-27 13:00:00,31.47,31.76,31.37,31.61,114400
2023-10-27 14:00:00,31.61,32.24,31.61,31.76,265900
2023-10-30 10:00:00,31.66,31.9,31.66,31.9,64700
2023-10-30 11:00:00,31.9,31.9,31.66,31.76,37200
2023-10-30 13:00:00,31.76,32.0,31.71,32.0,62100
2023-10-30 14:00:00,32.0,32.05,31.61,31.61,103100
2023-10-31 10:00:00,31.86,31.86,31.18,31.47,271200
2023-10-31 11:00:00,31.42,31.71,31.37,31.71,56100
2023-10-31 13:00:00,31.71,31.71,31.33,31.52,210500
2023-10-31 14:00:00,31.52,31.57,30.32,30.7,442500
2023-11-01 10:00:00,30.32,30.8,30.12,30.8,312300
2023-11-01 11:00:00,30.75,30.8,30.65,30.7,24300
2023-11-01 13:00:00,30.7,30.84,30.32,30.7,115500
2023-11-01 14:00:00,30.7,31.28,30.32,31.09,181100
2023-11-02 10:00:00,31.42,31.61,31.37,31.57,147900
2023-11-02 11:00:00,31.61,31.66,31.47,31.66,69600
2023-11-02 13:00:00,31.66,31.81,31.57,31.81,263000
2023-11-02 14:00:00,31.81,32.29,31.76,32.14,287900
2023-11-03 10:00:00,31.9,32.05,31.86,32.05,185100
2023-11-03 11:00:00,32.05,32.1,31.95,32.1,41100
2023-11-03 13:00:00,32.1,32.14,31.76,32.1,171800
2023-11-03 14:00:00,32.1,32.14,31.86,31.86,173800
2023-11-06 10:00:00,32.14,32.14,32.0,32.0,155600
2023-11-06 11:00:00,32.0,32.05,31.95,32.0,22100
2023-11-06 13:00:00,32.0,32.0,31.86,31.9,120700
2023-11-06 14:00:00,31.95,32.0,31.86,32.0,68700
2023-11-07 10:00:00,32.24,32.58,32.24,32.24,287100
2023-11-07 11:00:00,32.24,32.24,32.14,32.24,26000
2023-11-07 13:00:00,32.19,32.24,32.14,32.14,100000
2023-11-07 14:00:00,32.05,32.19,31.9,31.9,69100
2023-11-08 10:00:00,31.9,31.95,31.81,31.86,113600
2023-11-08 11:00:00,31.86,31.9,31.86,31.86,26500
2023-11-08 13:00:00,31.86,32.0,31.71,31.9,232600
2023-11-08 14:00:00,31.9,32.91,31.9,32.91,595800
