CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
PLX,2024,3960150316381,2040979342827,264712651710,23157531631,0,-1466007322571,568872297088,0,5415167209066,2446803795834,-1054607802941,-2316290830991,-468013956537,-568872297088,-912435577786,5650936646,-552281166408,1995120309795,-1986157576601,48556634072,-17591334130939,21267914230812,0,0,1133168145741,2872147303085,0,0,75761793535372,-77672312828657,0,-1905060785720,0,-3815580079005,1051687533875,14048245083619,-37796784748,15062135832746
PLX,2023,3947390245604,2184794870169,141013749897,13287356000,0,-2465763180879,898602546828,0,5780982551003,2148238587213,2623792411518,-3354468238187,-103026230738,-851560272409,-433197206807,5073063929,-542538240177,5273573151161,-1652018073110,32687539636,-28587141387911,19111847066624,0,2573005260000,1446768601730,-7074850993031,0,0,82478085876631,-77133802144004,0,-1099707459657,0,4244576272970,2443298431100,11606028926698,-1082274179,14048245083619
PLX,2022,2270127396278,2168347034003,-330850092745,30771697079,0,-1818236638776,644056268958,0,5136164763611,-4447132923679,-3914561991328,9905899638963,142238137469,-632180251380,-454879657355,0,-643783848039,5091763868262,-2120326212286,240946231572,-19910645623653,23443852915756,0,11456443370,1338717647333,3004001402092,0,0,95830465664336,-96791209918518,0,-1745540077268,0,-2706284331450,5389480938904,6192497034229,24050953565,11606028926698
PLX,2021,3789339721584,2248265002591,279968890376,68768489071,0,-1405725004999,602527447452,0,1734526843780,-838938801470,-3965004302441,3832204996992,28427493822,-627575450493,-415701573416,2577422353,-409157160949,-656322111822,-1649256443536,394087841914,-24869474207991,20593374744151,64511740837,0,1021964336550,-4444791988075,2952954993225,0,69085427413000,-69732810577352,0,-1619733228598,0,685838600275,-4415275499622,10611737373774,-3964839923,6192497034229
PLX,2020,1409580992044,2146848020219,56453899658,33000880854,0,-1350373623603,706153423148,0,5222023016514,1309877723914,2617517690037,-2303181407015,225427957559,-676261501768,-529160673977,7457529589,-524335855958,5349364478895,-1856667096437,82090590101,-15911332904561,12599560138699,-127038478772,0,1370871472966,-3842516278004,1342822007427,0,64510123954067,-64052893869346,0,-3971129966069,0,-2171077873921,-664229673030,11275206410674,760636130,10611737373774
PLX,2019,5647771555645,2030469201225,-542626170089,20004988312,0,-1423527343639,791223776592,0,6021941099482,-877437265592,-942201514686,2091522825478,81872456996,-779986039267,-948989300457,4353120295,-470564395757,4180510986492,-2421742277474,53993325551,-15795047452268,14315700000000,0,193872373894,1186078692936,-2467145337361,2016749365742,0,69300966222627,-68608569594605,0,-3370968637702,0,-661822643938,1051543005193,10220835547036,2827858445,11275206410674
PLX,2018,5177656165312,2068564629989,744284561083,4446903525,0,-1274070701604,865487977236,0,6464805879039,-535435948286,1591550716931,-882100684374,-44030968455,-865515827354,-967768822649,12004405847,-399315206370,4371287286415,-2332161095285,23225069296,-9332011396096,7119541579359,0,95156012443,1061687817639,-3364562012644,0,0,99067573679267,-100388168061012,0,-3688530405684,0,-5009124787429,-4002399513658,14223421508261,-186447567,10220835547036
PLX,2017,4784967140017,2270612080495,159296827871,-6469072880,0,-1004973777952,598685461893,1196555262908,7998673922352,1320871822290,-4246984415304,-1415655866905,115316915176,-573420957022,-1118582308573,0,-376357477508,1776956026906,-2982894528958,51452367096,-1293169981996,990328871530,-157898398040,0,1110351521356,-2281830149012,1009403435910,0,68116310955538,-61722389111374,0,-3978082311460,0,3425242968614,2920368846508,11353600192147,-50547530394,14223421508261
PLX,2016,6300186511350,2051896891805,346318924548,53001251108,0,-1062714229417,551519187171,0,7688626904197,-1370381403294,-921553149234,1175426196530,14812871971,-554449689474,-996433419940,0,-355332943620,4671264270786,-3196021764726,17267819957,-803959056409,491447041099,-12422595000,149368225254,1204998730199,-2149321599626,4060747688565,-497098935736,60003690853987,-65849135660051,0,-149962178105,0,-2431758231340,90184439820,11288673192851,-25257440524,11353600192147
PLX,2015,4210067494546,1782015120045,190382909843,60071356585,0,-943318672657,586069449690,0,6096430692186,2974852372315,2326975123015,-3859510325643,83194598117,-613475200556,-509346626987,600342871468,-702483023527,6448291393433,-1972947808526,167330943303,-2624746357990,2476146672646,0,14684864398,808659161234,-1130872524935,0,0,79339609273136,-83003949922725,0,0,0,-3664340649589,1653078218909,9653151504326,-17556530384,11288673192851
