CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
PLX,2024,0.03667525620304007,284134399781561,2890002145491,0.01979437686867328,1635301023198,-568872297088,284134399781561,-106621928874,284027777852687,-266712297374939,17315480477748,-1192970667813,510981571441,-13530920803110,-1036924999773,3700946601691,340575036030,0,-81371321340,259203714690,3960150316381,-796864384940,-67228268,3163218703173,273216557682,2890002145491
PLX,2023,-0.09892194705949023,274082359042928,2833906727712,0.9547676392232348,2742716620267,-898602546828,274082359042928,-103183069449,273979175973479,-258715274315672,15263901657807,-1723462286268,623848502506,-12139673166162,-949360826359,3817970501791,194730183129,0,-65310439316,129419743813,3947390245604,-804270679753,-65799622451,3077319943400,243413215688,2833906727712
PLX,2022,0.7987069858934169,304171606608893,1449740967084,-0.48933080239968146,1948942567940,-644056268958,304171606608893,-107795182449,304063811426444,-291744174805179,12319636621265,-1706489278910,702934611210,-10499546305289,-823260439762,1942217776454,396386766136,0,-68477146312,327909619824,2270127396278,-435867990491,67973931964,1902233337751,452492370667,1449740967084
PLX,2021,0.3637392056206143,169105701481340,2838904272857,1.872032344448441,999546332203,-602527447452,169105701481340,-97096414125,169008605067215,-156385701253224,12622903813991,-835512710492,569341405490,-9073259955415,-765824923747,3517193962030,390507588375,0,-118361828821,272145759554,3789339721584,-626940150150,-38665391711,3123734179723,284829906866,2838904272857
PLX,2020,-0.346178127451111,124001495875733,988465286035,-0.7622612099080428,916720519051,-706153423148,124001495875733,-82845497082,123918650378651,-113878713434396,10039936944255,-951684580108,597129435647,-8591021707535,-819680790229,1191399821081,255621224928,0,-37440053965,218181170963,1409580992044,-202872632017,45863848305,1252572208332,264106922297,988465286035
PLX,2019,-0.012101706181106247,189656389732451,4157778735446,0.10936252573730267,1004290830755,-791223776592,189656389732451,-52864325572,189603525406879,-175434116763035,14169408643844,-966448473825,646119755477,-8702295255390,-639668300698,5511407200163,201623852721,0,-65259497239,136364355482,5647771555645,-996924043108,25714246385,4676561758922,518783023476,4157778735446
PLX,2018,0.24876026667796786,191979671307358,3747899031187,0.08062505297656974,995307209114,-865487977236,191979671307358,-47197358198,191932473949160,-178026370937695,13906103011465,-1508439852702,636650090314,-8543576177634,-573152566951,4912891713606,349070900460,0,-84306448754,264764451706,5177656165312,-994430612244,-28661617419,4154563935649,406664904462,3747899031187
PLX,2017,0.24859689373779606,153736210568322,3468269610133,-0.25723383665554916,791143396401,-570685109732,153736210568322,-39153702504,153697056865818,-141400532111654,12296524754164,-790644542111,456054595116,-7320736564998,-817994151452,4614347487120,324762583078,0,-154142930181,170619652897,4784967140017,-894833667465,21529227908,3911662700460,443393090327,3468269610133
PLX,2016,-0.16211358979348356,123127176864983,4669396347454,0.5167762007646398,879878586647,-551519187171,123127176864983,-30659848663,123096517016320,-108891432070956,14205084945364,-844097800840,599747414012,-7701328853813,-1016549078091,6122735213279,336689016471,0,-159237718400,177451298071,6300186511350,-1152206706935,-546182104,5147433622311,478037274857,4669396347454
PLX,2015,-0.28945519592202074,146949724169217,3078500536269,9.430129256131773,795562315782,-586069449690,146949724169217,-29236553896,146920487615321,-133736913046300,13183574569021,-2576637913523,506773141894,-6849771826614,-976916370537,4082583916023,435753098379,0,-308269519856,127483578523,4210067494546,-795979342565,-456266654,3413631885327,335131349058,3078500536269
PLX,2014,0.026766631320791132,206812748929890,-365178331522,-1.2650274771862633,816945586852,-705878540915,206812748929890,-31836913469,206780912016421,-199624380365716,7156531650705,-1578081845987,406021500196,-6098338633767,-833513259394,-130435001395,746822654627,0,-294803307217,452019347410,321584346015,-329572579833,-1100176854,-9088410672,356089920850,-365178331522
PLX,2013,,201421377186610,1377888569891,,845429453720,-812318282640,201421377186610,-5493669829435,195927707357175,-187944064262711,7983643094464,-1418276256706,0,-5360983714420,-824698899569,1225113677489,694476471554,339697175680,-238173009444,456303462110,2021114315279,-443110558554,918710862,1578922467587,201033897696,1377888569891
