Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
PLX,2024,5,0.6265817087,1.7782241494,0.4634629903171744,2.2646846890066454,3.5264585058,20.8573814877,14.300357356760093,20.8080754674,32.5305707603,67.63900358446008,17.5412666381,0.009673823791594356,0.06096403882978233,0.010175068675817757,0.1112499877,0.0582448339,0.0358819575,4788614017692,2747634674865,0.0,1.1714880778,0.2937973017,0.5444357784,-4.829967444239885,2.778224149414488,51496347623800,1293878081,17.8187921778,1.9794437587,0.1813074341,25.8111490174,2233.5969578040945,20106.6586631859,11.3406155861
PLX,2023,5,0.6995711848,1.7284201997,0.46759352573154334,2.256944267597574,3.5546802685,19.6130200357,14.58037503495836,22.5581802944,32.7152301051,69.85378543445836,16.1803831354,0.007938076525555088,0.05571190439409357,0.01034351139148736,0.1123838372,0.0443993297,0.0367678759,4359662535455,2174867665286,0.04,1.1539714077,0.2830197931,0.5040267799,-2.4202776555253718,2.728420199659014,48520428037500,1293878081,17.4361103999,1.8705203077,0.1770953134,9.2006741249,2190.2424728624796,20047.8978204848,12.4446148709
PLX,2022,5,0.548416823,1.6806557685,0.5141267501522275,2.147235589828266,4.366635668,20.9247701868,11.533664281669529,19.1968883641,25.0868620423,55.81741468806953,19.0134980772,0.003278357498505352,0.04051661578360909,0.004767883952657439,0.0584378901,0.0236239622,0.0208196121,3165176910217,996829876214,0.0202898551,1.0979462783,0.2541438768,0.5315003837,-1.5477372463538663,2.6806557684574495,44638793794500,1293878081,31.3881924002,1.822504629,0.1468073217,8.7668625155,1120.4618026789187,18929.9930721456,14.9899567344
PLX,2021,5,0.5843508476,1.292668145,0.5229542699657728,2.1841464035172105,2.6848613655,11.1348040236,15.528619080142237,26.6172640634,32.4343070779,74.58019022144224,13.7129044942,0.01647146270287167,0.07468793561707021,0.016797394852930494,0.1083828535,0.0638055663,0.0450986765,5032083937420,2783818934829,0.0378548896,1.1731634439,0.1760857076,0.3919449666,-4.620235885686803,2.2926681450093014,41015935167700,1293878081,14.6247620687,1.6325810198,0.2426854843,-62.4936055466,2194.1049273072895,19417.1067865111,9.9745883161
PLX,2020,5,0.7179068921,1.5327527819,0.6456838873345901,1.8646581019545845,2.0170918094,7.9989781829,22.175849417147116,34.0557277952,41.1207233823,97.35230059464712,10.7177271969,0.0050778026113767775,0.08102038646786863,0.007976727336963437,0.0394993306,0.0156730897,0.0160897914,2776082466710,629234446491,0.0222634508,1.0677165494,0.300031667,0.5038650601,-0.8910732793532337,2.5327527818778,69740028565900,1293878081,72.2001304118,3.2953910921,0.5627888002,13.0370680183,763.9555075166313,16356.1770041624,27.070280076
PLX,2019,5,0.6497308211,1.3825039219,0.5942753530707,2.0035366030841666,3.2123794738,12.4146821812,14.470337317523338,23.6302209173,27.2942231937,65.39478142852334,15.4463219484,0.02546073485393566,0.0747317783961939,0.021928804997289105,0.1696512679,0.116826294,0.0704436431,6857914288981,4827445087756,0.0576923077,1.1340281924,0.33010133,0.5742601352,-6.101238651534237,2.382503921933384,67281660212000,1293878081,16.3187830506,2.9206865427,0.3548544789,16.0941235245,3213.4238893919405,17804.033140801,10.4120134802
PLX,2018,5,0.6953938579,1.4373141179,0.6556070519035141,1.7847332163810725,3.2516548478,12.6228927482,13.211483379903779,24.3748237837,28.4568434926,66.04315065620378,14.9744672306,0.024953433717259502,0.07245310147541012,0.019527175126079818,0.1612823092,0.1267026043,0.0634956337,6857938896869,4789374266880,0.05,1.0985053319,0.3238208429,0.5630882456,-5.533727091363212,2.4373141178632753,67281660212000,1293878081,17.9518337213,3.3070887271,0.3505486009,15.3917269224,2896.6400205886166,15723.799477546,10.4650506125
PLX,2017,5,0.7936181568,1.6415113017,0.653043687173642,1.8072788702687668,2.6496409938,9.9426117334,15.564189290875724,27.7937640497,34.581422646,77.93937598657573,13.1324422035,0.027051878041775876,0.08000494612528088,0.022565621495022514,0.1489020122,0.1051660838,0.0597907958,6428406118209,4157794037714,0.0576923077,1.1333577497,0.397939636,0.6066246158,-7.285618578109644,2.6415113017236553,67281660212000,1293878081,19.3992012661,3.2789404923,0.4377550331,37.8634356693,2680.5227332180148,15858.7812500914,10.7662390059
PLX,2016,5,0.5492437212,1.3380612004,0.6743821473592886,1.7931059649072145,2.3427084443,7.9738398041,16.599415924572437,27.4339978241,33.9487169096,77.98213065827244,13.3046595083,0.04457646037809918,0.11539794374101345,0.03793280639154832,0.2344522185,0.1658217184,0.0888655058,7539103905265,5487207013460,0.062,1.1944800496,0.4091591148,0.6567564407,-9.94925859534725,2.3380612004318055,67281660212000,1293878081,14.4866318847,3.3678180489,0.5465764738,14.4033084646,3608.8379701472045,15440.2640657926,8.7302760367
