CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
POW,2024,4,30171413613630,11720478583199,3955741588588,11940882166977,1794690450198,759620824668,51110037286569,0,24321436911842,0,765862004565,0,6279758741312,81281450900199,46674791463756,35134391395416,11540400068340,34606659436443,34606659436443,225720372645,4031994507974,0,2695727748071,81281450900199,298628392787,0,1794690450198,0,4426081342778,23418716000000,23418716000000,0,9151300727761,3135128028,13508102547690,0,5596541559035,701650757500,353163000,353163000
POW,2024,3,31374658420901,12608478331048,3150104463759,12390171070603,2339137772881,886766782610,49317547956992,0,24320473145164,0,959616882510,0,5709365085520,80692206377893,46050166536409,35430277158946,10619889377463,34642039841484,34642039841484,225720372645,4104794157715,0,2658308503371,80692206377893,398877285253,0,2339137772881,50000000,4426081342778,23418716000000,23418716000000,0,8781279843495,17072165177,11180650166125,0,5031989930493,399355456500,353163000,353163000
POW,2024,2,32506348466455,9927637718311,2605305325291,15567100294351,2295020813128,2111284315374,48376053037978,0,25014602758084,0,959616882510,0,5834488472071,80882401504433,46745437594152,35743092583958,11002345010194,34136963910281,34136963910281,225720372645,3701250160825,0,2556776569058,80882401504433,415994423765,0,2295020813128,0,4426081342778,23418716000000,23418716000000,0,9288739879172,1657580986,11300492903046,0,5143636803658,399355456500,389451000,389451000
POW,2024,1,28377297197962,7538438098305,1570255325291,15636179785488,1821472737804,1810951251074,44172467751778,0,25709355386455,0,959549464996,0,6093880041633,72549764949740,38681995275551,28586606013360,10095389262191,33867769674189,33867769674189,225720372645,3793201857621,0,2582352280184,72549764949740,980424261773,0,1821472737804,0,4039359698764,23418716000000,23418716000000,0,8284918337860,1276488049,5334341221945,0,5394859850113,399355456500,405739000,405739000
POW,2023,4,29152450804452,8592015336778,2238542629713,14641231313373,2168003885146,1512657639442,41194588497778,0,26401418237677,0,957723034990,0,4852111691212,70347039302230,36181201522438,26261244429929,9919957092509,34165837779792,34165837779792,225720372645,3959337681404,0,2714284562005,70347039302230,1264274793717,0,2168003885146,0,4039359698763,23418716000000,23418716000000,0,7179278203632,900883584,5499591086310,0,4225671044840,399355456500,437027000,437027000
POW,2023,3,29378901070030,7509777215857,1738220066997,17176238223827,2311273530617,643392032732,34229089026366,0,27092469161284,0,932740793120,0,1268020162814,63607990096396,29899831038062,23331096389005,6568734649057,33708159058334,33708159058334,225720372644,3623878106413,0,2592065415539,63607990096396,1850435561400,0,2311273530617,0,4039359698763,23418716000000,23418716000000,0,3907597960222,990277414,5372168191025,0,543742928949,399355456500,407027000,407027000
POW,2023,2,29727551923928,8154347914748,1166129276581,17913321034800,2008000430352,485753267447,32168215522397,0,27788013463889,0,932740793121,0,968930265924,61895767446325,28064558664502,22089123515681,5975435148821,33831208781823,33831208781823,225720372645,3541224317392,0,2797768928049,61895767446325,1997615310625,0,2008000430352,0,4039359698762,23418716000000,23418716000000,0,3773569775377,1722473284,4289352422934,0,208224854880,399355456500,407027000,407027000
POW,2023,1,26260062888464,5075203519936,1766711786170,17166740788541,1942692577979,308714215838,31744489971871,0,28472633889827,0,919424374058,0,939846715614,58004552860335,24195953615179,18683712564437,5512241050742,33808599245156,33808599245156,225720372645,3952958114747,0,2759602153597,58004552860335,2046427605921,0,1942692577979,0,3643183139192,23418716000000,23418716000000,0,3497893204972,3911253092,4378783616989,0,242950218699,399355456500,407027000,407027000
POW,2022,4,24685400219597,8276734441022,1624071477851,12284177382668,2085994362903,414422555153,31956299325429,0,29155161436660,0,887477711365,0,975925930292,56641699545026,23535493958289,18306884767150,5228609191139,33106205586737,33106205586737,225720372645,3307939743542,0,2702226866384,56641699545026,2074044889889,0,2085994362903,0,3643183139191,23418716000000,23418716000000,0,3381845397268,3825833991,5635216330148,0,281986768897,399355456500,407027000,407027000
POW,2022,3,24122047557461,8158628736681,948071477851,11693164818023,2180850367851,1141332157055,32380503356245,0,29796219741423,0,850044650058,0,1009345273443,56502550913706,24099720571116,18548314404488,5551406166628,32402830342590,32402830342590,225720372645,2569890794231,0,2736900571548,56502550913706,2276047863605,0,2180850367851,0,3643183139191,23418716000000,23418716000000,0,3709772759733,6286553626,6240801796202,0,271000601282,399355456500,298163000,298163000
