CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
POW,2024,30171413613630,11720478583199,3955741588588,11940882166977,1794690450198,759620824668,51110037286569,0,24321436911842,0,765862004565,0,6279758741312,81281450900199,46674791463756,35134391395416,11540400068340,34606659436443,34606659436443,225720372645,4031994507974,0,2695727748071,81281450900199,298628392787,0,1794690450198,0,4426081342778,23418716000000,23418716000000,0,9151300727761,3135128028,13508102547690,0,5596541559035,701650757500,353163000,353163000
POW,2023,29041954766360,8439697613959,2390860369713,14560455738875,2167403571132,1483537472681,41320135548249,0,26401678076837,0,959549465097,0,4926496779461,70362090314609,36242661143689,26785158579904,9457502563785,34119429170920,34119429170920,225720372645,3922654507752,0,2704559126785,70362090314609,1274052578149,0,2167403571132,0,4039359698763,23418716000000,23418716000000,0,7172278203632,900883584,5506591086310,0,4223720717432,399355456500,442027000,442027000
POW,2022,24925080975647,8251731998519,1649811786170,12537524330624,2085774441788,400238418546,31918163879143,0,29155161436660,0,877631146763,0,949334898410,56843244854790,23561794352453,18325681327490,5236113024963,33281450502337,33281450502337,225720372645,3420458998695,0,2764952526830,56843244854790,2074496619929,0,2085774441788,0,3643183139192,23418716000000,23418716000000,0,3381845397268,3785333991,5635216330148,0,262053646682,399355456500,402027000,402027000
POW,2021,18420179698256,8223693034528,531217428970,5799389305021,1837762461182,2028117468555,34556738258669,0,31868871223944,0,827903601323,0,1454244582221,52976917956925,21851540246332,16811277946288,5040262300044,31125377710593,31125377710593,225720372645,3010430220648,0,2487533521393,52976917956925,182098259326,0,1837762461182,0,2174558130932,23418716000000,23418716000000,0,3689315873178,5605664403,4768503650670,0,649881386297,413573456500,298163000,298163000
POW,2020,16897192989427,7069700305112,788595201755,7195677600318,1727999115630,115220766612,37152953610146,0,34614390170422,0,1027824922471,0,1256488575389,54050146599573,22783553220099,16479836233321,6303716986778,31266593379474,31266593379474,225662145738,4302230689261,0,2729348494189,54050146599573,97118304273,0,1736252781133,0,782216585311,23418716000000,23418716000000,0,5391220150825,22183434489,7018700714605,2065181465,564711042501,604520976073,1993853825,3262294619
POW,2019,16075192778306,5083277330894,657920790416,8714021377973,1427591320436,192381958587,39620509755655,0,37319569436868,0,982538690891,0,1098213005081,55695702533961,26186388222756,17063695864858,9122692357898,29509314311205,29509314311205,227887397807,2650694553578,0,2622638642365,55695702533961,120471089910,0,1434323555929,0,780958252480,23418716000000,23418716000000,0,8394084458923,20791330544,9157536870815,9002000873,466948731741,604520976073,1753853825,3022294619
POW,2018,15251081151956,3185329931901,176038035938,7530962791986,4186613364909,172137027222,42860348445729,0,40177239576482,33528513,936917037288,0,1327028075617,58111429597685,31296044641920,17570678653190,13725365988730,26815384955765,26815384955765,227887397807,859274196129,0,2308909236304,58111429597685,115357557465,0,4186795764909,0,192215107853,23418716000000,23418716000000,0,13303846087570,16462104003,6554398505035,15938820281,671717153227,604520976073,40322898407,41591339201
POW,2017,13777955861694,2266238960414,1038547245522,6743874836373,3533224329510,196070489875,46805407318888,0,43991216623797,152585421,957184353417,0,1526956741714,60583363180582,32859468717682,13868303557777,18991165159905,27723894462900,27723894462900,227887397807,1282057694158,0,2821705988648,60583363180582,118597055853,0,3533406729510,0,1618253058939,21774301577676,21774301577676,0,18778557034996,7332023992,6098502884826,22875639687,834633941960,642558497117,39406560825,39406560825
POW,2016,18518713647948,4671040146239,60000000000,10229639967314,3346817542441,211215991954,51213504946893,0,48068428997494,271642329,931353580669,0,1728348715607,69732218594841,42935488143497,18077617682718,24857870460779,26796730451344,26796730451344,227887397807,1015389468233,0,2741405612917,69732218594841,256677408062,0,3346999942441,0,1037875562343,21774301577676,21774301577676,0,24668851031427,4068580831,5887779171010,0,803913742365,642558497117,39401463250,203888018197
POW,2015,16016174669904,6073487453667,150000000000,5848082870379,3700532202750,244072143108,55266674960368,0,51114738664225,4213884979,781347613120,0,2431718566667,71282849630272,44956037708459,17042552603230,27913485105229,26326811921813,26326811921813,162145257628,1348193154858,0,2697428877645,71282849630272,237041702349,0,3700714602750,0,344814017189,21774301577676,21774301577676,0,27073620139574,40751910088,6651110904429,36747948061,1871035793043,538392449826,40714550800,369687660694
POW,2014,15038559898359,5518238012909,55000000000,5560172689347,3634888023600,270261172503,34141089702166,4000000000000,25646479371838,14653222342,855111905689,0,2776495876562,49179649600525,31625497424318,11416926729000,20208570695318,17554152176207,17554152176207,160440485780,1618533844182,0,2377007412941,49179649600525,197834489893,0,3635131223600,0,290840812894,13107329620410,13107329620410,0,19675027914718,74384705091,3725931030738,45046987762,2232171144156,562325967415,41168863140,4534628527981
