CP,Năm,Kỳ,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
POW,2024,4,249728546743,707320874959,206048303849,331819403447,0,-360395173578,117536152063,0,1252058107483,477106519383,538605295433,-1873350354373,-589006797360,-193873652661,-87872486141,7020000,-45034025607,-521360373843,-2050329639460,480233215,-2431688124829,1626051000000,0,0,156995535943,-2698490995131,0,0,7739549323945,-5345592780655,0,-62187519750,0,2331769023540,-888082345434,12608478331048,82597585,11720478583199
POW,2024,3,547086283291,705901187906,184754231751,-330270298453,0,-299615673334,95632403499,0,903488134660,4405680635807,-30640446367,-160655106961,100186600338,-75656924117,-1417832805,2160000,-42059643104,5098927577451,-1662793270183,1848697229,-1317885928884,741186790416,0,0,142600655036,-2095043056386,0,0,5884267623499,-6214381148776,0,7128080372,0,-322985444905,2680899076160,9927637718311,-58463423,12608478331048
POW,2024,2,442117118005,702612059113,158099172808,78754303074,0,-33727087170,87908652669,0,1435764218499,-1059221769848,-465379552217,2188699353823,227173885332,1171179723,-25949380140,0,-47090065355,2255167869817,-5972760601469,550000,-1699950000000,706800000000,42840000000,0,91465122953,-6831604928516,-60900000000,0,8039551501774,-1132559981836,0,119506678415,0,6965598198353,2389161139654,7538438098305,38480352,9927637718311
POW,2024,1,278064548621,702215639414,-306180970655,54007936901,0,-169080950117,80568089339,0,639594293503,-1495945161763,349686703837,-430389841941,-1139010585434,-180283418105,-145505288370,0,-32885328989,-2434738627262,-132961820161,175181819,-884837534875,1663542579297,-42840000000,0,155523348689,758601754769,81900000000,0,5386675958833,-4492374154982,0,-201325641087,0,774876162764,-901260709729,8439697613959,1194075,7538438098305
POW,2023,4,447733302249,706412975604,64514463709,-87047809403,0,-163268906854,106946497287,0,1075290522592,1938949844962,241106232964,2775179158303,-3665850674777,-134407415156,-33420055944,0,-36940968701,2159906644243,-4116423605554,-245368029,-760737740000,224997437284,0,0,101818074505,-4550591201794,41900000000,0,9249647303813,-5833049838355,0,-6672551754,0,3451824913704,1061140356153,7509777215857,21097764768,8592015336778
POW,2023,3,81900342865,705782003901,509164954646,69794982806,0,-131218763708,133502990648,0,1368926511158,611232381805,-266844923086,-1600328438542,-351537261619,-116554506669,-56337697547,0,-46534207772,-457978142272,-581678735214,245704877,-1672617790416,1045527000000,0,0,117304886710,-1091218934043,0,0,4909524516516,-3763480356917,0,-241412600545,0,904631559054,-644565517261,8154347914748,-5181630,7509777215857
POW,2023,2,239154273363,701118452163,265378636083,3160357004,0,-267753439663,125479208488,0,1066537487438,-3027308251597,-129116766503,5455776197491,6360375117,-158746919230,-33246242958,0,-31243514882,3149012364876,-992837544220,124917922981,-899194874568,1353899946873,0,0,132809790558,-280404758376,40000000000,0,3360712396110,-3189900144133,0,-276185247,0,210536066730,3079143673230,5075203519936,721582,8154347914748
POW,2023,1,690037398600,695779918115,184157595309,-1917292062,0,-109736714263,132064681571,0,1590385587270,-2644841097700,133466618623,-483643554801,49208069747,-112825659345,-95525539485,0,-30570898182,-1594346473873,-488462983905,0,-57822562716,121800000000,-30000000000,0,118331013004,-336154533617,0,0,3155084799296,-4284506890322,0,-116604993720,0,-1246027084746,-3176528092236,8251731998519,-386347,5075203519936
POW,2022,4,871205012258,703093461111,-569112958822,-83906532252,0,-161030378275,122723912997,0,884472517017,-699934014463,145913883914,1062253954347,721636693969,-131621143578,-14630139145,-62210000,-46579007604,1921450534457,-249595972025,983732987,-736000000000,0,0,-1640680000,162260960845,-823991958193,0,0,-2785546891669,1888437115678,0,-82245001334,0,-979354777325,118103798939,8158628736681,1905402,8276734441022
POW,2022,3,223907494081,706120717886,307039558781,64732460322,0,-90559479356,118168254762,0,1328659006476,1883324262420,-472392013466,-2677693425880,958495464197,-102849414246,-19941559726,84810000,-32728457259,864958672516,-85253248937,721592593,-421236209584,54486209584,-21850000000,0,69773003523,-403358652821,0,0,4662243522198,-3519220151329,0,0,0,1143023370869,1604623390564,6554006094199,-748082,8158628736681
