CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
POW,2024,1516996496660,2818049761392,242720737753,134311344969,0,-862818884199,381645297570,0,4230904754145,2327620223579,392272000686,-275695949452,-1400656897124,-448642815160,-260744987456,9180000,-167069063055,4397996446163,-9818845331273,2504662263,-6334361588588,4737580369713,0,0,546584662621,-10866537225264,21000000000,0,27050044408051,-17184908066249,0,-136878402050,0,9749257939752,3280717160651,8439697613959,63808589,11720478583199
POW,2023,1442068034314,2808755417224,1361328008017,-10629794921,0,-677768954037,564748639578,0,5488501350175,-3490895796955,-20788523988,6224780469427,-3961662981705,-522534500400,-219902057214,2980000,-145379967985,3352120971355,-6312368226884,124902823533,-3071237790416,2330189206873,-30000000000,0,473105817414,-6485408169480,81900000000,0,13107063893530,-9503032107523,0,-365053044540,0,3320878741467,187591543342,8251731998519,374072098,8439697613959
POW,2022,2809234173340,2809393991244,-192495906469,36370258283,0,-443826593401,437526336797,0,5456202259794,-4779132258875,-145522234864,1399054910828,1920950440544,-441185336920,-85856641570,913862926,-169036498659,3156388503204,-2601389455204,1872213682,-1661161357200,542567000000,-21850000000,4718680000,361408783641,-3373834135081,0,0,8027461182658,-7583104003982,0,-198870914499,0,245486264177,28040632300,8223693034528,-1668309,8251731998519
POW,2021,2339300278897,2817966830053,-522141322998,-40636879981,0,-618716824288,509644391365,0,4485416473048,1741937232933,-391235453586,2056908109776,-1692655832110,-531842668922,-340177154167,25380000,-181642665895,5146733421077,-285746698682,1945727273,-499599227215,568977000000,-53369864147,525636630123,304771147002,562614714354,0,0,14980777529361,-18825925747278,0,-710198848892,0,-4555347066809,1154001068622,7069700305112,-8339206,8223693034528
POW,2020,2875097434493,2823855462192,1571440776832,5525689260,0,-386841040474,809234511179,0,7698312833482,1294539596750,-240536582129,675813619975,-115704626160,-893368318908,-329771300000,23000000,-132651248003,7956656975007,-145573872673,3251078268,-510674411339,380000000000,0,0,374075946447,101078740703,125130000000,0,14184792268744,-19356058770319,0,-1025180355668,0,-6071316857243,1986418858467,5083277330894,4115751,7069700305112
POW,2019,3165037776642,3131855859595,769246075328,-30361834569,0,-305807267252,1154051870401,0,7884022480145,-1534763734128,2773519083793,-2374624744532,214704433379,-1203196728897,-325563541380,0,-111518794158,5322578454222,-187473764505,-3710535635,-895850346482,286094491044,0,80847627911,297985233991,-422107293676,2085950000,0,12946811016850,-15200725040838,0,-750693717584,0,-3002521791572,1897949368974,3185329931901,-1969981,5083277330894
POW,2018,2491802371119,3920338970852,-68566057119,266566049520,0,-356704347818,1307161842742,0,7524403140035,-1201397876369,-623696320671,642273392389,129283285733,-1318487854790,-95903645040,15000000,-60439047391,4996050073896,-219145030430,289441817,-293334184152,1184410333238,0,124327590987,758613284557,1555161436017,0,0,7103091466868,-12386847717718,0,-348815229654,0,-5632571480504,918640029409,2266238960414,450942078,3185329931901
POW,2017,2733469378919,4316221578406,-407201129715,187732058669,0,-257857284962,1351358403426,0,7972884413898,3657144853986,38739307665,-3929913630330,-4901003474,-1345435948474,-190259680866,271295383,-85956541782,6112573066006,-307800781842,645749999,-1133547245522,128994738607,0,0,253151494410,-1058556044348,31187000000,0,311426772700,-6237843822183,0,-1563073962831,0,-7458304012314,-2404286990656,4671040146239,-514195169,2266238960414
POW,2016,1695643493106,4316469869631,313160541839,197606223355,0,-352493946874,1329955485995,0,7514388720743,-4184629291954,-16711036159,527893767664,1281685311018,-1135190648223,-241516253470,24934962500,-21183728950,3749671803169,-1672768912517,386446363,-80000000000,20162027391,0,36176591094,320375094686,-1375668752983,0,0,3510572881334,-6857349559332,0,-429673679616,0,-3776450357614,-1402447307428,6073487453667,0,4671040146239
POW,2015,3003373789300,2825084251478,-116134176067,385012879920,0,-465666494292,863827773803,0,6598941197270,203690120027,124318612123,-932285337277,353945848990,-866316894957,-415588211079,0,-24223141981,5042482193116,-372391499506,14697192726,-250000000000,4434933209810,0,0,577331587938,4404570490968,0,0,1004520975579,-8213018829229,0,-1683305389676,0,-8891803243326,555249440758,5518238012909,0,6073487453667
