CP,Năm,Kỳ,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
POW,2024,4,0.324717533897618,8493461841628,186146755676,-0.4400821175689475,-264018514,-117536152063,8493461841628,0,8493461841628,-7953556755572,539905086056,-309780036196,0,0,-394002482274,-164141450928,1105533331103,0,-691663333432,413869997671,249728546743,-14806670281,0,234921876462,48775120786,186146755676
POW,2024,3,0.06720130039046243,6061159998320,396350233997,3.7950307483223673,411264584940,-95632403499,6061159998320,0,6061159998320,-5764905515076,296254483244,3286864578,0,0,-168864458435,541941474327,7030849557,0,-1886040593,5144808964,547086283291,-93826036355,0,453260246936,56910012939,396350233997
POW,2024,2,0.11304537103488574,9382192018258,391762880270,2.110876071645034,104198817970,-87908652669,9382192018258,0,9382192018258,-8647208045255,734983973003,-205679294785,701547270,0,-195274182077,438930861381,4324056228,0,-1137799604,3186256624,442117118005,3294856120,-3951507290,441460466835,49697586565,391762880270
POW,2024,1,-0.1591071986380791,6243103427715,277633318581,-0.4800897606387648,101231459522,-80568089339,6243103427715,0,6243103427715,-5866382797488,376720630227,-154488495287,0,0,-116324556180,207139038282,73769243906,0,-2843733567,70925510339,278064548621,-61767712720,0,216296835901,-61336482680,277633318581
POW,2023,4,-0.1639916616073681,6411526702329,332453671363,-0.513860437307963,164283973828,-106946497287,6411526702329,0,6411526702329,-5683440436386,728086265943,-191124855723,24982241870,0,-296729649453,429497976465,23544778880,0,-5309453096,18235325784,447733302249,-2005343359,0,445727958890,113274287527,332453671363
POW,2023,3,-0.05994904184374784,5679490829052,82658538558,0.23641104983030653,138935874946,-133502990648,5679490829052,0,5679490829052,-5372558544762,306932284290,-213396986212,0,0,-148741888742,83729284282,4401884264,0,-6230825681,-1828941417,81900342865,-29518155287,0,52382187578,-30276350980,82658538558
POW,2023,2,0.1295167843804276,8429298807051,125933297003,-0.701345094689976,121707738155,-125479208488,8429298807051,0,8429298807051,-7959932152981,469366654070,-135620410927,13316419118,0,-207371084396,261399316020,-20724887155,0,-1520155502,-22245042657,239154273363,-57891874067,0,181262399296,55329102293,125933297003
POW,2023,1,0.05140452953836425,7424374923419,534002405727,-0.2597077061736116,124616001191,-132064681571,7424374923419,0,7424374923419,-6745448480992,678926442427,-140063549091,0,0,-126483398145,536995496382,154299829254,0,-1257927036,153041902218,690037398600,-40059194074,0,649978204526,115975798799,534002405727
POW,2022,4,1.1312646350234221,7669213819872,683864669483,11.906162656921168,210512096481,-122723912997,7669213819872,0,7669213819872,-6561462202507,1107751617365,-95170740994,37433061307,0,-419752491937,840773542222,32644007346,0,-2212537310,30431470036,871205012258,-146033942155,6652368200,731823438303,47958768820,683864669483
POW,2022,3,0.1308753273071343,6041683995718,66853607115,-0.8616752621988419,95553005970,-118168254762,6041683995718,0,6041683995718,-5339011046901,702672948817,-206594908538,0,0,-386643819018,204987227231,20346149686,0,-1425882836,18920266850,223907494081,-8034783978,-14592198454,201280511649,134426904534,66853607115
POW,2022,2,-0.06287908337163121,7462747719747,421668269176,-0.503885716571359,63156976962,-142667385775,7462747719747,0,7462747719747,-6533452909107,929294810640,-226998722990,25219048734,0,-202263865020,588408248326,2828622342,0,-1913057608,915564734,589323813060,-2845534878,0,586478278182,164810009006,421668269176
POW,2022,1,-0.07826950079011079,7061387615173,721339949342,0.4191325485008109,65701972549,-53915704054,7061387615173,0,7061387615173,-6034216450099,1027171165074,-107659599083,0,0,-115716210049,869497328491,11496265763,0,-1115075529,10381190234,879878518725,-76396930317,0,803481588408,82141639066,721339949342
POW,2021,4,-0.5453218506841648,3598433387315,-62704426020,-1.0702945651472382,106923521509,-109769646425,3598433387315,0,3598433387315,-3924719976825,-326286589510,-165895002939,0,0,396985289538,11727218598,4140708696,0,-4449210222,-308501526,11418717072,76673050229,-89223031381,-1131264080,61573161940,-62704426020
POW,2021,3,-0.12592845802935249,5342484577946,483309118656,3.5912195158529587,119378557822,-130735607538,5342484577946,0,5342484577946,-4499699904302,842784673644,-136971129567,7080138972,0,-154315415759,677956825112,2205466058,0,-1266829109,938636949,678895462061,-75572636059,0,603322826002,120013707346,483309118656
POW,2021,2,0.033185980004188986,7963484313846,849941804259,0.12821388760351318,373851852317,-133893599523,7963484313846,0,7963484313846,-6813046682758,1150437631088,-209958505689,1543044557,0,-239176031070,1076697991203,7978091145,0,-133006460621,-125028369476,951669621727,-56046080546,-31807402981,863816138200,13874333941,849941804259
