CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
POW,2024,0.06532303819776816,30179917285921,1251895951416,0.2056427428004083,616430843918,-381645297570,30179917285921,0,30179917285921,-28232053113391,1947864172530,-666660961690,701547270,0,-874465678966,1023869923062,1190657480794,0,-697530907196,493126573598,1516996496660,-167105563236,-3951507290,1345939426134,94043474718,1251895951416
POW,2023,0.0037287089894637456,28329357578690,1038363942297,-0.4961497628743217,543578060404,-564748639578,28329357578690,0,28329357578690,-25625106577337,2704251001353,-729647124365,40125091093,0,-1268124055600,1290182972885,162091186750,0,-10206125321,151885061429,1442068034314,-234905255681,75779362785,1282942141418,244578199121,1038363942297
POW,2022,0.1491460560574729,28224118055975,2060858298332,0.14584174294598864,445221020562,-437526336797,28224118055975,0,28224118055975,-24498013951665,3726104104310,-591786538077,53221920714,0,-867603382318,2765157125191,67138158695,0,-23061110546,44077048149,2809234173340,-240765852700,-15539750493,2552928570147,492070271815,2060858298332
POW,2021,-0.17391466061319455,24560949330329,1798554042056,-0.23951682205299885,689859994612,-509644391365,24560949330329,0,24560949330329,-22020951407015,2539997923314,-652802199566,22487408373,-9426420660,-130934373388,2459182332685,19838218070,0,-139720271858,-119882053788,2339300278897,-164456564043,-122690563437,2052153151417,253599109361,1798554042056
POW,2020,-0.15950957256771386,29731733707513,2365014893441,-0.05764870236090485,439870134267,-809234511179,29731733707513,0,29731733707513,-25151638635576,4580095071937,-999377552484,44123893428,-35159174296,-1174311774374,2855240598478,30384633273,0,-10527797258,19856836015,2875097434493,-344116937614,131685587645,2662666084524,297651191083,2365014893441
POW,2019,0.08303422373875592,35374268090529,2509695587374,0.3062260150478188,453447173083,-1154051870401,35374268090529,0,35374268090529,-30236634203496,5137633887033,-1323606244635,52036013536,-27018625533,-1176430753504,3116061449980,68255684564,0,-19279357902,48976326662,3165037776642,-314086018090,3937045171,2854888803723,345193216349,2509695587374
POW,2018,0.09936490764698243,32662188613406,1921333336239,-0.1396721056421091,515507262970,-712090062742,32662188613406,0,32662188613406,-28185659052526,4476529560880,-1779130042097,49539944897,-20315605748,-772773874881,2469357246021,32970407568,0,-10525282470,22445125098,2491802371119,-210810965180,5850740792,2286842146731,365508810492,1921333336239
POW,2017,0.05310838839077307,29710052036602,2233257050991,1.0776756247185444,413926173797,-1351358403426,29710052036602,0,29710052036602,-24787388453150,4922663583452,-1806019642897,22313070373,-16218414052,-799216104000,2737448666673,19839680725,0,-23818968479,-3979287754,2733469378919,-137776907163,5996129168,2601688600924,368431549933,2233257050991
POW,2016,0.2143909028448392,28211770378167,1074882442871,-0.5045255972490065,458804447515,-1329955485995,28211770378167,-10137090,28211760241077,-24429210375371,3782549865706,-1798362520023,14601157653,-17072384265,-738773511955,1701747054631,21393447944,0,-27497009469,-6103561525,1695643493106,-165502040561,-12696480845,1517444971700,442562528829,1074882442871
POW,2015,-0.0462021132211111,23231210240523,2169400552083,-0.00948566935157271,522636344213,-863827773803,23231210240523,-832727273,23230377513250,-18002213519478,5228163993772,-1698823954991,-47041257995,-17083427539,-990768775194,2997082922266,13255383517,0,-6964516483,6290867034,3003373789300,-443963227723,931319334,2560341880911,390941328828,2169400552083
POW,2014,,24356533561820,2190175835884,,1063833355839,-1198922064696,24356533561820,0,24356533561820,-20618851456930,3737682104890,-1516134654020,-23588338173,-2651950251,-399065463667,2860075054618,69040383656,0,-16379692916,52660690740,2912735745358,-151298421162,0,2761437324196,571261488312,2190175835884
