Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
POW,2024,5,0.9192075894999999,1.3487228246,0.7027964359434817,1.4777351344302139,0.3980376222,1.1899867464,144.5088768593176,25.6120996935,214.0101890157,384.13116556851764,14.2510768101,0.03556664795979222,0.06454173330152509,0.0414810928590587,0.0395382583,0.0187440596,0.0165110356,3891448254956,1073398493564,0.0,0.8587430269,0.3335899134,0.6734529847,-2.8125552716056226,2.3487228245614626,29975956480000,2341871600,23.9444471772,0.9393632493,0.9932418368,6.8158209873,534.5707046517837,13626.2516221521,10.5140499093
POW,2023,5,0.5818135876,1.0622294108,0.773801869444497,1.456929968787358,0.4454114686,1.0198333032,144.80576054393796,30.290800353,165.8952014874,340.99176238433796,12.0498631844,0.05069394679225935,0.0954575476638129,0.0366532823560419,0.0335327307,0.0306875889,0.0163257923,4244882362977,1436126945753,0.0,1.0842554723,0.3150885812,0.8586902065,-2.5429489247218453,2.062229410759856,28102459200000,2341871600,32.3573190994,0.8945591422,0.9919906981,8.38348599,443.3906377689537,13414.4288884732,7.618969882
POW,2022,5,0.3725470776,0.707955753,0.8760183524637168,1.4211475344052595,0.514006123,0.9250164837,97.70740197116952,29.2287156912,108.6625140442,235.5986317065695,12.4877194009,0.10127865523815226,0.13201844241581853,0.07301763315490808,0.0696773296,0.0675792261,0.0375315105,5667894713236,2858500721992,0.0,1.3601175602,0.4502824125,1.1344329282,-6.533322640456875,1.7079557530342167,26346055500000,2341871600,13.4847690369,0.8633381039,0.9334589463,8.3468988286,880.0048210721715,13030.8160257407,4.7833254851
POW,2021,5,0.3902646744,0.7020489984,1.0238870519183438,1.3290813087529223,0.458967074,0.7388611454,97.49349138506483,29.6198728959,98.532174037,225.64553831796485,12.3228077745,0.09770131834044447,0.10341611348782405,0.0732281972437874,0.0576533811,0.0606226201,0.0336093314,5217603959319,2399637129266,0.0,1.0957037149,0.4891771501,0.8341473137,-4.708453913990813,1.7020489983932048,24940932540000,2341871600,15.0821707014,0.8709081723,1.015471031,4.845973261,767.9985709105487,12228.6141516896,4.8250229848
POW,2020,5,0.5693342028,0.728686779,1.107072643006442,1.3351113434004664,0.5418288517,0.8266397087,102.61286945321498,23.0056653524,64.2222835569,189.840818362515,15.865657194,0.11336789695567827,0.1540473595315312,0.07954513909975514,0.077827382,0.0771724617,0.0430998514,6194551334359,3370624123267,0.0114285714,1.0253252975,0.428990932,0.8656261933,-4.165200663966035,1.728686779003434,40982753000000,2341871600,18.6360534283,1.4361145641,1.3784178684,5.1822667288,1009.8823921179112,12185.6573542653,7.4780191591
POW,2019,5,0.8792378404000001,0.8873939918,1.2646708440357546,1.2600739643968952,0.6216529215,0.9129219265,83.89091880124344,33.9275287437,60.9742740178,178.79272156274345,10.7582253561,0.11121599740036252,0.14523647171681087,0.07094692619367404,0.089115277,0.0835976687,0.0441043639,7066040367591,3934184507996,0.0245901639,0.9420698133,0.2979001367,0.8085762204,-3.4090187875428715,1.8873939918289715,28570833520000,2341871600,11.8604346039,1.0626391255,0.807672782,5.36785578,1071.6623351058188,11480.8496199535,5.8079455231
POW,2018,5,1.236681507,1.167092872,1.498290613495159,1.1450407851465896,0.5503558808,0.776114713,77.27424748033708,49.9877243461,70.8457434648,198.10771529123707,7.3017926856,0.1127738292081001,0.13705540721305598,0.05882439045895413,0.0704568655,0.0789190838,0.0323743492,7603779051103,3683440080251,0.0,0.8679847519,0.1812866762,0.6098963469,-5.172716588780092,2.1670928720041256,28570833520000,2341871600,14.8703158276,1.1658483189,0.8747372645,5.7186843801,820.4264214310468,10464.4830739059,5.9501660788
POW,2017,5,1.5746567284,1.1852400016,1.5867617979380877,1.183834949059547,0.4559708307,0.6454522356,101.34887916664054,50.6577859142,82.5339255631,234.54059064394056,7.2052102833,0.13824375199141362,0.16569017036346514,0.07516839917478725,0.0819233842,0.078082786,0.0342745974,8423450643806,4107229065400,0.0,0.9934853102,0.1634114044,0.6496911291,-3.0393336475262545,2.1852400016041904,26564647924765,2177430158,11.8950247635,1.0667595722,0.8941299696,4.3459027218,1025.6388903156728,11436.5038921767,5.8379244995
POW,2016,5,2.0609037111,1.6022659265,1.7938169391513623,1.1442442212179353,0.4001240519,0.5688820171,95.81383896642168,52.650408455,81.9235625467,230.38780996812167,6.9325198172,0.10728518687320497,0.13407705982835189,0.0381005096344873,0.0404672729,0.052772914,0.0152449303,7343173839117,3026703969486,0.0,1.0244001158,0.258388037,0.8242612702,-2.275793439222957,2.6022659264889367,26564647924765,2177430158,24.7140030065,1.1043146623,0.9416161097,7.084526145,493.64726529658,11047.5758557003,7.1427204544
