time,open,high,low,close,volume
2023-09-11 10:00:00,74.52,77.43,74.52,77.02,581700
2023-09-11 11:00:00,77.02,77.16,76.61,76.98,56300
2023-09-11 13:00:00,77.07,77.2,76.43,76.52,118700
2023-09-11 14:00:00,76.52,76.57,76.16,76.34,87900
2023-09-12 10:00:00,77.48,77.48,77.3,77.39,175100
2023-09-12 11:00:00,77.39,77.43,76.98,77.02,79800
2023-09-12 13:00:00,76.98,77.16,76.48,77.02,83100
2023-09-12 14:00:00,77.02,77.25,76.57,76.98,144800
2023-09-13 10:00:00,77.02,77.02,76.61,76.7,175700
2023-09-13 11:00:00,76.57,76.93,76.52,76.57,59000
2023-09-13 13:00:00,76.57,76.7,75.97,76.48,182600
2023-09-13 14:00:00,76.57,76.57,75.93,76.02,267800
2023-09-14 10:00:00,78.39,78.39,77.84,78.21,676200
2023-09-14 11:00:00,78.21,78.39,78.03,78.03,50100
2023-09-14 13:00:00,78.03,78.39,77.66,77.93,218400
2023-09-14 14:00:00,77.93,78.21,76.66,77.66,217900
2023-09-15 10:00:00,77.39,77.39,77.11,77.2,137800
2023-09-15 11:00:00,77.11,77.11,76.48,76.57,60700
2023-09-15 13:00:00,76.48,76.57,76.29,76.38,91000
2023-09-15 14:00:00,76.48,76.48,75.75,75.75,221800
2023-09-18 10:00:00,73.92,74.29,73.92,74.11,175800
2023-09-18 11:00:00,74.2,74.47,74.2,74.2,17600
2023-09-18 13:00:00,74.11,74.2,73.47,73.56,176600
2023-09-18 14:00:00,73.56,74.01,73.29,73.65,113600
2023-09-19 10:00:00,72.92,73.01,72.47,72.47,204400
2023-09-19 11:00:00,72.37,72.37,71.55,71.83,66000
2023-09-19 13:00:00,71.83,72.19,71.64,71.92,186200
2023-09-19 14:00:00,71.92,72.19,71.64,72.01,209200
2023-09-20 10:00:00,72.56,72.83,72.47,72.47,187100
2023-09-20 11:00:00,72.47,72.47,72.01,72.1,54600
2023-09-20 13:00:00,72.1,72.37,72.1,72.1,154900
2023-09-20 14:00:00,72.1,73.83,72.1,73.38,126400
2023-09-21 10:00:00,74.38,74.47,73.56,73.56,151400
2023-09-21 11:00:00,73.65,74.11,73.19,73.19,87500
2023-09-21 13:00:00,73.19,73.74,73.19,73.19,110600
2023-09-21 14:00:00,73.19,73.56,72.92,72.92,130900
2023-09-22 10:00:00,71.46,71.46,70.73,70.92,231200
2023-09-22 11:00:00,70.82,71.01,70.73,70.73,21700
2023-09-22 13:00:00,70.73,71.37,70.37,71.28,122000
2023-09-22 14:00:00,71.19,71.64,71.19,71.64,88800
2023-09-25 10:00:00,71.55,71.83,71.46,71.46,52500
2023-09-25 11:00:00,71.46,71.92,71.46,71.92,12700
2023-09-25 13:00:00,71.92,71.92,71.1,71.1,55700
2023-09-25 14:00:00,71.1,71.28,69.27,69.27,105600
2023-09-26 10:00:00,68.45,69.82,68.45,69.27,176100
2023-09-26 11:00:00,69.64,69.64,68.45,68.55,32100
2023-09-26 13:00:00,68.45,68.82,68.36,68.73,90400
2023-09-26 14:00:00,68.73,69.09,68.64,68.64,115400
2023-09-27 10:00:00,68.36,68.64,67.82,68.18,124700
2023-09-27 11:00:00,68.18,68.27,67.45,67.45,61500
2023-09-27 13:00:00,67.45,67.82,67.36,67.45,139800
2023-09-27 14:00:00,67.36,68.64,67.36,67.54,183500
2023-09-28 10:00:00,67.45,67.54,66.63,66.72,149300
2023-09-28 11:00:00,66.72,66.81,66.63,66.63,29600
2023-09-28 13:00:00,66.72,67.18,66.08,66.54,146300
2023-09-28 14:00:00,66.81,66.81,65.99,65.99,127000
2023-09-29 10:00:00,66.63,66.72,66.45,66.54,129400
2023-09-29 11:00:00,66.54,66.54,66.08,66.08,34000
2023-09-29 13:00:00,66.08,66.27,65.99,66.18,95000
2023-09-29 14:00:00,66.27,66.63,66.08,66.08,102800
2023-10-02 10:00:00,66.54,66.72,66.27,66.45,68400
2023-10-02 11:00:00,66.45,66.63,66.45,66.54,4800
2023-10-02 13:00:00,66.54,66.63,66.36,66.36,82900
2023-10-02 14:00:00,66.36,66.72,66.36,66.54,62200
2023-10-03 10:00:00,65.9,65.9,64.63,64.72,295100
2023-10-03 11:00:00,64.72,64.9,64.63,64.72,54900
2023-10-03 13:00:00,64.81,65.17,64.26,64.99,141500
2023-10-03 14:00:00,65.17,65.26,64.08,64.08,116600
2023-10-04 10:00:00,63.53,63.99,63.35,63.35,129900
2023-10-04 11:00:00,63.53,63.62,63.44,63.53,15200
2023-10-04 13:00:00,63.53,63.81,63.17,63.44,97000
2023-10-04 14:00:00,63.53,63.81,63.44,63.81,93500
2023-10-05 10:00:00,64.35,64.35,63.81,63.9,74000
2023-10-05 11:00:00,63.9,63.99,63.81,63.9,7700
2023-10-05 13:00:00,63.71,64.08,63.62,63.62,56300
2023-10-05 14:00:00,63.53,63.81,63.35,63.35,47000
2023-10-06 10:00:00,63.26,63.35,62.71,62.71,94000
2023-10-06 11:00:00,62.71,62.71,62.26,62.44,42700
2023-10-06 13:00:00,62.44,63.44,62.44,63.44,103100
2023-10-06 14:00:00,63.44,63.81,63.26,63.44,80500
2023-10-09 10:00:00,63.17,63.53,63.08,63.17,92100
2023-10-09 11:00:00,63.17,63.53,63.08,63.08,49200
2023-10-09 13:00:00,63.08,63.35,62.8,62.89,143300
2023-10-09 14:00:00,62.89,62.99,62.71,62.71,153600
2023-10-10 10:00:00,63.26,63.26,62.8,62.8,239700
2023-10-10 11:00:00,62.89,62.89,62.71,62.71,66500
2023-10-10 13:00:00,62.71,62.8,62.44,62.53,160200
2023-10-10 14:00:00,62.44,62.71,61.98,62.71,129600
2023-10-11 10:00:00,62.62,62.62,62.16,62.16,193000
2023-10-11 11:00:00,62.16,62.44,61.98,61.98,89300
2023-10-11 13:00:00,61.98,62.26,61.89,62.16,122000
2023-10-11 14:00:00,62.16,62.16,61.8,61.98,128300
2023-10-12 10:00:00,62.44,62.8,62.35,62.71,223500
2023-10-12 11:00:00,62.71,62.71,62.53,62.53,88300
2023-10-12 13:00:00,62.53,62.8,62.53,62.71,154400
2023-10-12 14:00:00,62.71,62.8,62.62,62.8,60000
2023-10-13 10:00:00,62.35,62.62,62.35,62.53,115300
2023-10-13 11:00:00,62.53,62.62,62.53,62.53,34400
2023-10-13 13:00:00,62.53,62.8,62.35,62.71,123600
2023-10-13 14:00:00,62.71,64.17,62.71,63.9,332300
2023-10-16 10:00:00,64.35,65.45,64.35,65.45,302600
2023-10-16 11:00:00,65.45,65.45,64.81,64.81,75300
2023-10-16 13:00:00,64.81,65.08,64.63,64.99,138100
2023-10-16 14:00:00,64.99,64.99,64.63,64.63,148200
2023-10-17 10:00:00,64.99,64.99,64.63,64.72,103000
2023-10-17 11:00:00,64.72,64.81,64.63,64.81,35500
2023-10-17 13:00:00,64.72,64.72,63.9,64.08,115800
2023-10-17 14:00:00,64.17,64.26,63.71,63.71,98200
2023-10-18 10:00:00,62.8,63.08,62.53,63.08,134100
2023-10-18 11:00:00,62.53,63.08,62.53,62.89,8500
2023-10-18 13:00:00,62.8,62.89,62.53,62.8,87700
2023-10-18 14:00:00,62.8,62.8,61.53,62.26,281100
2023-10-19 10:00:00,62.53,62.53,61.98,62.07,103100
2023-10-19 11:00:00,62.16,62.53,62.16,62.44,34100
2023-10-19 13:00:00,62.53,62.71,62.16,62.35,77200
2023-10-19 14:00:00,62.35,62.53,62.26,62.26,75100
2023-10-20 10:00:00,62.44,62.44,62.16,62.16,62500
2023-10-20 11:00:00,62.16,62.16,61.98,62.16,27600
2023-10-20 13:00:00,61.98,62.44,61.98,62.26,56200
2023-10-20 14:00:00,62.26,63.81,62.26,63.81,63200
2023-10-23 10:00:00,63.17,63.17,62.44,62.44,96300
2023-10-23 11:00:00,62.44,62.71,62.44,62.44,16000
2023-10-23 13:00:00,62.53,62.8,61.98,62.53,109600
2023-10-23 14:00:00,62.53,62.8,61.8,61.8,93300
2023-10-24 10:00:00,62.16,62.44,62.16,62.35,51500
2023-10-24 11:00:00,62.35,62.71,62.35,62.62,12900
2023-10-24 13:00:00,62.62,62.89,62.35,62.71,56700
2023-10-24 14:00:00,62.8,63.62,62.62,62.99,54000
2023-10-25 10:00:00,62.71,62.89,62.71,62.71,56600
