CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
SAB,2024,25066732804106,4477501667326,16566239177101,1818472380110,1978543927286,225975652283,8372673560545,0,3593253846771,268304664076,3672561077153,0,682574707770,33439406364651,9002313181979,8657140531800,345172650179,24437093182672,24437093182672,3208666226,9217801321446,0,1154973247501,33439406364651,48390695221,0,2042852750470,0,1181709861073,12825623720000,12825623720000,0,169444430406,94511172026,245383983749,0,455034726932,410929271916,34416343693,33965243693
SAB,2023,26553405591714,5039908030600,17741052417665,1229401278553,2317504988808,225538876088,7503219247991,0,3969724119615,279064752080,2287392366503,0,788417120457,34056624839705,8571466944838,8224608450196,346858494642,25485157894867,25485157894867,3208666226,10217284050181,0,1272845884034,34056624839705,33281517536,0,2393084700363,0,1122241373127,12825623720000,12825623720000,0,170828414155,44800935324,530129396183,0,550304398466,434314271916,35152681051,34701581051
SAB,2022,26860224573663,4069464160642,19411469500000,897692694315,2193521139336,288077079370,7604851042093,0,4454982147731,153128987010,2214115381757,0,611356317724,34465075615756,9874229696363,9213862412096,660367284267,24590845919393,24590845919393,3208666226,15564895669872,0,1450551977121,34465075615756,68059544421,0,2272494533814,0,1122241373127,6412811860000,6412811860000,0,374432513250,36931211976,658625815321,0,383451267863,434314271916,46171128871,37720028871
SAB,2021,22877033322264,3606454403209,16991239000000,467956130071,1668001734209,143382054775,7609991050161,4000000000,4401799818086,41270248842,2125162874416,0,477646364587,30487024372425,7892238669264,7258020535153,634218134111,22594785703161,22594785703161,3208666226,13655871142263,0,1373313368684,30487024372425,29859261503,0,1755711816417,0,1122241373127,6412811860000,6412811860000,0,341226010423,63252571190,321746371972,0,263131483984,434314271916,41960830291,12640850386
SAB,2020,19513381452440,2726137088387,14547419432877,590846416109,1446832994933,202145520134,7861591322918,4000000000,4874503649521,65173748670,2351285997476,0,530530707659,27374972775358,6159696384430,5173043219872,986653164558,21215276390928,21215276390928,3208666226,12374498805733,0,1275045554465,27374972775358,164204071490,0,1525038920678,0,1122846170630,6412811860000,6412811860000,0,526263958457,64714811339,448791959859,0,330639468712,665885700116,41278370471,11958390566
SAB,2019,19164602511633,4115884646637,12393226750273,568608377917,1967137719907,119745016899,7797873582412,4000000000,4685440455287,58433154033,2162738822723,0,574377366136,26962476094045,6886229037681,6087830053039,798398984642,20076247056364,20076247056364,3208666226,11231596467620,0,1270984359590,26962476094045,54679363371,0,2169540753708,0,1130372829157,6412811860000,6412811860000,0,494244987274,42587372642,560511063296,0,328604633780,665885700116,38495491774,9110080969
SAB,2018,14690168205219,4467391585137,7544188420764,765630597003,1813754190894,99203411421,7676574586994,4000000000,4567091079194,54567837235,2119042308110,0,785634733378,22366742792213,6254837224044,5925696932383,329140291661,16111905568169,16111868168169,0,7473777581426,37400000,1065496239757,22366742792213,74757986951,0,2034063807573,0,1130147220442,6412811860000,6412811860000,0,14618022047,110463408413,594242788680,0,551794760319,688510888053,35180710917,5860731012
SAB,2017,13686327476651,4268598818042,6558801231269,715326353415,2003535067335,140066006590,8327361633259,4000000000,5008100480672,67657774573,2152327824131,0,967676123715,22013689109910,7593162674962,7401584603555,191578071407,14420526434948,14420489034948,0,5823903898574,37400000,1037160242869,22013689109910,108549780497,0,2116546352025,0,1118963482640,6412811860000,6412811860000,0,1941629834,89250848970,722903981780,0,816991436755,736652914597,49118570411,20093775062
SAB,2016,10722470187475,3444825444503,3174321174216,1090484124645,2134361489832,878477954279,8472277522027,4000000000,5473890167787,56987547102,1959509760655,0,887543265032,19194747709502,6898812937830,6613016425796,285796512034,12295934771672,12295897371672,3208666226,3713726741137,37400000,1048154471881,19194747709502,166784656218,0,2171045269254,0,1118398295310,6412811860000,6412811860000,0,164412285558,490295652849,1042309667870,0,756355605445,763251332167,46503666490,17479816391
SAB,2015,12194294244759,7935974303078,942766940162,1085026567826,1924903591065,305622842628,9377631443590,4000000000,5854864117634,45648186191,2220151475157,0,1141597073679,21571925688349,7507221969018,6759695103391,747526865627,14064703719331,14064666319331,3208666226,5558226879589,37400000,995617570458,21571925688349,71471592573,0,1960525998246,56900000,1100003125251,6412811860000,6412811860000,0,610451263039,381635895798,1051664640371,0,626304930215,759464745367,42494839492,34494839492
