CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
SAB,2024,5647358628166,548883626755,4315069033,580733992,0,-1248531376385,27449548631,0,4980056230192,13722096167,345459551432,208910758673,123176401221,-27622609286,-1156741713349,0,-124451146510,4362509568540,-296018278038,3524838452,-20386135177101,20264668417665,-954279098706,0,1387123683050,18884385322,0,0,2934074426368,-3218974426368,0,-4658550227964,0,-4943450227964,-562056274102,5039908030600,-350089172,4477501667326
SAB,2023,5370410404295,570032022357,3417866623,8344264858,0,-1625915309149,50214725919,0,4376503974903,-39584410728,-135490197099,-787119601677,-146695187651,-50352399174,-1099769434435,0,-177428635660,1940064108479,-283734894513,2485031224,-17562407857117,19195704939452,0,0,1363536248562,2715583467608,0,0,4130545304850,-4461477622999,0,-3354092726063,0,-3685025044212,970622531875,4069464160642,-178661917,5039908030600
SAB,2022,6813417318962,561105325398,-375364909,-6770234675,0,-1030693700071,-323119361276,0,6059081280429,-318889338291,-524913148727,739396642915,-94057434127,-48765455244,-1329727378601,0,-103607745314,4378517423040,-533164261997,4266273000,-22641269675342,20288539175342,0,0,1013860242106,-1867768246891,0,0,3279890701619,-2908733012244,0,-2418865072091,0,-2047707382716,463041793433,3606454403209,-32036000,4069464160642
SAB,2021,4856894249743,557477760126,-63136957901,-24130427975,0,-1245343063898,48739800374,0,4056683421384,-52721845531,-223957039716,658279721558,145399315693,-35346961903,-919005428188,0,-111479623915,3517851559382,-329541012650,3485470000,-18159840000000,15706420432877,0,444560822504,1111565947946,-1223348339323,0,0,2984178514935,-3301893636020,0,-1096306570171,0,-1414021691256,880481528803,2726137088387,-164213981,3606454403209
SAB,2020,6111818325965,593451595931,-41308902896,10993808785,0,-933512405110,63681326473,-267405919991,5537717829157,70185855564,573632990375,-660694079661,-44422006927,-72029586806,-1038633850562,0,-237145573484,4128611577656,-367442290535,1440687000,-16247323041096,14066130358492,0,0,1023969279237,-1523225006902,0,0,3061076110807,-3309442411518,-12727272727,-3734027010258,0,-3995120583696,-1389734012942,4115884646637,-13545308,2726137088387
SAB,2019,6686176624962,647247814181,358145344743,790189554,0,-862160728753,37367206872,-378267281269,6489621772485,95622299886,-109295244209,11238478499,218117087755,-36835510098,-1398559753310,0,-264896575660,5005012555348,-268997916043,4838741500,-14261677226631,9379638897122,0,0,1037153622426,-4109043881626,0,0,3235967733915,-3346479516980,0,-1136965484108,0,-1247477267173,-351508593451,4467391585137,1654951,4115884646637
SAB,2018,5390439641506,634592696360,241180788466,-71937562,0,-628666671052,35244808353,-354965023940,5347492278838,119830562870,36215461662,324263923251,203652800227,-35956684154,-1140987498904,0,-339724962299,4514785881491,-290439347849,2009409588,-10860587189495,9875200000000,0,28339826544,934229165303,-311248135909,0,0,3255664065073,-3371648865960,0,-3888748971778,0,-4004733772665,198803972917,4268598818042,-11205822,4467391585137
SAB,2017,6077091655134,625353451649,81974112122,105642811,0,-920687812365,42111534689,0,5905948584040,187690969602,50519655998,-329359651676,-17853632868,-44424319099,-294736168316,0,-389966128772,5067819308909,-151157759584,14863280117,-7278046709349,3893566652296,-43880715400,66048265300,678088897966,-2820518088654,67207854357,0,3541517218824,-4023393560638,0,-1008864945050,0,-1423533432507,823767787748,3444825444503,5585791,4268598818042
SAB,2016,5727343407406,632464161880,-7126993043,1407026,0,-1053307864078,82182081908,0,5381556201099,-106137506487,-210519271008,-2915780040492,-54335072441,-87165769568,-984037331258,0,-304207973110,719373236735,-156346954556,40502081658,-3034021174216,809466940162,-27824678187,581149667139,783616859474,-1003457258526,5820025630,0,3880680269651,-4336074219633,0,-3757483070376,0,-4207056994728,-4491141016519,7935974303078,-7842056,3444825444503
SAB,2015,4470009453924,635241633774,22840437585,384024309,0,-819627916702,76591492301,0,4385439125191,-105417374006,-84932768024,-774900043654,273630377756,-80326998764,-1211869431681,0,-243887887842,2157734998976,-308673187526,4037308250,-473591606830,569067236337,-118026720800,64794970000,645050304869,382658304300,0,7000000000,2905342309369,-2592838754496,0,-1678981344470,0,-1359477789597,1180915513679,6755058789399,0,7935974303078
SAB,2014,3595435771383,583098745526,-43982601596,-1474699220,-5472684995,-327593746441,107216380395,-352889124104,3554338040948,29463274606,-178454673996,933106399448,63855938685,-134010967721,-1057518432641,0,-311302741018,2899476838311,-955790856918,82969509792,-53200000000,101302293480,-20000000000,32556550347,573857066395,-238305436904,0,0,2044273792875,-2364667170475,0,-659474548644,0,-979867926244,1681303475163,5073755314236,0,6755058789399
SAB,2013,3277940841409,521649086860,73338761174,-821985824,25833818100,-302093974362,149827042165,-370201638197,3375471951325,116652990724,-498649744507,1184995924098,-19208761365,-135357119403,-921230380275,46800848252,-238217487610,2911258221239,-762077922417,28108331631,-136626560000,0,-22586708802,42635405008,355830804999,-494716649581,0,0,1402550054827,-1394809860051,0,-2237714110944,0,-2229973916168,186567655490,1662187658746,0,1848755314236
