CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
SAB,2024,0.047465123610580716,32164260254074,4330113031371,0.05160960294589685,1067078171491,-27449548631,32164260254074,-291842767418,31872417486656,-22554220918390,9318196568266,-24787963014,197444756654,-4041556507837,-839413837596,5676961187964,28313181138,0,-57915740936,-29602559798,5647358628166,-1146257135410,-6328065844,4494773426912,164660395541,4330113031371
SAB,2023,-0.1285376319526141,30706760090689,4117605068688,-0.21176834254303956,1432568520354,-50214725919,30706760090689,-245392808474,30461367282215,-21370004777980,9091362504235,-73433682681,232053894657,-4479227839581,-800691619935,5402631777049,17484692469,0,-49706065223,-32221372754,5370410404295,-1099082811973,-16274596613,4255052995709,137447927021,4117605068688
SAB,2022,0.32575398155623836,35235899123781,5223851427095,0.4205855193615993,1090560762647,-45517297000,35235899123781,-256815129946,34979083993835,-24208377066751,10770706927084,-81993117030,323119361276,-4532068273139,-740665660468,6829660000370,20990166318,0,-37232847726,-16242681408,6813417318962,-1323982218726,10362877048,5499797977284,275946550189,5223851427095
SAB,2021,-0.055360965406210126,26578007393513,3677252341304,-0.22149787537784357,1119597121857,-48739800374,26578007393513,-204261099655,26373746293858,-18765181482365,7608564811493,-22784167607,172939963562,-3500368629369,-597716255412,4780232844524,95929356826,0,-19267951607,76661405219,4856894249743,-954964248596,27375546091,3929305547238,252053205934,3677252341304
SAB,2020,-0.2621865659880159,28135622624299,4723496860190,-0.06527672739419607,974401634870,-63681326473,28135622624299,-174298787288,27961323837011,-19460229052562,8501094784449,-105449377566,267405919991,-2859036781083,-702005344515,6076410836146,55952250986,0,-20544761167,35407489819,6111818325965,-1124942822470,-50029533241,4936845970254,213349110064,4723496860190
SAB,2019,0.05800767702281712,38133790098273,5053363919165,0.20968184148330787,889852505295,-37367206872,38133790098273,-234730596978,37899059501295,-28348430809281,9550628692014,-93009586460,378267281269,-3003290717435,-1047841925145,6674606249538,74504231449,0,-62933856023,11570375426,6686176624964,-1347171652994,31142736572,5370147708542,316783789377,5053363919165
SAB,2018,0.04660082793274859,36043018331946,4177432235379,-0.113351299221284,630350383424,-35244808353,36043018331946,-94465769999,35948552561947,-27864413389551,8084139172396,-74634952869,354965023940,-2731090859491,-912705312866,5351023454534,81737853570,0,-42321666598,39416186972,5390439641506,-1021134431877,33444736795,4402749946424,225317711045,4177432235379
SAB,2017,0.12534046109774116,34438171048592,4711485204580,0.08590258514121703,506107630554,-42111534689,34438171048592,-244780494353,34193390554239,-25327872489662,8865518064577,25805674678,411873934390,-2811111874500,-935974797536,6062218632163,106139463217,0,-91266440247,14873022970,6077091655133,-1140540458945,12048055675,4948599251863,237114047283,4711485204580
SAB,2016,0.12651085119858452,30602446316556,4338773356882,0.2722571969934165,751041069989,-82182081908,30602446316556,-135752579713,30466693736843,-22299654609655,8167039127188,-68664200785,305649678623,-2671906350771,-780911026732,5702248297512,138614329944,0,-113519220050,25095109894,5727343407406,-411415406799,-798584559967,4517343440640,178570083758,4338773356882
SAB,2015,0.1026914377554049,27165691554587,3410295785424,0.29810068933824396,418646983429,-76591492301,27165691554587,-21389967243,27144301587344,-19586557965165,7557743622179,-121795134306,371953576001,-2682881800251,-1110422928996,4433244318056,132650025073,0,-95884889205,36765135868,4470009453924,-1085882523432,215969195687,3600096126179,189800340755,3410295785424
SAB,2014,-0.12624847697198127,24635805289179,2627142727397,0.2221531694742948,367210083520,-107216380395,24635805289179,-24927925805,24610877363374,-18426464423789,6184412939585,-89057508448,343821491260,-2342286981695,-912173911669,3551926112553,196849093950,0,-153339434920,43509659030,3595435771583,-921484923367,134108594639,2808059442855,180916715458,2627142727397
SAB,2013,,28195436162220,2149601860892,,375678053934,-132714938479,28195436162220,-4179831767261,24015604394959,-18150096081147,5865508313812,-189778165391,0,-2145509761977,-970529887682,2935368552696,185470707720,307215574362,-150113993369,35356714351,3277940841409,-1142566017441,41380277029,2176755100997,27153240105,2149601860892
