Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
SAB,2024,5,0.0239092613,0.3683872347,0.14704096841268036,1.905333706661402,0.9444234548,8.4285363856,5.224391550555051,35.893883797,41.4195117628,82.53778711035505,10.1688633658,0.13921837666348122,0.2923592655677042,0.1358576905308135,0.1823419232,0.1785466048,0.1283071894,4986109849588,4437226222833,0.0405679513,2.8954979663,0.5172033018,0.7272579236,-161.65024359715127,1.3683872347126136,63230324939600,1282562372,14.6024652201,2.7158319395,1.9838572009,14.4940255021,3376.1422648153284,18152.8169260614,11.8664958196
SAB,2023,5,0.0342076054,0.3363317183,0.1557661183027062,1.9870501779282668,0.8891013235,7.2314372313,4.89550305244966,39.8440814161,45.7984697616,90.53805423014967,9.1607081159,0.125123833392217,0.29845549676107386,0.13517466338722364,0.1739125012,0.1455520585,0.1201839721,4381475067076,3811443044719,0.0630630631,3.2285312733,0.6127839472,0.7622623432,-75.90289451877392,1.3363317182572525,71182211646000,1282562372,17.7263974989,2.9399179894,2.336802908,36.6906492084,3210.452106330779,18878.0776197861,15.2558808169
SAB,2022,5,0.0572363735,0.4015408713,0.1811642495884081,1.9173216411336447,1.0770732278,7.8988246812,2.3516915493263495,30.3674904307,40.7852594797,73.50444145972635,12.019432453,0.15717887279283838,0.30791849577828617,0.14934214480904343,0.2355114264,0.2145642186,0.160852426,6059078318875,5497972993477,0.0793650794,2.9151970555,0.4416675634,0.5390960525,-120.7886530141937,1.4015408712953594,40400714718000,641281186,7.954695131,1.7459032638,1.1549963608,9.227030708,8145.9608376769065,36084.4734688225,6.1666654431
SAB,2021,5,0.0444438113,0.3492946901,0.19481485135175194,1.761690986452938,0.9116085719,5.6862620732,1.2611874570535235,31.9068062349,42.2464416325,75.41443532445354,11.4395655057,0.13310509199557788,0.28849010401168934,0.13942851729639827,0.1678725008,0.1509380188,0.1271042315,4067957686838,3510479926712,0.0209706411,3.1519659129,0.4968922843,0.5613666307,-72.02491392608674,1.349294690064703,107029829943400,641281186,29.8944933877,5.0434686273,4.0581959328,30.4247715223,5734.227701643504,33092.3045892648,25.5868806746
SAB,2020,5,0.07076598249999999,0.2903424999,0.22976385316410103,1.6541321384507295,1.0291732284,5.8496835401,1.5597886289426222,34.6481425658,39.8316261124,76.03955730714262,10.5344752408,0.17667449108085864,0.30403048274833566,0.1689296575413838,0.2287877252,0.2226218423,0.173857881,5533504254782,4940052658851,0.0231788079,3.7721280537,0.5269890416,0.6412054498,-77.57458791229033,1.2903424999480086,96833459086000,641281186,21.2517339652,4.8561854615,3.4631214048,23.4542429736,7365.718756935433,31094.3643315664,17.1830315001
SAB,2019,5,0.0771559064,0.3430038004,0.2333822871442377,1.565323254030721,1.5365765101,8.192149221,1.9928930747234375,27.0617388876,28.6771332922,57.73176525452344,13.4876772522,0.1451090375803675,0.2520017334912403,0.1333374491520648,0.2792827792,0.2602572165,0.2048831923,6146743863615,5499496049434,0.0223214286,3.1480186445,0.6760840251,0.7694848548,-147.17439460413306,1.3430038003790217,100552889964800,641281186,20.8551704818,5.3470611704,2.6531763924,20.0904371074,7880.106308256796,29324.5195825439,15.8607164268
SAB,2018,5,0.038696778,0.3882121328,0.28346064094472073,1.2562278388882127,1.6200181486,7.5086858236,2.1640894843877163,27.1847228053,26.5104552421,55.85926753178772,13.4266588854,0.12351938210550605,0.22488079759165017,0.11620585357867737,0.2736390101,0.2655585814,0.1882555918,5074935696399,4440343000039,0.0318877551,2.4790616822,0.7539014628,0.8831066188,-125.9857325812652,1.3882121327970778,100552889964800,641281186,25.7012058939,6.6828661715,2.7971332028,22.2719067092,6514.197401354918,23462.9866849267,19.0533171206
SAB,2017,5,0.050399494399999994,0.5265523911,0.34728971256797664,1.1243528384869848,1.6595334933,6.5242169548,3.9101937909175,30.8942439284,29.0854477279,63.88988544721751,11.8144985469,0.14969066563966296,0.2592757816898602,0.13778935426442848,0.3527027901,0.3379534934,0.2286660484,5743784844190,5118431392541,0.0223214286,1.8491077532,0.5767141831,0.6733592114,-121.54464163658209,1.5265523910805396,100552889964800,641281186,22.9868845383,7.5132944521,2.9407112993,19.8414512901,7346.9880411866625,20869.6732170761,16.8894099257
SAB,2016,5,0.1115111836,0.561064536,0.4451788554049609,0.9587007259926069,1.4946862816,5.3786485203,7.087908456717688,33.8127100853,29.2510153425,70.15163388451768,10.7947573288,0.154733617976543,0.26806450341251503,0.1424103775210493,0.3291857561,0.3491329037,0.2128588376,5346685911565,4714221749685,0.0191326531,1.6214189558,0.5209159063,0.6858155609,-57.36313366899622,1.5610645360386781,100552889964800,641281186,24.6272238691,8.9398282714,3.3004201517,139.7784694093,6765.78925376738,17539.486804453,18.3879861469
