time,open,high,low,close,volume
2023-09-11 09:15:00,11.04,11.04,11.0,11.04,509100
2023-09-11 09:20:00,11.04,11.04,11.0,11.0,342000
2023-09-11 09:25:00,11.0,11.0,10.96,11.0,260500
2023-09-11 09:30:00,11.0,11.0,10.96,11.0,333000
2023-09-11 09:35:00,11.04,11.04,11.0,11.0,114700
2023-09-11 09:40:00,11.0,11.04,10.96,10.96,947900
2023-09-11 09:45:00,11.0,11.0,10.96,10.96,127100
2023-09-11 09:50:00,10.96,11.0,10.96,11.0,323900
2023-09-11 09:55:00,11.0,11.0,10.96,11.0,649800
2023-09-11 10:00:00,11.0,11.0,10.96,10.96,145700
2023-09-11 10:05:00,10.96,10.96,10.92,10.96,1144800
2023-09-11 10:10:00,10.96,10.96,10.92,10.96,601700
2023-09-11 10:15:00,10.96,10.96,10.92,10.96,161300
2023-09-11 10:20:00,10.92,10.96,10.92,10.96,253400
2023-09-11 10:25:00,10.96,10.96,10.92,10.92,124700
2023-09-11 10:30:00,10.96,10.96,10.92,10.96,308900
2023-09-11 10:35:00,10.96,10.96,10.92,10.96,68100
2023-09-11 10:40:00,10.96,10.96,10.92,10.96,138700
2023-09-11 10:45:00,10.96,10.96,10.92,10.92,120500
2023-09-11 10:50:00,10.92,10.96,10.92,10.96,138300
2023-09-11 10:55:00,10.96,10.96,10.92,10.92,99700
2023-09-11 11:00:00,10.92,10.96,10.92,10.96,67700
2023-09-11 11:05:00,10.96,10.96,10.92,10.92,1366700
2023-09-11 11:10:00,10.92,10.92,10.87,10.92,233200
2023-09-11 11:15:00,10.92,10.92,10.87,10.87,279300
2023-09-11 11:20:00,10.92,10.92,10.87,10.92,195300
2023-09-11 11:25:00,10.92,10.96,10.87,10.92,1403500
2023-09-11 13:00:00,10.92,10.92,10.87,10.87,1712000
2023-09-11 13:05:00,10.87,10.92,10.83,10.87,868800
2023-09-11 13:10:00,10.87,10.92,10.83,10.87,496800
2023-09-11 13:15:00,10.87,10.87,10.83,10.83,1031400
2023-09-11 13:20:00,10.83,10.83,10.74,10.79,1821600
2023-09-11 13:25:00,10.74,10.83,10.7,10.79,1158800
2023-09-11 13:30:00,10.83,10.87,10.79,10.83,631100
2023-09-11 13:35:00,10.87,10.87,10.74,10.79,1962600
2023-09-11 13:40:00,10.79,10.83,10.79,10.83,210700
2023-09-11 13:45:00,10.83,10.87,10.79,10.83,455000
2023-09-11 13:50:00,10.83,10.87,10.83,10.83,180200
2023-09-11 13:55:00,10.83,10.83,10.79,10.79,996800
2023-09-11 14:00:00,10.79,10.83,10.74,10.74,858100
2023-09-11 14:05:00,10.74,10.79,10.7,10.74,2671200
2023-09-11 14:10:00,10.74,10.74,10.66,10.7,1944800
2023-09-11 14:15:00,10.74,10.79,10.66,10.74,1306200
2023-09-11 14:20:00,10.74,10.79,10.7,10.7,1156800
2023-09-11 14:25:00,10.7,10.74,10.66,10.7,1686200
2023-09-11 14:45:00,10.61,10.61,10.61,10.61,2187400
2023-09-12 09:15:00,10.7,10.7,10.66,10.66,560000
2023-09-12 09:20:00,10.66,10.7,10.66,10.66,402000
2023-09-12 09:25:00,10.66,10.66,10.53,10.53,1711300
2023-09-12 09:30:00,10.61,10.61,10.53,10.61,713800
2023-09-12 09:35:00,10.61,10.66,10.57,10.61,287000
2023-09-12 09:40:00,10.61,10.66,10.61,10.66,83200
2023-09-12 09:45:00,10.66,10.66,10.61,10.61,493100
2023-09-12 09:50:00,10.61,10.66,10.61,10.61,331800
2023-09-12 09:55:00,10.61,10.61,10.57,10.61,131700
2023-09-12 10:00:00,10.61,10.61,10.57,10.61,167700
2023-09-12 10:05:00,10.61,10.61,10.57,10.61,381300
2023-09-12 10:10:00,10.61,10.66,10.57,10.66,520600
2023-09-12 10:15:00,10.66,10.66,10.61,10.66,481300
2023-09-12 10:20:00,10.66,10.66,10.61,10.61,507400
2023-09-12 10:25:00,10.61,10.61,10.57,10.61,158600
2023-09-12 10:30:00,10.61,10.61,10.61,10.61,156600
2023-09-12 10:35:00,10.61,10.66,10.61,10.66,575500
2023-09-12 10:40:00,10.66,10.66,10.57,10.57,261500
2023-09-12 10:45:00,10.57,10.66,10.57,10.61,289700
2023-09-12 10:50:00,10.61,10.66,10.61,10.61,506400
2023-09-12 10:55:00,10.66,10.66,10.61,10.61,751400
2023-09-12 11:00:00,10.66,10.7,10.61,10.66,415300
2023-09-12 11:05:00,10.66,10.7,10.66,10.66,488100
