CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
SHB,2024,747243848000000,1563509000000,27440936000000,117348823000000,4910456000000,4949608000000,-39152000000,0,510998820000000,519949991000000,-8951171000000,32336908000000,14956915000000,17812962000000,-432969000000,438197000000,0,363920000000,158272000000,-83995000000,5328025000000,826882000000,0,4501143000000,0,46878174000000,747243848000000,689394328000000,1242864000000,134090488000000,499897447000000,61927000000,1429650000000,39248195000000,13423757000000,57849520000000,38073428000000,5359627000000,-530940000000,0,14947405000000,0,0,0,0,0,0,0,0,0,0,0,36629085000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2023,630500685000000,1370849000000,54763646000000,63548928000000,7792742000000,7853152000000,-60410000000,0,429362729000000,438464147000000,-9101418000000,32063660000000,14373759000000,17833636000000,-143735000000,414448000000,0,343172000000,158272000000,-86996000000,5229416000000,734978000000,0,4494438000000,0,35954267000000,630500685000000,580402405000000,1333658000000,70766294000000,447503426000000,97152000000,1611235000000,42821727000000,16268913000000,50098280000000,37638324000000,5138098000000,-689038000000,0,8010896000000,0,0,0,0,0,0,0,0,0,0,0,36193981000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2022,542428085000000,1897545000000,15145862000000,63008862000000,1547000000,3881000000,-2334000000,269772000000,378575443000000,385633215000000,-7057772000000,32954676000000,12988616000000,20063662000000,-97602000000,46699000000,0,0,158272000000,-111573000000,4954396000000,502854000000,0,4451542000000,0,45573283000000,542428085000000,499523614000000,9715193000000,78283936000000,361675593000000,0,1615605000000,36440208000000,11793079000000,42904471000000,32118175000000,4061834000000,-606344000000,0,7330806000000,0,0,0,0,0,0,0,0,0,0,0,30673832000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2021,506604328000000,1878293000000,14352057000000,64131782000000,3245000000,3881000000,-636000000,252448000000,357778608000000,362416124000000,-4637516000000,25104577000000,9981614000000,15168829000000,-45866000000,131652000000,0,0,164391000000,-32739000000,4978978000000,536194000000,0,4442784000000,0,37992688000000,506604328000000,471072663000000,1510983000000,79732550000000,327196828000000,0,4952170000000,46292114000000,11388018000000,35531665000000,28118041000000,2923272000000,-293665000000,0,4784017000000,0,0,0,0,0,0,0,0,0,0,0,26673698000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2020,412679593000000,1619927000000,14806140000000,31250514000000,960000000,3889000000,-2929000000,133872000000,302199056000000,305637310000000,-3438254000000,28639598000000,16386007000000,13132592000000,-879001000000,133140000000,0,0,165891000000,-32751000000,4866063000000,532986000000,0,4333077000000,0,29030323000000,412679593000000,388643373000000,609712000000,38962390000000,303581729000000,0,3512967000000,31034079000000,10942496000000,24036220000000,17606547000000,2204210000000,-97830000000,0,4323293000000,0,0,0,0,0,0,0,0,0,0,0,17510091000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2019,365254318000000,1754801000000,10163244000000,33708490000000,502000000,3889000000,-3387000000,172946000000,262031207000000,265161676000000,-3130469000000,21604317000000,6558244000000,15780793000000,-734720000000,133140000000,0,0,165891000000,-32751000000,4817506000000,498334000000,0,4319172000000,0,30868165000000,365254318000000,346746875000000,725071000000,48623749000000,259236746000000,0,2509687000000,26732764000000,8918858000000,18507443000000,12132617000000,1816953000000,-49820000000,0,4607693000000,0,0,0,0,0,0,0,0,0,0,0,12036161000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2018,323276008000000,1884822000000,4328739000000,29300327000000,655000000,3889000000,-3234000000,58228000000,213986652000000,216988881000000,-3002229000000,48026925000000,25193006000000,24761139000000,-1927220000000,195767000000,0,0,201750000000,-5983000000,4792434000000,485674000000,0,4306760000000,0,20701459000000,323276008000000,306943476000000,12211237000000,44933789000000,225224141000000,0,1473711000000,16721736000000,6378862000000,16332532000000,12132617000000,1467001000000,-5891000000,0,2738805000000,0,0,0,0,0,0,0,0,0,0,0,12036161000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2017,286010081000000,1446548000000,3742659000000,33513516000000,1050000000,3889000000,-2839000000,136265000000,195441551000000,198290566000000,-2849015000000,21207964000000,12268348000000,10682862000000,-1743246000000,215465000000,0,0,227250000000,-11785000000,3952317000000,425424000000,0,3526893000000,0,26352746000000,286010081000000,271318861000000,2758343000000,53000419000000,194889770000000,0,1064161000000,14967269000000,4638899000000,14691220000000,11293347000000,1220358000000,0,0,2177515000000,0,0,0,0,0,0,0,0,0,0,0,11196891000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2016,240752689000000,1291694000000,2718757000000,30136422000000,40899000000,65382000000,-24483000000,44578000000,160578800000000,162376185000000,-1797385000000,18846623000000,10788497000000,9439853000000,-1381727000000,222949000000,0,0,229393000000,-6444000000,3962052000000,424046000000,0,3538006000000,16815000000,22893100000000,240752689000000,227521116000000,2572420000000,40114381000000,166576217000000,0,808887000000,13767675000000,3681536000000,13231573000000,11293347000000,1038259000000,0,0,897661000000,0,0,0,0,0,0,0,0,0,0,0,11196891000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2306000000
SHB,2015,204704140000000,1917860000000,4362518000000,29793709000000,54378000000,70927000000,-16549000000,0,130005807000000,131427193000000,-1421386000000,17316651000000,7479883000000,10399493000000,-562725000000,303409000000,0,0,313397000000,-9988000000,4056266000000,361018000000,0,3695248000000,16955000000,16876587000000,204704140000000,193446378000000,4224915000000,28145783000000,148828876000000,100011000000,414632000000,8259448000000,3472713000000,11257762000000,9582401000000,863808000000,0,0,808832000000,0,0,0,0,0,0,0,0,0,0,0,9485945000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2721000000
