CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
SHB,2024,0,0,0,622885000000,14680503000000,10263273000000,0,0,-210659000000,20908000000,-188509000000,435104000000,399698000000,10474462000000,110859786000000,0,121334248000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10263273000000,2474000000,0,0,0,0,0,0,-35406000000,0
SHB,2023,0,0,0,243550000000,19609473000000,40770417000000,0,0,-240841000000,4958000000,589442000000,0,-165000000,41359694000000,69500092000000,0,110859786000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40770417000000,1780000000,0,825440000000,0,0,0,0,-165000000,0
SHB,2022,0,0,0,60297000000,6763990000000,-2263194000000,0,0,-71255000000,4226000000,-45759000000,0,-122000000,-2309075000000,71809167000000,0,69500092000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2263194000000,15151000000,0,6119000000,0,0,0,0,-122000000,0
SHB,2021,0,0,0,238319000000,13045013000000,17690349000000,0,0,-195065000000,3750000000,-199689000000,6739434000000,6738501000000,24229161000000,47580006000000,0,71809167000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17690349000000,-9874000000,0,1500000000,0,0,0,0,-933000000,0
SHB,2020,0,0,0,257524000000,8274574000000,-6071092000000,0,0,-116006000000,-14931000000,-130401000000,2959560000000,2959115000000,-3242378000000,50822384000000,0,47580006000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6071092000000,536000000,0,0,0,0,0,0,-445000000,0
SHB,2019,0,0,0,79769000000,8992282000000,15977877000000,0,0,-146714000000,2334000000,-121488000000,0,-436000000,15855953000000,34966431000000,0,50822384000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15977877000000,1892000000,0,21000000000,0,0,0,0,-436000000,0
SHB,2018,0,0,0,68722000000,3249548000000,2073646000000,0,0,-172681000000,2202000000,-155354000000,0,-578000000,1917714000000,33048717000000,0,34966431000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2073646000000,1762000000,0,13363000000,0,0,0,0,-578000000,0
SHB,2017,0,0,0,155853000000,4602910000000,6631972000000,0,0,-117245000000,2816000000,74928000000,0,-330000000,6706570000000,26342147000000,0,33048717000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6631972000000,203443000000,-12857000000,15000000000,0,0,0,0,-330000000,0
SHB,2016,0,0,0,311318000000,3494626000000,-7830395000000,0,0,-173680000000,2127000000,411592000000,0,-288000000,-7419091000000,33761238000000,0,26342147000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7830395000000,538765000000,0,44380000000,0,0,0,0,-288000000,0
SHB,2015,0,0,0,-33707000000,1173713000000,5206269000000,0,0,-103775000000,8565000000,-67416000000,0,-2761000000,5136092000000,28625146000000,0,33761238000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5206269000000,919000000,0,27649000000,0,0,0,0,-2761000000,0
SHB,2014,0,0,0,-142608000000,463146000000,13117671000000,0,0,-136459000000,7820000000,-66141000000,0,-603732000000,12447798000000,16177348000000,0,28625146000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13117671000000,667000000,0,61831000000,0,0,0,0,-603732000000,0
SHB,2013,0,0,0,73292000000,-1288123000000,4954675000000,0,0,-458229000000,6325000000,-442820000000,0,-1066000000,4510789000000,11666558000000,0,16177347000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4954675000000,2263000000,0,6821000000,0,0,0,0,-1066000000,0
