CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
SHB,2024,50501004000000,-0.12308494458640828,9216046000000,0.258204844446738,50501004000000,-29373275000000,21127729000000,1557675000000,-286112000000,1271563000000,86282000000,3329000000,-133582000000,1278874000000,-176648000000,1102226000000,20908000000,23478455000000,-5749311000000,17729144000000,-6186137000000,11543007000000,-2326961000000,-2326961000000,0,0,9216046000000,9216046000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2023,57589391000000,0.4124161744576831,7324758000000,-0.0522919249499089,57589391000000,-38304038000000,19285353000000,912654000000,-367727000000,544927000000,282207000000,11122000000,27981000000,501021000000,-67385000000,433636000000,743171000000,21328397000000,-5051539000000,16276858000000,-7037837000000,9239021000000,-1914263000000,-1908466000000,-5797000000,0,7324758000000,7324758000000,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2022,40773670000000,0.1451242277742252,7728918000000,0.5435728948999243,40773670000000,-23223586000000,17550084000000,1241869000000,-351315000000,890554000000,116250000000,0,92641000000,807767000000,-120540000000,687227000000,4226000000,19340982000000,-4391593000000,14949389000000,-5260021000000,9689368000000,-1960450000000,-1961243000000,793000000,0,7728918000000,7728918000000,2107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2021,35606329000000,0.13805070584956367,5007161000000,0.9206513050189259,35606329000000,-20035980000000,15570349000000,908741000000,-323118000000,585623000000,143539000000,0,988410000000,1133849000000,-272502000000,861347000000,3750000000,18153018000000,-4405941000000,13747077000000,-7487035000000,6260042000000,-1252881000000,-1256692000000,3811000000,0,5007161000000,5007161000000,2106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2020,31287120000000,0.13020462162944776,2607012000000,0.07821778492818118,31287120000000,-21353921000000,9933199000000,749200000000,-226451000000,522749000000,124713000000,0,1293111000000,452687000000,-104117000000,348570000000,-14931000000,12207411000000,-4299189000000,7908222000000,-4640222000000,3268000000000,-660988000000,-662750000000,1762000000,0,2607012000000,2607012000000,1514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2019,27682704000000,0.2226605055543027,2417890000000,0.445830610069012,27682704000000,-19852265000000,7830439000000,883881000000,-189775000000,694106000000,156272000000,0,464149000000,378101000000,-136365000000,241736000000,2334000000,9389036000000,-3951732000000,5437304000000,-2410964000000,3026340000000,-608450000000,-571851000000,-36599000000,0,2417890000000,2417890000000,1890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2018,22641366000000,0.24265093703070667,1672319000000,0.08653666231788389,22641366000000,-17085464000000,5555902000000,822989000000,-109047000000,713942000000,61747000000,0,277881000000,251134000000,-121073000000,130061000000,2202000000,6741735000000,-3222791000000,3518944000000,-1425091000000,2093853000000,-421534000000,-421534000000,0,0,1672319000000,1672319000000,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2017,18220214000000,0.25064506649997087,1539128000000,0.6853341042082763,18220214000000,-13423554000000,4796660000000,1526170000000,-69305000000,1456865000000,54247000000,16456000000,-12372000000,359978000000,-222486000000,137492000000,2816000000,6452164000000,-2896897000000,3555267000000,-1629956000000,1925311000000,-386183000000,-386183000000,0,0,1539128000000,1539128000000,1510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2016,14568653000000,0.21488479042091937,913248000000,0.14855180913812835,14568653000000,-10393205000000,4175448000000,409808000000,-71743000000,338065000000,102040000000,-10104000000,10339000000,736423000000,-388227000000,348196000000,2127000000,4966111000000,-2507759000000,2458352000000,-1301913000000,1156439000000,-243378000000,-243378000000,0,187000000,913061000000,913248000000,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SHB,2015,11991798000000,0.16280166615452238,795130000000,0.005715832438455827,11991798000000,-8295644000000,3696154000000,189988000000,-92550000000,97438000000,26565000000,4160000000,-69645000000,304992000000,-130408000000,174584000000,8564000000,3937820000000,-2078640000000,1859180000000,-842126000000,1017054000000,-221898000000,-221437000000,-461000000,-26000000,795156000000,795130000000,839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
