Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
SHB,2024,5,0,0,0.09210145563869847,1.5793329081706566,0,0,,0,0,,0,0,0,0.4362061819327577,0.1707500477,0,0.0133784541,0,0,0.0,0,0,0,,12.917027626158351,46518937950000,3662908500,5.0476026216,0.8041369738,1.9813457892,4.5325636325,2516.0459236150728,15793.3292627976,0
SHB,2023,5,0,0,0.10438314449118812,1.3677185609620934,0,0,,0,0,,0,0,0,0.37980938176241835,0.157517018,0,0.0124896894,0,0,0.0487804878,0,0,0,,12.585276081334529,37098830525000,3619398100,5.1159813713,0.7405210423,1.7394101641,0.9099448388,2023.7503025710269,13841.6053210615,0
SHB,2022,5,0,0,0.1154750515395004,1.171322475241862,0,0,,0,0,,0,0,0,0.440392080174659,0.1970754398,0,0.0146172222,0,0,0.0,0,0,0,,12.642693695023066,33127738560000,3067383200,4.3452380469,0.7721278876,1.7128260892,-14.6376044475,2519.7106119639698,13987.3202017929,0
SHB,2021,5,0,0,0.1401279112588729,0.9700396445224703,0,0,,0,0,,0,0,0,0.3215830936095267,0.168116125,0,0.0108936116,0,0,0.0,0,0,0,,14.25782687076443,26540329510000,2667369800,5.3004745623,0.7469486586,1.4620339995,1.5002716741,1877.190406819482,13320.861996713,0
SHB,2020,5,0,0,0.20244709858704904,0.6562058463757297,0,0,,0,0,,0,0,0,0.2624544217829523,0.1225570069,0,0.0067023997,0,0,0.0,0,0,0,,17.169072050430557,39047502930000,1751009100,14.9778761778,1.6245276058,3.1986719322,-6.4317099675,1488.8626221302904,13727.0674378563,0
SHB,2019,5,0,0,0.2603010043040522,0.5052663146728384,0,0,,0,0,,0,0,0,0.30878089976819945,0.1387997552,0,0.0070233363,0,0,0.0,0,0,0,,19.73553656223607,31294018600000,1203616100,12.9426973932,1.6908882875,3.3330385143,1.9585842725,2008.8548167476324,15376.5332650502,0
SHB,2018,5,0,0,0.2934287225030387,0.4458897024789542,0,0,,0,0,,0,0,0,0.3009986497242032,0.1078089459,0,0.0054894377,0,0,0.0,0,0,0,,19.793379740508087,31294018600000,1203616100,19.2896826087,1.9160543264,4.6418345723,15.0913022763,1389.4122885195702,13569.5526173171,0
SHB,2017,5,0,0,0.26902578546914413,0.40108072127780686,0,0,,0,0,,0,0,0,0.3208749421472441,0.1102416939,0,0.0059202033,0,0,0.0,0,0,0,,19.46809597841432,29111916600000,1119689100,19.1502524025,1.9815860494,4.5119616612,4.3896320129,1374.603003637349,13120.8029085931,0
SHB,2016,5,0,0,0.2994392276715701,0.3612313233672871,0,0,,0,0,,0,0,0,0.21871856624726257,0.0745680518,0,0.0041630324,0,0,0.0,0,0,0,,18.19531880298737,29111916600000,1119689100,32.591079521,2.2005691321,5.8621155669,-3.7178094592,815.6264091523263,11815.1252879036,0
SHB,2015,5,0,0,0.3603083810085877,0.3073448837423908,0,0,,0,0,,0,0,0,0.21512361227373103,0.0731587418,0,0.0042551328,0,0,0.0,0,0,0,,18.18337783300091,24663457000000,948594500,31.6510994084,2.1913253803,6.2632260997,4.737261367,838.2190704247179,11864.9654831437,0
SHB,2014,5,0,0,0.3916589684681024,0.2861925674583223,0,0,,0,0,,0,0,0,0.2900297692743671,0.0759028672,0,0.0050581692,0,0,0.0,0,0,0,,16.12477320362966,23051067000000,886579500,29.719881487,2.1995158617,7.0766688576,1.7572530215,891.754208167457,11820.7831333795,0
SHB,2013,5,0,0,0.4007862548093474,0.2827936837959958,0,0,,0,0,,0,0,0,0.40385863887782564,0.0855685051,0,0.0065325864,0,0,0.0288461538,0,0,0,,13.865536854173694,23051067000000,886579500,27.1271362366,2.225931002,9.7342511962,4.6523872908,958.4498626462714,11680.5058091237,0
