CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
SSB,2024,325698848000000,963723000000,11299668000000,70243963000000,8866716000000,8868966000000,-2250000000,0,206073210000000,209354643000000,-3281433000000,19632455000000,17555894000000,2427019000000,-350458000000,62069000000,0,0,62432000000,-363000000,1367030000000,488465000000,0,878565000000,54010000000,7136004000000,325698848000000,290695993000000,2064483000000,85303651000000,168320164000000,303574000000,1020000000,30450200000000,4252901000000,35002855000000,28353167000000,2666271000000,0,0,3983417000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28350000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2023,266121915000000,851299000000,2799895000000,48698574000000,8353236000000,8353236000000,0,0,176773874000000,179751893000000,-2978019000000,14286766000000,14035545000000,350458000000,-99237000000,61892000000,0,0,62432000000,-540000000,1269298000000,551265000000,0,718033000000,56584000000,12970497000000,266121915000000,235825076000000,2538637000000,66698038000000,144840006000000,107131000000,1020000000,16846100000000,4794144000000,30296839000000,25063167000000,1715339000000,0,0,3518333000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24957000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2022,231423056000000,1037807000000,9826851000000,45068410000000,3987085000000,3987085000000,0,0,151522983000000,153955992000000,-2433009000000,8646945000000,7951304000000,715458000000,-19817000000,61313000000,0,0,62432000000,-1119000000,1085692000000,427189000000,0,658503000000,58047000000,10127923000000,231423056000000,205190836000000,3838696000000,59719627000000,115547271000000,14963000000,1020000000,21504600000000,4564659000000,26232220000000,21607167000000,1155967000000,0,0,3469086000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20402983000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2021,211663515000000,1076028000000,4799360000000,42590477000000,13082630000000,13094009000000,-11379000000,0,125806542000000,127588159000000,-1781617000000,16819782000000,16199886000000,663222000000,-43326000000,85091000000,0,0,86534000000,-1443000000,882503000000,286268000000,0,596235000000,65564000000,6455538000000,211663515000000,193000251000000,2172763000000,58365998000000,109784637000000,47804000000,1020000000,19053200000000,3574829000000,18663264000000,15595507000000,855641000000,0,0,2212116000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14784884000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2020,180207288000000,1012228000000,3374359000000,25741179000000,2693849000000,2705920000000,-12071000000,144604000000,107760914000000,108869236000000,-1108322000000,32180304000000,31901137000000,319364000000,-40197000000,102912000000,0,0,131666000000,-28754000000,862487000000,283496000000,0,578991000000,240934000000,6093518000000,180207288000000,166536910000000,205702000000,42516673000000,113276597000000,0,1020000000,7064740000000,3472178000000,13670378000000,12087442000000,456110000000,0,0,1126826000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12087442000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2019,157398288000000,1290009000000,3231833000000,25399935000000,1262704000000,1310696000000,-47992000000,33417000000,97484362000000,98613839000000,-1129477000000,20654282000000,20368222000000,319364000000,-33304000000,120759000000,0,0,147848000000,-27089000000,770572000000,211740000000,0,558832000000,241518000000,6908897000000,157398288000000,146472446000000,238592000000,31469651000000,95727318000000,0,1020000000,15679180000000,3356685000000,10925842000000,9369000000000,231990000000,0,0,1324852000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9369000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2018,140487190000000,1020865000000,1704282000000,19139676000000,7221868000000,7305621000000,-83753000000,0,83008343000000,83910159000000,-901816000000,20533761000000,17839505000000,3858617000000,-1164361000000,205729000000,0,72000000000,191423000000,-57694000000,775512000000,223486000000,0,552026000000,239893000000,6605060000000,140487190000000,132185685000000,7282152000000,29248786000000,84344557000000,70230000000,1020000000,8105000000000,3133940000000,8301505000000,7688000000000,194795000000,0,0,418710000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7688000000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
SSB,2017,125008960000000,735333000000,3409370000000,17229949000000,4460342000000,4460342000000,0,10911000000,69921052000000,70525510000000,-604458000000,22060211000000,18248264000000,4876430000000,-1064483000000,179024000000,0,72000000000,107024000000,0,374686000000,230084000000,0,144602000000,260921000000,6325329000000,125008960000000,118834355000000,310758000000,32601506000000,80039516000000,0,393000000,3728000000000,2154182000000,6174605000000,5465881000000,219358000000,0,0,489366000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5465826000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000000,0.0,0
SSB,2016,103364962000000,708369000000,2364806000000,15215142000000,0,0,0,0,58445297000000,58988895000000,-543598000000,19731935000000,15446564000000,4897110000000,-611739000000,183187000000,0,0,183187000000,0,347157000000,243208000000,0,103949000000,290134000000,6028360000000,103364962000000,97485132000000,348189000000,20779035000000,72130806000000,65794000000,393000000,2900000000000,1260915000000,5879830000000,5465881000000,173629000000,0,0,240320000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5465826000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55000000,0.0,0
SSB,2015,84756842000000,564169000000,6084391000000,11892423000000,0,0,0,0,42439383000000,42805631000000,-366248000000,17525520000000,12002991000000,5659934000000,-137405000000,183187000000,0,0,183187000000,0,349309000000,256201000000,0,93108000000,317318000000,5350567000000,84756842000000,78987981000000,181477000000,18073040000000,57018437000000,14315000000,16033000000,2900000000000,784679000000,5768861000000,5465881000000,156111000000,0,0,146869000000,0,,,,,,,,,,,5465826000000,,,,,,,,,,,,,,,,,55000000,,0
SSB,2014,80183668000000,528657000000,3377660000000,26147621000000,8650000000,8650000000,0,0,31568334000000,32066117000000,-497783000000,12250883000000,10830517000000,1492289000000,-71923000000,183187000000,0,0,183187000000,0,287852000000,214200000000,0,73652000000,318928000000,5511896000000,80183668000000,74501644000000,0,25596329000000,45030136000000,0,19953000000,2900000000000,955226000000,5682024000000,5465881000000,142328000000,0,0,73815000000,0,,,,,,,,,,,5465826000000,,,,,,,,,,,,,,,,,55000000,,0
SSB,2013,79864432000000,464659000000,1320543000000,31346315000000,20000000000,20000000000,0,0,20422981000000,20928780000000,-505799000000,18233813000000,10643435000000,7592246000000,-1868000000,189787000000,0,0,189787000000,0,286879000000,212751000000,0,74128000000,327824000000,7251631000000,79864432000000,74138060000000,495653000000,33761387000000,36183422000000,0,39951000000,2000000000000,1657647000000,5726372000000,5465881000000,131549000000,0,0,128942000000,0,,,,,,,,,,,5465826000000,,,,,,,,,,,,,,,,,55000000,,0
