CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
SSB,2024,0,0,0,16762000000,7616678000000,32950471000000,0,0,-236866000000,1445000000,-226595000000,0,0,32723876000000,49459218000000,0,82183094000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32950471000000,423000000,0,0,0.0,0.0,0.0,0.0,0,0.0
SSB,2023,0,0,0,107608000000,4532282000000,-3081533000000,0,0,-310061000000,14384000000,-290372000000,504000000000,504000000000,-2867905000000,52327123000000,0,49459218000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3081533000000,29000000,0,0,0.0,0.0,0.0,0.0,0,0.0
SSB,2022,0,0,0,99133000000,5253175000000,7865057000000,0,0,-296243000000,7937000000,-257487000000,3610673000000,3610673000000,11218243000000,41108880000000,0,52327123000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7865057000000,0,0,24102000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2021,0,0,0,107111000000,4818357000000,8570005000000,0,0,-114013000000,3710000000,105486000000,2405623000000,2405623000000,11081114000000,30027766000000,0,41108880000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8570005000000,0,0,40905000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2020,0,0,0,722095000000,2934493000000,119994000000,0,0,-177467000000,4306000000,-156108000000,1406782000000,1406782000000,1370668000000,28657098000000,0,30027766000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119994000000,491000000,0,17082000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2019,0,0,0,1520787000000,2680123000000,7778332000000,0,0,-53262000000,9454000000,96132000000,1681000000000,1681000000000,9555464000000,19101634000000,0,28657098000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7778332000000,0,0,141993000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2018,0,0,0,3448000000,1845099000000,-1154328000000,0,0,-31012000000,1994000000,-699679000000,1642640000000,1642640000000,-211367000000,19313001000000,0,19101634000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1154328000000,0,-688500000000,1123000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2017,0,0,0,873000000,1153820000000,5532008000000,0,1399000000,-97472000000,1970000000,-49249000000,0,0,5484158000000,13828843000000,0,19313001000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5533407000000,0,0,4163000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2016,0,0,0,1686000000,889728000000,-2027325000000,0,0,-48922000000,3031000000,-19815000000,0,0,-2047140000000,15875983000000,0,13828843000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2027325000000,260000000,0,0,0.0,0.0,0.0,0.0,0,0.0
SSB,2015,0,0,0,4535000000,-28830000000,-2389258000000,0,0,-97025000000,5457000000,-103947000000,0,-124510000000,-2617715000000,18493698000000,0,15875983000000,,,0,0,0,0,0,,,,,,,,-2389258000000,2063000000,0,0,,,,,-124510000000,
SSB,2014,0,0,0,2280000000,153801000000,2996605000000,0,0,-43009000000,7264000000,997192000000,0,0,3993797000000,14499901000000,0,18493698000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2996605000000,1028106000000,0,4831000000,0.0,0.0,0.0,0.0,0,0.0
SSB,2013,0,0,0,7533000000,380016000000,9615408000000,0,-7080000000,-252356000000,5882000000,-209221000000,0,0,9399107000000,5100794000000,0,14499901000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9608328000000,387000000,0,36479000000,0.0,0.0,0.0,0.0,0,0.0
