CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
SSB,2024,20716605000000,0.050618226852056115,4816026000000,0.30978649453148055,20716605000000,-10750195000000,9966410000000,1349283000000,-237588000000,1111695000000,570581000000,-172141000000,321407000000,802566000000,-192964000000,609602000000,1445000000,12408999000000,-4130218000000,8278781000000,-2239382000000,6039399000000,-1223373000000,-1223373000000,0,0,4816026000000,4816026000000,1648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2023,19718490000000,0.3015676774610886,3676955000000,-0.0927657732878551,19718490000000,-12647771000000,7070719000000,1530991000000,-223134000000,1307857000000,602470000000,109180000000,128660000000,332345000000,-141624000000,190721000000,14384000000,9423991000000,-3607148000000,5816843000000,-1200285000000,4616558000000,-939603000000,-939603000000,0,0,3676955000000,3676955000000,1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2022,15149800000000,0.28339323145569717,4052928000000,0.5549203957156635,15149800000000,-8143873000000,7005927000000,1642698000000,-275381000000,1367317000000,223886000000,228111000000,621173000000,415516000000,-222620000000,192896000000,7937000000,9647247000000,-3403523000000,6243724000000,-1174738000000,5068986000000,-1016058000000,-1016058000000,0,0,4052928000000,4052928000000,1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2021,11804488000000,0.10365845221199389,2606518000000,0.9159022834104515,11804488000000,-6618395000000,5186093000000,1519119000000,-373232000000,1145887000000,148886000000,58462000000,306197000000,437554000000,-257040000000,180514000000,9751000000,7035790000000,-2529414000000,4506376000000,-1237838000000,3268538000000,-662020000000,-662020000000,0,0,2606518000000,2606518000000,1706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2020,10695780000000,0.04776284415078966,1360465000000,0.23852931215929327,10695780000000,-7634064000000,3061716000000,522679000000,-166481000000,356198000000,74729000000,166774000000,171671000000,1152398000000,-404105000000,748293000000,4306000000,4583687000000,-2177375000000,2406312000000,-677376000000,1728936000000,-368471000000,-368471000000,0,0,1360465000000,1360465000000,1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2019,10208207000000,0.17885247597882728,1098452000000,1.226534724108435,10208207000000,-7313638000000,2894569000000,523230000000,-187744000000,335486000000,10301000000,171124000000,235002000000,1676931000000,-143225000000,1533706000000,30625000000,5210813000000,-1988350000000,3222463000000,-1831765000000,1390698000000,-292246000000,-292246000000,0,0,1098452000000,1098452000000,1140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2018,8659444000000,0.17476162406977935,493346000000,0.6182812981781682,8659444000000,-6322331000000,2337113000000,301024000000,-115173000000,185851000000,32258000000,49672000000,184706000000,29392000000,-9305000000,20087000000,1994000000,2811681000000,-1632860000000,1178821000000,-556384000000,622437000000,-129091000000,-129091000000,0,0,493346000000,493346000000,785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2017,7371235000000,0.19864983417661106,304858000000,1.6103314524484327,7371235000000,-5398816000000,1972419000000,212709000000,-147231000000,65478000000,7570000000,57643000000,89671000000,2201000000,-1177000000,1024000000,1970000000,2195775000000,-1268553000000,927222000000,-545991000000,381231000000,-76373000000,-76373000000,0,0,304858000000,304858000000,546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2016,6149615000000,0.4179127018346403,116789000000,0.2710344452304511,6149615000000,-4306583000000,1843032000000,149651000000,-105456000000,44195000000,-15548000000,0,36589000000,3559000000,-1365000000,2194000000,3031000000,1913493000000,-1119317000000,794176000000,-648279000000,145897000000,-29108000000,-29108000000,0,0,116789000000,116789000000,203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSB,2015,4337090000000,0.04025988448246046,91885000000,0.05763254218559359,4337090000000,-3190529000000,1146561000000,101263000000,-60760000000,40503000000,-22678000000,1497000000,2023000000,7062000000,-2527000000,4535000000,5457000000,1177898000000,-967923000000,209975000000,-93009000000,116966000000,-25081000000,-25081000000,0,0,91885000000,91885000000,160,,,,,,,,,,,,,,,,
