Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
SSB,2024,5,0,0,0.039054814243009606,1.2346686067019401,0,0,,0,0,,0,0.0,0.0,0.48322575531209333,0.147505316,0,0.0162752857,0,0.0,0,0,0,0,,9.304922355619277,55849500000000,2835000000,11.5965943705,1.5955698471,4.5007256427,1.6949530099,1698.7746031746033,12346.6860670194,0
SSB,2023,5,0,0,0.041895393773588065,1.068671569664903,0,0,,0,0,,0,0.0,0.0,0.5200256154996401,0.130090791,0,0.0147803926,0,0.0,0,0,0,0,,8.783817843174992,41802975000000,2495700000,11.7195457177,1.379780082,4.4358037906,-13.5656424903,1473.316103698361,12139.6157390712,0
SSB,2022,5,0,0,0.041387728526217,0.9252987654320988,0,0,,0,0,,0,0.0,0.0,0.5784998901644279,0.1805494735,0,0.0182940683,0,0.0,0,0,0,0,,8.822091915972038,48763129370000,2040298300,12.3986834669,1.85890212,5.054616034,6.1999715158,1986.4389437564105,12857.0513439138,0
SSB,2021,5,0,0,0.047285565911729055,0.6583161904761905,0,0,,0,0,,0,0.0,0.0,0.5025976202123641,0.1612263784,0,0.0133029457,0,0.0,0,0,0,0,,11.341184210864723,48642268360000,1478488400,19.3445772528,2.6063108982,6.9135474993,5.6758739767,1762.9614138332097,12623.2062422674,0
SSB,2020,5,0,0,0.06309167164214478,0.4822002821869489,0,0,,0,0,,0,0.0,0.0,0.4443472222766579,0.1106239089,0,0.0080594937,0,0.0,0,0,0,0,,13.182319318456301,55118735520000,1208744200,41.0718688651,4.0319832795,12.0249780406,459.3457632882,1125.5193613338538,11309.5707098326,0
SSB,2019,5,0,0,0.07052747056016369,0.38539125220458553,0,0,,0,0,,0,0.0,0.0,0.37948723972377235,0.1142593411,0,0.0073749953,0,0.0,0,0,0,0,,14.406055661430946,33587865000000,936900000,30.5774535437,3.07416719,6.4458012598,4.318132088,1172.4324901270147,11661.6949514356,0
SSB,2018,5,0,0,0.0934182416320896,0.2928220458553792,0,0,,0,0,,0,0.0,0.0,0.2110920610171609,0.0681600237,0,0.0037164079,0,0.0,0,0,0,0,,16.92309888387708,27561480000000,768800000,55.8664304565,3.3200582304,9.802491819,-23.876645113,641.7091571279917,10798.0033818939,0
SSB,2017,5,0,0,0.060681776405130367,0.21779911816578484,0,0,,0,0,,0,0.0,0.0,0.15456046610786045,0.0505802221,0,0.0026698145,0,0.0,0,0,0,0,,20.245661058480664,19594986210000,546582600,64.2757815442,3.173480119,8.9239499539,3.541215423,557.7528446752605,11296.7463655082,0
SSB,2016,5,0,0,0.059042013119426924,0.20740141093474426,0,0,,0,0,,0,0.0,0.0,0.06336786339032638,0.0200518668,0,0.0012416317,0,0.0,0,0,0,0,,17.579583423330266,19594986210000,546582600,167.7810941955,3.332576998,10.240427433,-9.6654390441,213.6712731067546,10757.4408698704,0
