time,open,high,low,close,volume
2023-09-11 10:00:00,26.5,26.5,26.35,26.39,11866700
2023-09-11 11:00:00,26.39,26.39,26.15,26.35,3594500
2023-09-11 13:00:00,26.35,26.82,26.08,26.47,11641500
2023-09-11 14:00:00,26.47,26.66,26.15,26.15,7324600
2023-09-12 10:00:00,26.47,27.09,26.47,27.01,13419100
2023-09-12 11:00:00,27.01,27.13,26.93,26.93,2249800
2023-09-12 13:00:00,26.93,27.56,26.9,27.52,8927200
2023-09-12 14:00:00,27.56,27.95,27.52,27.95,12532900
2023-09-13 10:00:00,27.99,28.07,27.91,28.03,10596500
2023-09-13 11:00:00,28.03,28.5,28.03,28.26,3277500
2023-09-13 13:00:00,28.26,28.57,28.03,28.34,9582700
2023-09-13 14:00:00,28.34,28.42,27.71,27.95,12183100
2023-09-14 10:00:00,27.99,28.11,27.79,28.03,9047600
2023-09-14 11:00:00,28.03,28.03,27.87,27.91,2122300
2023-09-14 13:00:00,27.83,27.91,27.25,27.83,13520500
2023-09-14 14:00:00,27.83,28.3,27.68,27.83,9218400
2023-09-15 10:00:00,27.95,27.95,27.44,27.52,7038400
2023-09-15 11:00:00,27.52,27.6,27.32,27.48,3466400
2023-09-15 13:00:00,27.48,27.87,27.36,27.83,5966600
2023-09-15 14:00:00,27.83,28.11,27.71,27.71,7154600
2023-09-18 10:00:00,27.48,27.56,27.25,27.56,10307500
2023-09-18 11:00:00,27.56,27.71,27.36,27.48,1529000
2023-09-18 13:00:00,27.48,28.07,27.4,27.95,8207700
2023-09-18 14:00:00,27.95,27.95,27.36,27.87,5443300
2023-09-19 10:00:00,28.03,28.07,27.64,27.71,6047400
2023-09-19 11:00:00,27.71,27.91,27.48,27.87,2821300
2023-09-19 13:00:00,27.87,28.11,27.64,27.95,5108700
2023-09-19 14:00:00,27.95,28.26,27.75,28.26,5580900
2023-09-20 10:00:00,28.38,28.89,28.34,28.77,9166400
2023-09-20 11:00:00,28.77,28.77,28.65,28.73,1498600
2023-09-20 13:00:00,28.73,28.77,28.53,28.61,6026700
2023-09-20 14:00:00,28.61,28.65,28.38,28.46,6260100
2023-09-21 10:00:00,28.18,28.26,27.99,28.11,9047100
2023-09-21 11:00:00,28.07,28.14,27.99,27.99,2237800
2023-09-21 13:00:00,27.99,28.07,27.52,27.91,13779000
2023-09-21 14:00:00,27.91,27.91,27.13,27.13,24122900
2023-09-22 10:00:00,26.15,26.23,25.26,25.26,44541400
2023-09-22 11:00:00,25.26,25.76,25.26,25.53,5264400
2023-09-22 13:00:00,25.53,26.11,25.37,26.0,10928500
2023-09-22 14:00:00,26.0,26.15,25.45,25.45,8824800
2023-09-25 10:00:00,25.41,25.84,25.37,25.65,7902200
2023-09-25 11:00:00,25.65,25.76,25.57,25.69,688100
2023-09-25 13:00:00,25.69,25.72,24.79,25.06,9252000
2023-09-25 14:00:00,25.06,25.06,23.69,23.69,25106300
2023-09-26 10:00:00,23.97,24.98,23.93,24.44,14855300
2023-09-26 11:00:00,24.44,24.51,24.2,24.2,1666200
2023-09-26 13:00:00,24.2,25.33,23.97,25.29,13050500
2023-09-26 14:00:00,25.29,25.33,24.12,24.12,9130100
2023-09-27 10:00:00,24.51,24.67,24.4,24.55,8570700
2023-09-27 11:00:00,24.55,24.59,24.12,24.44,3348100
2023-09-27 13:00:00,24.44,25.29,24.2,25.06,11334200
2023-09-27 14:00:00,25.02,25.76,24.98,25.76,8793400
2023-09-28 10:00:00,25.22,25.33,24.83,25.1,13073900
2023-09-28 11:00:00,25.1,25.26,24.98,25.14,1423500
2023-09-28 13:00:00,25.14,25.57,24.75,25.26,8307600
2023-09-28 14:00:00,25.26,25.61,25.1,25.22,5106500
