CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại (đồng),Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,Cổ đông thiểu số,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Lợi thế thương mại,_Các quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
SSI,2024,4,70932391912367,239000238200,68837856119619,1736645866759,0,118889687789,2574910647355,0,231350675694,200196436698,1625606669387,0.0,130133532200,73507302559722,46680651947954,46599438522989,81213424965,26826650611768,26826650611768,0,5856098315938,0,0,73507302559722,927764853829,0.0,0,41677606235,0,19638639180000.0,19638639180000,0.0,0,26490726300,45501969699137,21614788489,0,0,0.0,0,0,150619133436.0
SSI,2024,3,64283674695267,661286681720,62354943614851,1062424832639,0,205019566057,1897542761658,0,234605285208,231817425992,1280930604244,0.0,124510225194,66181217456925,42066410395026,41980686966169,85723428857,24114807061899,24114807061899,0,5439873213407,0,0,66181217456925,549225795107,0.0,0,132831614567,0,18129500510000.0,18129500510000,0.0,0,30968683500,39286186214180,26838443296,0,0,0.0,0,0,139993514413.0
SSI,2024,2,67557580592301,2131566837092,64359289585324,959963564061,0,106760605824,3549972606412,0,228150407230,242348461874,2902883108920,0.0,128625439831,71107553198713,46267811302392,46201434111239,66377191153,24839741896321,24839741896321,0,6154928964957,0,0,71107553198713,335410732638,0.0,0,24093635902,0,15111301370000.0,15111301370000,0.0,0,28168683500,45072985788890,29056855548,0,0,0.0,0,0,140512921116.0
SSI,2024,1,61957599288394,155035169321,60997210048830,676374561972,0,128979508271,3530720516006,0,249144719204,238736697430,2873858104204,0.0,130084263539,65488319804400,41467415169452,41413284980947,54130188505,24020904634948,24020904634948,0,5459506397000,0,0,65488319804400,65715066030,0.0,0,48555200567,0,15011301370000.0,15011301370000,0.0,0,33890183500,40099838219767,25763848585,0,0,0.0,0,0,140582172243.0
SSI,2023,4,65755288989504,493905528209,64562247311823,603116700662,0,96019448810,3486038113148,0,269476512837,235719785810,2821238620032,0.0,127489853002,69241327102652,46000434991839,45939117288142,61317703697,23240892110813,23240892110813,0,4696261511253,0,0,69241327102652,32286430398,0.0,0,12393462568,0,15011301370000.0,15011301370000,0.0,0,23583183500,43168931078677,30191564114,0,0,0.0,0,0,140533221129.0
SSI,2023,3,51841642743087,410966341358,49928727488657,1375664385499,0,126284527573,3440811079958,0,276968702738,238429387218,2764661517036,0.0,129178290334,55282453823045,32574699378786,32516696345408,58003033378,22707754444259,22707754444259,0,4181332191164,0,0,55282453823045,932453224964,0.0,0,7190069102,0,15011301370000.0,15011301370000,0.0,0,216787891811,30410313925386,35281609750,0,0,0.0,0,0,141710243634.0
SSI,2023,2,46622415575454,155382877316,44825995601498,1502465646791,0,138571449849,3513667314366,0,249111322650,233521655248,2847342805195,0.0,153609033453,50136082889820,28142515629062,28087365629195,55149999867,21993567260758,21993567260758,0,3468543522948,0,0,50136082889820,1042101335878,0.0,0,19650572301,0,15011301370000.0,15011301370000,0.0,0,214996791811,24770970452472,40746441761,0,0,0.0,0,0,142692070360.0
SSI,2023,1,49184621082401,142513532064,47295337115482,1609327029491,0,137443405364,3524283805809,0,260723920146,261233198900,2808787056746,0.0,167003826593,52708904888210,29736151739455,29680297225934,55854513521,22972753148755,22972753148755,0,4456105004087,0,0,52708904888210,1105060666455,0.0,0,23391785634,0,15011301370000.0,15011301370000,0.0,0,4871592590,28207391544425,45362721496,0,0,0.0,0,0,138461087642.0
SSI,2022,4,48731915104609,1417807262731,45402177277290,1801895779710,0,110034784878,3494467781872,0,281930596475,265112905732,2773073277309,0.0,148450682515,52226382886481,29842500921821,29788710759101,53790162720,22383881964660,22383881964660,0,3953892022051,0,0,52226382886481,1413299966298,0.0,0,2275883968,0,14911301370000.0,14911301370000,0.0,0,4821592590,27892289728472,53000229779,0,0,0.0,0,0,138841784986.0
SSI,2022,3,42024269584069,615638500529,40327640638155,930549690499,0,150440754886,3412090513519,0,206016104959,271321649742,2726337945838,0.0,152783165992,45436360097588,23274554098298,23221460807241,53093291057,22161805999290,22161805999290,0,3719817095008,0,0,45436360097588,548537317256,0.0,0,37746035635,0,14911301370000.0,14911301370000,0.0,0,7412692590,21404966597435,48340583087,0,0,0.0,0,0,143971462287.0
