CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,_Lãi/Lỗ từ thanh lý tài sản cố định,_Tăng/Giảm các khoản phải thu,_Tăng/Giảm các khoản phải trả
SSI,2024,3543527483662,107560149828,34901144786,-12820407968,0.0,-231008960449,1505764783295,-4150286468848.0,-5159488790080,-239769234000.0,0,-832095463602.0,17182696387,-1498915329918,-849075293090,4178301935572,-97301901401,-4264318706749,-436566898855,83961688363,0,0,-820000000000,1800000000000,174138190772,801532980280,2363708005000,0,257590541631577,-255240406231117,0,-1505962969000,0.0,3207880436460,-254905290009,493905528209,2242128654,239000238200,0.0,-808677619377,-828113819933
SSI,2023,2848566970193,105753994595,0,-68762944467,0.0,-237483528681,1570439043267,-3378218475508.0,-15639642283141,1536677426.0,0,549957324730.0,33880427080,-1567902554040,-286888581370,3203993019243,-73735428497,-14693030538690,-98980292042,47830771528,0,0,-346640000000,150000000000,173831205477,-73958315037,100000000000,0,456844448643479,-441604695413274,0,-1496666111000,0.0,13843087119205,-923901734522,1417807262731,3155957416,493905528209,0.0,1377837316748,162065469750
SSI,2022,2109703391777,88676230141,-1167906276,62570946510,0.0,-245547898154,1030649945603,-2642816759174.0,-7787544022602,251819082850.0,0,293604863381.0,-49237136032,-1061026665523,-647985350710,2510300849506,-115357167012,-7148593105457,-180336153966,38972728,0,0,-2900000000000,6909263969827,259926465721,4088893254310,7627988625000,-1367229400,339286560127152,-342558769368875,0,-991140071500,0.0,3363272082377,303572231230,1114235031501,-1476043941,1417807262731,0.0,-346989269424,-3711583036900
SSI,2021,3365038841169,64114904375,-43244042982,32352977726,0.0,-838164923344,1029858485847,-2029028569735.0,-11811332727042,-216958447918.0,0,15284198117.0,-26030441483,-1023521441874,-484434955032,2107078521424,-83525364956,-10419316289549,-165135023133,512636363,0,0,-5136242200000,7574642230999,566748774618,2840526418847,1202336556685,-1149759050,254647760778016,-246872018111581,0,-647156463350,0.0,8329773000720,750983130018,363251901483,-368556503,1114235031501,0.0,-1040201148837,3849869244556
SSI,2020,1557553285063,52843245737,621466516,-44551479388,0.0,-764452541360,829431323088,-924978788358.0,-12523017570098,0.0,0,-21855684883.0,5532176405,-786712994161,-241876959980,875074126310,-36406850916,-12273595123461,-59039058233,1551381817,0,0,-6500000000000,10129251671300,706398742493,4278162737377,100000000000,-15535484501,128576092718449,-120743657624735,0,-598997932000,0.0,7317901677213,-677530708871,1040782610354,-264724688,363251901483,0.0,-189797939746,440444778883
SSI,2019,1105523561457,42893121783,11018850000,17056026742,0.0,-774694168490,804176964572,-778607342006.0,2712449545091,0.0,0,13783587876.0,4098023681,-785493060119,-188842598770,759147775250,-48988451366,3048662591592,-66733065297,195590907,0,0,-14361716475830,7535549999996,689687634935,-6203016315289,0,-10392739400,99271540327215,-95172222925624,0,-506668467000,0.0,3582256195191,427902471494,612880138860,3460747416,1040782610354,0.0,7289774317,-1174336966748
SSI,2018,1623213463955,30828467858,32917256564,-421456231,0.0,-763332907195,536868896600,-829220813597.0,-3661534258276,0.0,0,1701043929.0,-15524532352,-469660001949,-363396519872,829878907015,-67198668697,-2938169551862,-57359665687,207083032942,0,0,-7310033500304,7059305313000,433034276448,332029456399,213767095785,-53493124050,85775993676758,-82565001682361,0,-498231445000,0.0,2873034521132,266894425669,345985713191,128456767,612880138860,0.0,20336239684,1373712132778
SSI,2017,1405021409033,20947213144,-620599691,173396382,0.0,-495229118735,343901229535,-599043514417.0,-1984737486346,26807894500.0,0,-3610395170.0,-12588940046,-321966912179,-194330165299,598129706117,-28447874665,-1575987919988,-35106376598,541299081,0,0,-6253000320400,4028100000000,383362668183,-1876102729734,100469064000,0,49501155932980,-45623408947381,0,-488704651000,0.0,3489511398599,37420748877,308564964314,945976125,345985713191,0.0,-26310583847,-151380652608
SSI,2016,1144062998893,18206356390,12491380694,0,0.0,-303523403257,269313493289,-545379920119.0,260183183746,-50954500000.0,0,4420863801.0,-27603968238,-284596104749,-244437916359,575402759035,-39743402871,496325740914,-63666232151,3545455,0,0,-3944187436000,2421100000000,239913927673,-1346836195023,99980000000,-2322300400,32403034307330,-31609041596782,0,-478935287000,0.0,412715123148,-437795330961,746360295275,5917487184,308564964314,0.0,6678953837,-171623597740
SSI,2015,1053797641057,21129376800,465333883,0,0.0,-295210251165,125206111512,-377435600771.0,-1753654231213,0.0,0,1140247222.0,-4464770160,-76983956945,-150005958158,379245169732,-41077202125,-1451655840808,-6101959114,12136004,0,0,-2675258783950,479451087904,144899477072,-2056998042084,152453860000,-170427500,19821505132020,-16726284631360,0,-138324000,0.0,3247365609160,-261288273732,1007648569007,0,746360295275,0.0,91055556910,-82605034369
