Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,P/B,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
SSI,2024,5,1.6961479969,1.7400849858,0.008623912058276622,1.3660137225337015,0.1195006859,34.060768947,,0,53.5843245875,,0,0.5791307795495133,0.6145088714875104,0.3323871723605037,0.1139103539,0.0682934129,0.0397204951,5047128479368,4939568329540.0,0.0,1.5221726733,0.9158290974,0.9530966251,-3.2804382094333193,2.7400849857669773,1.9398617925,51747814239300,1963863918,18.2530484029,6.0670791456,-12.1350719301,1443.5944845156018,13583.4419247841,19.2209855756
SSI,2023,5,1.8574558529,1.9792886939,0.011594929813887137,1.183426809658051,0.1178534212,25.9615535332,,0,88.5806203187,,0,0.6093332393828997,0.6598672996890336,0.3203240926407184,0.1011252049,0.0656743205,0.0377512902,4467174009103,4361420014508.0,0.0383877159,1.4313572587,0.9701113416,0.9832399504,-2.77719790093533,2.9792886939324053,1.6928066034,39104440068850,1501130137,18.2720903536,5.46327459,-2.6614278086,1527.3701652530342,15388.6450750032,18.3067562295
SSI,2022,5,1.2460881349,1.3332138263,0.012595250319855875,1.1397878315039138,0.1230024759,26.9096466059,,0,23.0490697214,,0,0.5263086112167517,0.5730885508731521,0.268208231302808,0.0933626733,0.0663256195,0.0329902765,3423274464691,3334598234550.0,0.0304878049,1.6359189056,1.071240161,1.1317293777,-3.23543240726514,2.3332138263120212,2.1986504901,48909068493600,1491130137,29.3689333359,7.719449872,-6.8417754056,1139.618772404303,14918.2419613815,22.0208901556
SSI,2021,5,2.1885180952,2.5719241249,0.013288632035900489,0.7240869695609938,0.171972266,44.1399476655,,0,3.0992099076,,0,0.5405765763259583,0.5761809276686398,0.36219912038976254,0.2237934166,0.0887411081,0.0622882035,4087724699072,4023609794697.0,0.0564971751,1.2757849542,0.3601321379,0.4035991454,-3.90695406212807,3.5719241249135374,1.231153656,17430075389400,984750022,6.8699848644,2.3417505573,-1.6728617219,2737.663245516536,14376.7594835738,11.6046828542
SSI,2020,5,2.3652351127,2.6230389239,0.015019889882388383,0.5027230737236347,0.1390398919,29.5752487738,,0,5.8875350623,,0,0.5223157915966062,0.5644876555042755,0.28793903163043144,0.1304744019,0.0686500634,0.0400350118,2333692402295,2280849156558.0,0.0193050193,1.1245635987,0.5272627434,0.5395720834,-2.7498951306342927,3.6230389238922087,3.183949999,31232582753400,602945613,26.0462517651,7.1522797277,-2.5446971681,2085.3828997541773,16269.0997084641,23.2339176525
SSI,2019,5,1.6540928915,1.8767091857,0.015637889015082323,0.47870219998639435,0.1271867325,24.345532656,,0,6.2188971689,,0,0.5782827173348427,0.6380167392205817,0.2810533460284071,0.0979915862,0.0749753717,0.0357462568,1913625059071,1870731937288.0,0.0249376559,1.3584089673,0.3263971548,0.3324774479,-2.3262689926509434,2.8767091856874965,2.1907782769,20453553728400,510063684,22.4961743043,6.3226250611,6.7090250606,1782.5253066419054,18303.997452771,18.2705578127
SSI,2018,5,1.2225391964,1.6022826255,0.012969309695830277,0.46620666756570045,0.1724741909,26.2491847196,,0,1.9598814692,,0,0.503187076156307,0.5504757511438981,0.35529205472545305,0.1468530811,0.0908221875,0.0612787097,1878953111833,1848124643975.0,0.0249376559,1.6534025465,0.196954871,0.2011642363,-3.4445198937847694,2.602282625521296,2.2504366098,20453553728400,510063684,16.4990103508,5.568868924,-6.9613251949,2558.367163746165,17818.7645121918,16.5165549624
SSI,2017,5,0.9869592878,1.1777891582,0.018697383327994994,0.43873965079397115,0.1811732062,19.8146832998,,0,2.7470502006,,0,0.5495546075634681,0.6075339916487119,0.4009046903981011,0.147360832,0.0930279926,0.0726331881,1613599224850,1592652011706.0,0.0249376559,1.8417230831,0.1899804012,0.2067960417,-4.635445346775609,2.177789158173141,2.3486525967,20052553728400,500063684,18.1436885631,6.91925996,-12.723799132,2323.410043535575,17073.6191706335,17.4829382937
SSI,2016,5,0.6737917411,0.8494016151,0.016620717031978375,0.4026150587890683,0.1746766345,16.8321312254,,0,3.0376856967,,0,0.5379874019774378,0.5954727371098739,0.38708419040084324,0.126372439,0.1026181292,0.0691085463,1246741141631,1315771924067.0,0.0249376559,2.0344210593,0.296858418,0.3136226887,-4.887315194932655,1.7714890176323848,2.7782071484,19651553728400,490063684,23.5860892572,8.864953973,39.5940651642,1931.796712567667,14433.7689231222,19.3803899104
