time,open,high,low,close,volume
2023-09-11 10:00:00,32.45,32.45,32.15,32.25,11040000
2023-09-11 11:00:00,32.2,32.25,32.1,32.15,2463000
2023-09-11 13:00:00,32.15,32.2,31.95,32.0,8898800
2023-09-11 14:00:00,32.0,32.05,31.55,31.6,10297700
2023-09-12 10:00:00,31.45,31.9,31.45,31.85,6089000
2023-09-12 11:00:00,31.8,31.9,31.65,31.7,882200
2023-09-12 13:00:00,31.75,31.95,31.6,31.9,2929000
2023-09-12 14:00:00,31.9,32.35,31.9,32.35,4437000
2023-09-13 10:00:00,32.4,32.45,32.3,32.3,6015300
2023-09-13 11:00:00,32.3,32.4,32.25,32.35,1142000
2023-09-13 13:00:00,32.35,32.45,32.15,32.35,4956700
2023-09-13 14:00:00,32.35,32.4,31.85,31.95,4923500
2023-09-14 10:00:00,32.4,32.4,32.05,32.25,7104500
2023-09-14 11:00:00,32.25,32.25,32.1,32.15,373600
2023-09-14 13:00:00,32.15,32.15,31.85,32.05,4464800
2023-09-14 14:00:00,32.05,32.2,31.8,31.8,2998000
2023-09-15 10:00:00,32.95,33.1,32.8,32.8,22280800
2023-09-15 11:00:00,32.8,32.85,32.7,32.75,2382100
2023-09-15 13:00:00,32.75,32.9,32.6,32.75,4503900
2023-09-15 14:00:00,32.75,32.75,32.5,32.5,4970200
2023-09-18 10:00:00,32.85,32.85,32.6,32.7,7162600
2023-09-18 11:00:00,32.65,32.8,32.55,32.55,785600
2023-09-18 13:00:00,32.55,32.75,32.5,32.65,3829600
2023-09-18 14:00:00,32.65,32.7,32.4,32.6,3418200
2023-09-19 10:00:00,33.2,33.2,33.0,33.05,15097100
2023-09-19 11:00:00,33.05,33.15,32.9,33.15,3166600
2023-09-19 13:00:00,33.1,33.6,32.95,33.35,11283200
2023-09-19 14:00:00,33.35,33.45,33.15,33.3,4122900
2023-09-20 10:00:00,33.2,33.4,33.2,33.25,3666900
2023-09-20 11:00:00,33.25,33.4,33.25,33.3,746100
2023-09-20 13:00:00,33.3,33.45,33.25,33.3,3753000
2023-09-20 14:00:00,33.25,33.4,33.25,33.25,2423700
2023-09-21 10:00:00,33.35,33.4,33.25,33.25,8548800
2023-09-21 11:00:00,33.25,33.35,33.25,33.25,722600
2023-09-21 13:00:00,33.3,33.3,32.85,32.95,8244200
2023-09-21 14:00:00,33.0,33.0,32.35,32.35,13504200
2023-09-22 10:00:00,32.1,32.15,31.35,31.55,20348700
2023-09-22 11:00:00,31.55,31.95,31.5,31.7,1260900
2023-09-22 13:00:00,31.7,32.9,31.65,32.75,6736400
2023-09-22 14:00:00,32.75,33.0,32.4,32.9,7600000
2023-09-25 10:00:00,32.85,33.0,32.65,32.75,5758500
2023-09-25 11:00:00,32.75,32.9,32.7,32.8,359700
