CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
STB,2024,748094546000000,8214653000000,17644155000000,88241176000000,0,0,0,0,530448003000000,539314658000000,-8866655000000,85648177000000,23554968000000,75363197000000,-13269988000000,82204000000,0,0,96642000000,-14438000000,7355128000000,4375198000000,0,2979930000000,0,10461050000000,748094546000000,693122476000000,54255000000,70655292000000,566881814000000,54007000000,449009000000,36753523000000,18274576000000,54972070000000,20601582000000,6082598000000,-138225000000,0,28426115000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2023,674389660000000,7545270000000,12848045000000,50332971000000,0,0,0,0,475169108000000,482731122000000,-7562014000000,74635845000000,22562535000000,66688978000000,-14615668000000,82642000000,0,0,97014000000,-14372000000,7269440000000,4282772000000,0,2986668000000,0,46506339000000,674389660000000,628655796000000,19328000000,37950111000000,510744394000000,91459000000,323147000000,28992491000000,50534866000000,45733864000000,20601582000000,4971157000000,-225489000000,0,20386614000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2022,591907695000000,7849898000000,12286117000000,25293585000000,0,0,0,109858000000,432997593000000,438627777000000,-5630184000000,68800687000000,27896339000000,55551832000000,-14647484000000,88812000000,0,0,97014000000,-8202000000,7547677000000,4489795000000,0,3057882000000,0,36830826000000,591907695000000,553280699000000,9901209000000,28430448000000,454740496000000,0,239837000000,25820307000000,34148402000000,38626996000000,20601582000000,4223224000000,-169492000000,0,13971682000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2021,521117123000000,8222365000000,12169867000000,8353579000000,0,0,0,0,381012317000000,387929596000000,-6917279000000,69666929000000,34048080000000,41650354000000,-6031505000000,88968000000,0,0,97014000000,-8046000000,8195276000000,4518674000000,0,3676602000000,0,33219052000000,521117123000000,486855787000000,522745000000,15229099000000,427386772000000,108003000000,278940000000,21103779000000,22226449000000,34261336000000,20601582000000,3715274000000,37363000000,0,9907117000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2020,492516029000000,7678553000000,10052590000000,18397370000000,0,0,0,19677000000,334854576000000,340268127000000,-5413551000000,75156127000000,52227759000000,27322052000000,-4393684000000,124593000000,0,0,257764000000,-133171000000,8575424000000,4746484000000,0,3828940000000,0,37355604000000,492516029000000,463559787000000,143528000000,7880006000000,427971850000000,0,229445000000,11144140000000,16190818000000,28956242000000,18166632000000,3336508000000,149483000000,0,7303619000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2019,453581057000000,8269373000000,12109861000000,13150915000000,0,0,0,24465000000,292058715000000,296029774000000,-3971059000000,76497497000000,46890019000000,33647189000000,-4039711000000,103854000000,0,0,298971000000,-195117000000,8289968000000,4697387000000,0,3592581000000,0,42652956000000,453581057000000,426839417000000,241539000000,3525560000000,400844380000000,0,83606000000,9490048000000,12654284000000,26741640000000,18166632000000,2963901000000,199543000000,0,5411564000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2018,406040598000000,6379549000000,9611502000000,4822454000000,0,0,0,21310000000,253100111000000,256622753000000,-3522642000000,75514421000000,37988732000000,40233215000000,-2707526000000,142613000000,0,0,320477000000,-177864000000,8249652000000,4617730000000,0,3631922000000,0,47654200000000,406040598000000,381408231000000,5293086000000,7300158000000,349388922000000,0,87728000000,8065909000000,11272428000000,24632367000000,18166632000000,2720885000000,223786000000,0,3521064000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2017,368468840000000,6212662000000,3002395000000,7372820000000,63250000000,63250000000,0,20251000000,220197752000000,222946630000000,-2748878000000,73188580000000,30007436000000,45266699000000,-2085555000000,164184000000,0,0,320934000000,-156750000000,8100996000000,4474616000000,0,3626380000000,0,49502166000000,368468840000000,345232548000000,231484000000,12649006000000,319859587000000,0,90975000000,5601386000000,6800110000000,23236292000000,18166632000000,2549642000000,233900000000,0,2286118000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2016,332023043000000,5872975000000,8954312000000,2484336000000,89891000000,105624000000,-15733000000,15422000000,196428077000000,198859665000000,-2431588000000,65033141000000,27589161000000,39292300000000,-1848320000000,520339000000,0,0,880575000000,-360236000000,7949366000000,4503810000000,0,3445556000000,0,43923436000000,332023043000000,309831109000000,3774694000000,8109652000000,291653101000000,0,1404155000000,600000000,4888907000000,22191934000000,18166632000000,2430405000000,253985000000,0,1340912000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2015,292032736000000,6586478000000,7497267000000,2207868000000,95334000000,124841000000,-29507000000,0,183660021000000,185916813000000,-2256792000000,39678056000000,25109203000000,16148253000000,-1579400000000,594542000000,0,0,897843000000,-303301000000,7967719000000,4530436000000,70000000,3437213000000,0,43745451000000,292032736000000,269952241000000,0,2954073000000,260994745000000,22853000000,1793234000000,600000000,4186736000000,22080495000000,18166632000000,2419833000000,229077000000,0,1264953000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18852157000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,653000000,0.0,0
STB,2014,189802627000000,4815942000000,4289757000000,3630099000000,7683341000000,7732428000000,-49087000000,12151000000,126646093000000,128015011000000,-1368918000000,25925440000000,20250805000000,5935128000000,-260493000000,264513000000,0,0,400749000000,-136236000000,5198975000000,2831507000000,188000000,2367280000000,0,11336316000000,189802627000000,171739426000000,0,4410606000000,163057456000000,0,1115813000000,600000000,3154951000000,18063197000000,12590879000000,1938962000000,104270000000,0,3429086000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12425116000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153000000,0.0,4000000
STB,2013,161377613000000,4228779000000,3300559000000,7469881000000,2651437000000,2877307000000,-225870000000,43996000000,109214229000000,110565799000000,-1351570000000,19893888000000,19434485000000,628689000000,-169286000000,318860000000,0,0,462929000000,-144069000000,5306520000000,2907070000000,743000000,2398707000000,0,8949464000000,161377613000000,144313887000000,0,5007207000000,131644622000000,0,4405174000000,501147000000,2755737000000,17063718000000,12590879000000,1621303000000,96870000000,0,2754666000000,0,,,,,,,,,,,12425116000000,,,,,,,,,,,,,,,,,153000000,,8000000
