CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
STB,2024,49988721000000,-0.10618436650175087,10087495000000,0.30690463160753173,49988721000000,-25457023000000,24531698000000,6121237000000,-3142812000000,2978425000000,1105728000000,0,55547000000,369016000000,-367937000000,1079000000,4641000000,28677118000000,-13982389000000,14694729000000,-1974364000000,12720365000000,-2632870000000,-2787723000000,154853000000,0,10087495000000,10087495000000,5351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2023,55927329000000,0.49574914695703076,7718616000000,0.5312602726409751,55927329000000,-33854996000000,22072333000000,6136710000000,-3518807000000,2617903000000,1099548000000,0,33817000000,445447000000,-118874000000,326573000000,22837000000,26173011000000,-12889906000000,13283105000000,-3688105000000,9595000000000,-1876384000000,-2016154000000,139770000000,0,7718616000000,7718616000000,4094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2022,37390848000000,0.25934392465043643,5040695000000,0.4775614569092269,37390848000000,-20243714000000,17147134000000,8329935000000,-3135855000000,5194080000000,1062244000000,0,-19983000000,2874203000000,-128854000000,2745349000000,12466000000,26141290000000,-10920717000000,15220573000000,-8881501000000,6339072000000,-1298377000000,-1168567000000,-129810000000,0,5040695000000,5040695000000,2674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2021,29690736000000,-0.11602267582324191,3411496000000,0.27200602837976856,29690736000000,-17726249000000,11964487000000,6430648000000,-2088129000000,4342519000000,737093000000,0,163664000000,865198000000,-408092000000,457106000000,39448000000,17704317000000,-9749916000000,7954401000000,-3554375000000,4400026000000,-988530000000,-941026000000,-47504000000,0,3411496000000,3411496000000,1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2020,33587667000000,0.10206709846592038,2681981000000,0.09251714147912063,33587667000000,-22061113000000,11526554000000,5476812000000,-1732797000000,3744015000000,809739000000,0,94043000000,1181223000000,-57491000000,1123732000000,-27214000000,17270869000000,-10894615000000,6376254000000,-3036974000000,3339280000000,-657299000000,-938560000000,281261000000,0,2681981000000,2681981000000,1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2019,30476971000000,0.15901537182820635,2454864000000,0.37131289116702676,30476971000000,-21296283000000,9180688000000,4803443000000,-1480453000000,3322990000000,608748000000,0,72764000000,1485474000000,-64287000000,1421187000000,28961000000,14635338000000,-9265703000000,5369635000000,-2152889000000,3216746000000,-761882000000,-791542000000,29660000000,0,2454864000000,2454864000000,1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2018,26295571000000,0.22110717442817945,1790156000000,0.5150783709671959,26295571000000,-18661777000000,7633794000000,3772038000000,-1089894000000,2682144000000,401278000000,3304000000,21223000000,951030000000,-18647000000,932383000000,2809000000,11676935000000,-7837830000000,3839105000000,-1592114000000,2246991000000,-456835000000,-445711000000,-11124000000,0,1790156000000,1790156000000,780,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2017,21534204000000,0.20515555895821014,1181560000000,12.334537123768467,21534204000000,-16256169000000,5278035000000,3439285000000,-815454000000,2623831000000,343879000000,13965000000,157524000000,323744000000,-8537000000,315207000000,-87155000000,8645286000000,-6336893000000,2308393000000,-816589000000,1491804000000,-310244000000,-278137000000,-32107000000,0,1181560000000,1181560000000,555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2016,17868402000000,0.12430445137278713,88609000000,-0.8632406211270236,17868402000000,-13847705000000,4020697000000,2112833000000,-682789000000,1430044000000,265028000000,-753000000,45835000000,747616000000,-10652000000,736964000000,32342000000,6530157000000,-5678323000000,851834000000,-696243000000,155591000000,-66982000000,-75531000000,8549000000,0,88609000000,88609000000,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STB,2015,15892850000000,0.04585959605471688,647919000000,-0.706350422128718,15892850000000,-9317743000000,6575107000000,1740796000000,-569533000000,1171263000000,158842000000,11455000000,-99478000000,479034000000,-20182000000,458852000000,12675000000,8288716000000,-5154547000000,3134169000000,-2256014000000,878155000000,-230236000000,-242858000000,12622000000,0,647919000000,647919000000,444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
