Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
STB,2024,5,0,0,0.13379754482594525,2.9159564888753557,0,0,,0,0,,0,0.0,0.0,0.4112024777086364,0.2003356624,0,0.0141829272,0,0.0,0.0,0,0,0,,13.60862972778722,72109500525000,1885215700,7.1484050822,1.3117479572,2.5145309415,1.8795525712,5350.84393791119,29159.5651362335,0
STB,2023,5,0,0,0.15895092529247037,2.425922063552328,0,0,,0,0,,0,0.0,0.0,0.3496964276499453,0.1829904532,0,0.0121908428,0,0.0,0.0,0,0,0,,14.745958487128926,69564459330000,1885215700,10.1872660498,1.5210711111,2.6578699459,2.6004089113,4094.2879904936076,24259.2208414135,0
STB,2022,5,0,0,0.19539901575571655,2.0489430292867343,0,0,,0,0,,0,0.0,0.0,0.2939672017492836,0.1383128098,0,0.0090576507,0,0.0,0.0,0,0,0,,15.323679195762466,52691778815000,1885215700,11.7447611897,1.3641179556,2.015653352,3.3906120099,2673.8027908424483,20489.430466763,0
STB,2021,5,0,0,0.23919896176844943,1.8173695301402846,0,0,,0,0,,0,0.0,0.0,0.2851351670990992,0.1079287156,0,0.0067312242,0,0.0,0.0,0,0,0,,15.210064283541074,42417353250000,1885215700,14.1073104673,1.2380531001,2.3958762854,-3.5706697267,1809.6051290046014,18173.6954556447,0
STB,2020,5,0,0,0.29615113729191794,1.5359643861572816,0,0,,0,0,,0,0.0,0.0,0.23267847441655157,0.0963045956,0,0.0056695682,0,0.0,0.0,0,0,0,,17.00897613025889,59384294550000,1885215700,26.1110322565,2.0508287833,3.4384080239,19.8828724856,1422.638799369218,15359.6439919315,0
STB,2019,5,0,0,0.3100022287339146,1.418492312208159,0,0,,0,0,,0,0.0,0.0,0.26739433907349863,0.0955683289,0,0.0057114987,0,0.0,0.0,0,0,0,,16.961602093214925,48638565060000,1885215700,23.7226114079,1.8188325421,3.3233646575,3.7218417462,1302.1661128750413,14184.9232424703,0
STB,2018,5,0,0,0.3349110542238998,1.3066073442387958,0,0,,0,0,,0,0.0,0.0,0.23450410110621273,0.0747944913,0,0.0046226835,0,0.0,0.0,0,0,0,,16.48402680911664,48638565060000,1885215700,27.1700148255,1.9745794247,4.1653537559,9.862295874,949.5762209067111,13066.0735532809,0
STB,2017,5,0,0,0.3486354879685623,1.232553484611413,0,0,,0,0,,0,0.0,0.0,0.22386361591008774,0.0520187603,0,0.0033735152,0,0.0,0.0,0,0,0,,15.857471579372474,48638565060000,1885215700,49.655814067,2.0932154347,5.6260215174,-48.1176910543,626.7505622831383,12325.5349507221,0
STB,2016,5,0,0,0.3582096990735463,1.177156216747771,0,0,,0,0,,0,0.0,0.0,0.022038218746650146,0.0040028976,0,0.0002839778,0,0.0,0.0,0,0,0,,14.961428913766596,48638565060000,1885215700,548.9122443544,2.19172268,7.4482994911,43.1978786409,47.00204862499289,11771.562267384,0
