time,open,high,low,close,volume
2023-09-11 09:15:00,17.26,17.26,17.19,17.21,172800
2023-09-11 09:20:00,17.21,17.24,17.14,17.14,292000
2023-09-11 09:25:00,17.14,17.19,17.12,17.14,288000
2023-09-11 09:30:00,17.14,17.17,17.12,17.17,112500
2023-09-11 09:35:00,17.17,17.17,17.14,17.17,67800
2023-09-11 09:40:00,17.17,17.17,17.14,17.14,94300
2023-09-11 09:45:00,17.14,17.17,17.14,17.14,237600
2023-09-11 09:50:00,17.14,17.17,17.14,17.14,101800
2023-09-11 09:55:00,17.14,17.14,17.12,17.12,176500
2023-09-11 10:00:00,17.09,17.14,17.09,17.12,266000
2023-09-11 10:05:00,17.12,17.12,17.07,17.07,251600
2023-09-11 10:10:00,17.07,17.09,17.04,17.04,204100
2023-09-11 10:15:00,17.07,17.07,17.04,17.04,31700
2023-09-11 10:20:00,17.04,17.07,17.04,17.07,72500
2023-09-11 10:25:00,17.07,17.09,17.04,17.09,99600
2023-09-11 10:30:00,17.09,17.14,17.09,17.14,140800
2023-09-11 10:35:00,17.14,17.14,17.09,17.12,109700
2023-09-11 10:40:00,17.12,17.12,17.09,17.09,55000
2023-09-11 10:45:00,17.09,17.14,17.09,17.12,178900
2023-09-11 10:50:00,17.09,17.12,17.09,17.12,105500
2023-09-11 10:55:00,17.12,17.12,17.04,17.04,237400
2023-09-11 11:00:00,17.04,17.07,16.97,17.0,546700
2023-09-11 11:05:00,17.0,17.02,16.97,17.0,181400
2023-09-11 11:10:00,17.0,17.02,17.0,17.0,107900
2023-09-11 11:15:00,17.0,17.02,16.97,17.0,71100
2023-09-11 11:20:00,17.0,17.02,17.0,17.02,16100
2023-09-11 11:25:00,17.02,17.02,17.0,17.02,130100
2023-09-11 13:00:00,17.02,17.02,16.97,17.0,130100
2023-09-11 13:05:00,16.97,17.02,16.97,17.0,48900
2023-09-11 13:10:00,17.02,17.02,16.97,17.0,58700
2023-09-11 13:15:00,17.0,17.0,16.95,16.95,288200
2023-09-11 13:20:00,16.95,16.95,16.87,16.92,358200
2023-09-11 13:25:00,16.92,16.95,16.9,16.92,160900
2023-09-11 13:30:00,16.92,16.97,16.9,16.95,195000
2023-09-11 13:35:00,16.95,16.97,16.9,16.9,302400
2023-09-11 13:40:00,16.9,16.92,16.87,16.9,370800
2023-09-11 13:45:00,16.9,16.95,16.9,16.95,162000
2023-09-11 13:50:00,16.95,16.95,16.9,16.92,142600
2023-09-11 13:55:00,16.9,16.92,16.9,16.9,257900
2023-09-11 14:00:00,16.9,16.9,16.83,16.83,576300
2023-09-11 14:05:00,16.83,16.85,16.7,16.75,980000
2023-09-11 14:10:00,16.75,16.85,16.75,16.83,306400
2023-09-11 14:15:00,16.83,16.87,16.8,16.8,332100
2023-09-11 14:20:00,16.8,16.85,16.8,16.8,455200
2023-09-11 14:25:00,16.8,16.83,16.73,16.75,639000
2023-09-11 14:45:00,16.75,16.75,16.75,16.75,698000
2023-09-12 09:15:00,16.75,16.8,16.73,16.8,69600
2023-09-12 09:20:00,16.8,16.85,16.73,16.75,235900
2023-09-12 09:25:00,16.75,16.75,16.7,16.7,303800
2023-09-12 09:30:00,16.7,16.73,16.68,16.73,125700
2023-09-12 09:35:00,16.73,16.75,16.73,16.75,155200
2023-09-12 09:40:00,16.73,16.78,16.73,16.78,55700
2023-09-12 09:45:00,16.78,16.78,16.75,16.78,58000
2023-09-12 09:50:00,16.78,16.78,16.75,16.75,102400
2023-09-12 09:55:00,16.75,16.75,16.73,16.75,30500
2023-09-12 10:00:00,16.75,16.78,16.75,16.78,50600
2023-09-12 10:05:00,16.78,16.8,16.75,16.78,67700
2023-09-12 10:10:00,16.8,16.8,16.78,16.78,107000
2023-09-12 10:15:00,16.78,16.8,16.78,16.8,48900
2023-09-12 10:20:00,16.78,16.78,16.75,16.78,37000
2023-09-12 10:25:00,16.78,16.78,16.75,16.75,106900
2023-09-12 10:30:00,16.75,16.78,16.73,16.78,15200
2023-09-12 10:35:00,16.78,16.78,16.75,16.78,36700
2023-09-12 10:40:00,16.75,16.8,16.75,16.8,9800
2023-09-12 10:45:00,16.8,16.8,16.75,16.75,101900
2023-09-12 10:50:00,16.78,16.78,16.78,16.78,20300
