time,open,high,low,close,volume
2023-09-11 10:00:00,17.09,17.14,17.04,17.04,3296100
2023-09-11 11:00:00,17.04,17.07,16.97,17.02,1053300
2023-09-11 13:00:00,17.02,17.02,16.87,16.9,2475700
2023-09-11 14:00:00,16.9,16.9,16.7,16.75,3987000
2023-09-12 10:00:00,16.75,16.8,16.73,16.8,1822000
2023-09-12 11:00:00,16.8,16.85,16.78,16.78,472000
2023-09-12 13:00:00,16.78,16.95,16.75,16.95,990400
2023-09-12 14:00:00,16.95,17.12,16.87,17.12,1651500
2023-09-13 10:00:00,17.12,17.14,16.97,17.09,1836200
2023-09-13 11:00:00,17.09,17.17,17.02,17.09,336300
2023-09-13 13:00:00,17.04,17.17,17.02,17.14,1277500
2023-09-13 14:00:00,17.12,17.12,16.9,16.97,1528100
2023-09-14 10:00:00,17.26,17.31,17.12,17.17,4363000
2023-09-14 11:00:00,17.17,17.17,17.09,17.12,347300
2023-09-14 13:00:00,17.12,17.12,16.92,17.0,1932400
2023-09-14 14:00:00,17.02,17.07,16.92,16.92,999900
2023-09-15 10:00:00,17.12,17.21,17.02,17.02,2481200
2023-09-15 11:00:00,17.0,17.02,16.95,16.97,510800
2023-09-15 13:00:00,16.97,17.07,16.95,17.02,770800
2023-09-15 14:00:00,17.02,17.04,16.92,16.92,761100
2023-09-18 10:00:00,16.9,16.9,16.78,16.8,1610400
2023-09-18 11:00:00,16.8,16.83,16.75,16.78,492700
2023-09-18 13:00:00,16.75,16.83,16.66,16.7,2310500
2023-09-18 14:00:00,16.7,16.75,16.49,16.54,3316500
2023-09-19 10:00:00,16.56,16.58,16.44,16.46,1705000
2023-09-19 11:00:00,16.46,16.46,16.39,16.44,716900
2023-09-19 13:00:00,16.44,16.63,16.39,16.51,1312300
2023-09-19 14:00:00,16.51,16.63,16.44,16.44,2130100
2023-09-20 10:00:00,16.56,16.58,16.41,16.56,1613800
2023-09-20 11:00:00,16.49,16.56,16.49,16.54,265000
2023-09-20 13:00:00,16.54,16.63,16.49,16.56,728100
2023-09-20 14:00:00,16.56,16.73,16.56,16.66,819400
2023-09-21 10:00:00,16.68,16.68,16.58,16.58,991800
2023-09-21 11:00:00,16.61,16.66,16.58,16.61,222500
2023-09-21 13:00:00,16.61,16.66,16.58,16.61,800900
2023-09-21 14:00:00,16.61,16.63,16.49,16.63,1150400
2023-09-22 10:00:00,16.46,16.49,16.2,16.2,4733200
2023-09-22 11:00:00,16.22,16.34,16.2,16.22,612700
2023-09-22 13:00:00,16.27,16.49,16.24,16.49,1130300
2023-09-22 14:00:00,16.49,16.61,16.39,16.49,1066300
2023-09-25 10:00:00,16.49,16.49,16.44,16.46,631400
2023-09-25 11:00:00,16.46,16.46,16.44,16.46,75700
2023-09-25 13:00:00,16.46,16.46,16.24,16.29,883700
2023-09-25 14:00:00,16.29,16.29,15.88,15.9,2639700
2023-09-26 10:00:00,15.83,15.98,15.81,15.86,1726000
2023-09-26 11:00:00,15.88,15.88,15.76,15.78,419900
2023-09-26 13:00:00,15.78,15.9,15.76,15.9,1157300
2023-09-26 14:00:00,15.9,15.98,15.71,15.71,1452700
2023-09-27 10:00:00,15.69,15.78,15.66,15.74,1165800
2023-09-27 11:00:00,15.74,15.74,15.66,15.66,502800
2023-09-27 13:00:00,15.66,15.76,15.66,15.71,748300
2023-09-27 14:00:00,15.71,15.81,15.71,15.81,1136600
2023-09-28 10:00:00,15.76,15.76,15.52,15.61,1722700
2023-09-28 11:00:00,15.61,15.64,15.49,15.49,634000
2023-09-28 13:00:00,15.49,15.57,15.47,15.54,1266500
2023-09-28 14:00:00,15.54,16.39,15.47,16.32,2933300
2023-09-29 10:00:00,16.24,16.29,16.15,16.15,742500
2023-09-29 11:00:00,16.15,16.2,16.05,16.05,249500
2023-09-29 13:00:00,16.15,16.15,16.05,16.1,350300
2023-09-29 14:00:00,16.1,16.32,16.07,16.32,1565500
2023-10-02 10:00:00,16.17,16.27,16.17,16.17,948400
2023-10-02 11:00:00,16.2,16.2,16.17,16.2,81300
2023-10-02 13:00:00,16.2,16.22,16.12,16.12,653300
2023-10-02 14:00:00,16.15,16.17,16.07,16.07,455300
2023-10-03 10:00:00,15.81,15.9,15.76,15.78,1045500
2023-10-03 11:00:00,15.78,15.78,15.47,15.57,872800
2023-10-03 13:00:00,15.57,15.76,15.49,15.74,1317700
2023-10-03 14:00:00,15.71,15.9,15.61,15.76,1414100
2023-10-04 10:00:00,15.61,15.74,15.59,15.69,930300
2023-10-04 11:00:00,15.69,15.69,15.59,15.64,285300
2023-10-04 13:00:00,15.64,15.74,15.64,15.74,734400
2023-10-04 14:00:00,15.74,15.83,15.64,15.64,846000
2023-10-05 10:00:00,15.69,15.69,15.57,15.61,896400
2023-10-05 11:00:00,15.61,15.64,15.59,15.61,62100
2023-10-05 13:00:00,15.64,15.64,15.57,15.57,360000
2023-10-05 14:00:00,15.57,15.59,15.42,15.42,1124100
2023-10-06 10:00:00,15.42,15.42,15.37,15.4,768200
2023-10-06 11:00:00,15.37,15.42,15.32,15.35,277600
2023-10-06 13:00:00,15.35,15.42,15.32,15.4,656000
2023-10-06 14:00:00,15.4,15.64,15.4,15.54,849800
2023-10-09 10:00:00,15.52,15.57,15.49,15.52,1426200
2023-10-09 11:00:00,15.52,15.52,15.47,15.52,203300
2023-10-09 13:00:00,15.52,15.57,15.49,15.52,751300
2023-10-09 14:00:00,15.52,15.57,15.52,15.57,412900
2023-10-10 10:00:00,15.74,15.81,15.71,15.81,1299500
2023-10-10 11:00:00,15.81,15.83,15.78,15.81,103000
2023-10-10 13:00:00,15.81,15.83,15.78,15.81,517700
2023-10-10 14:00:00,15.83,15.83,15.76,15.76,739800
2023-10-11 10:00:00,15.76,15.76,15.74,15.74,459300
2023-10-11 11:00:00,15.74,15.76,15.71,15.71,153300
2023-10-11 13:00:00,15.71,15.76,15.66,15.74,1070800
2023-10-11 14:00:00,15.74,15.81,15.69,15.81,516200
2023-10-12 10:00:00,15.81,15.83,15.78,15.83,927500
2023-10-12 11:00:00,15.83,15.83,15.76,15.81,395100
2023-10-12 13:00:00,15.81,15.86,15.76,15.81,609100
2023-10-12 14:00:00,15.81,15.83,15.76,15.76,532500
2023-10-13 10:00:00,15.61,15.66,15.57,15.61,725500
2023-10-13 11:00:00,15.61,15.64,15.54,15.57,241900
2023-10-13 13:00:00,15.57,15.61,15.52,15.57,603200
2023-10-13 14:00:00,15.57,15.71,15.57,15.61,378900
2023-10-16 10:00:00,15.57,15.61,15.47,15.47,1110400
2023-10-16 11:00:00,15.47,15.49,15.47,15.47,140100
2023-10-16 13:00:00,15.47,15.52,15.47,15.49,364900
2023-10-16 14:00:00,15.49,15.49,15.42,15.42,861000
2023-10-17 10:00:00,15.49,15.54,15.47,15.52,565100
2023-10-17 11:00:00,15.52,15.54,15.52,15.54,67100
2023-10-17 13:00:00,15.54,15.57,15.49,15.52,490000
2023-10-17 14:00:00,15.52,15.54,15.4,15.4,697800
2023-10-18 10:00:00,15.35,15.37,15.2,15.3,1793100
2023-10-18 11:00:00,15.3,15.35,15.27,15.3,385700
2023-10-18 13:00:00,15.3,15.37,15.25,15.25,691700
2023-10-18 14:00:00,15.25,15.3,15.03,15.15,1849400
2023-10-19 10:00:00,15.1,15.1,14.91,14.98,1067900
2023-10-19 11:00:00,14.98,15.13,14.96,15.13,397500
2023-10-19 13:00:00,15.13,15.15,15.03,15.06,522200
2023-10-19 14:00:00,15.08,15.15,14.86,14.86,797400
