CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
TCB,2024,978798549000000,3384770000000,54353153000000,84590474000000,9000644000000,9000895000000,-251000000,0,623634271000000,631724964000000,-8090693000000,148623636000000,142202792000000,6900000000000,-479156000000,3102523000000,0,0,3103672000000,-1149000000,12466885000000,6576699000000,0,5890186000000,0,39500565000000,978798549000000,830858928000000,11531000000,132239088000000,533392350000000,931231000000,0,140422321000000,23862407000000,147939621000000,78412544000000,24787305000000,0,0,42219306000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70648517000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7764086000000,0.0,2520466000000
TCB,2023,849482012000000,3620695000000,27140592000000,104072320000000,4432778000000,4432778000000,0,143611000000,512513672000000,518641568000000,-6127896000000,104993945000000,105356248000000,0,-362303000000,3046245000000,0,0,3047394000000,-1149000000,8892697000000,3527586000000,0,5365111000000,0,80543424000000,849482012000000,717865947000000,131000000,153173002000000,454660779000000,0,0,84703300000000,25328735000000,131616065000000,36257461000000,45028627000000,0,0,49013144000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35225108000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555997000000,0.0,1316833000000
TCB,2022,699032544000000,4215721000000,11475590000000,82873754000000,961034000000,961034000000,0,0,415752256000000,420523705000000,-4771449000000,103651920000000,104031921000000,0,-380001000000,12813000000,0,0,13962000000,-1149000000,8411382000000,3696812000000,0,4714570000000,1053124000000,70517225000000,699032544000000,585607578000000,7826000000,167562969000000,358403785000000,1851213000000,0,34006619000000,23775166000000,113424966000000,36204797000000,11608569000000,0,0,64482685000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35172385000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555997000000,0.0,1128915000000
TCB,2021,568728950000000,3578643000000,4908529000000,70515258000000,5070812000000,5074479000000,-3667000000,293768000000,343605581000000,347341244000000,-3735663000000,97586088000000,98092062000000,200000000000,-705974000000,12813000000,0,0,13962000000,-1149000000,7224481000000,3628732000000,0,3595749000000,1088924000000,34710635000000,568728950000000,475687478000000,842000000,112458691000000,314752525000000,0,0,33679824000000,14795596000000,93041472000000,35585622000000,9155896000000,0,0,47453056000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35109148000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,846898000000
TCB,2020,439602933000000,3663615000000,10253324000000,28994954000000,8347576000000,8357447000000,-9871000000,0,275310367000000,277524615000000,-2214248000000,84447241000000,84632952000000,200000000000,-385711000000,11806000000,0,0,12466000000,-660000000,4613423000000,1470942000000,0,3142481000000,1124724000000,22835903000000,439602933000000,364988147000000,0,47484812000000,277458651000000,266926000000,0,27899640000000,11878118000000,74614786000000,35525569000000,6789643000000,0,0,31815705000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35049062000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,483869000000
TCB,2019,383699461000000,4820627000000,3192256000000,47990224000000,10041556000000,10052963000000,-11407000000,0,227885283000000,230802027000000,-2916744000000,66054597000000,66158709000000,202006000000,-306118000000,12223000000,0,0,12883000000,-660000000,3207777000000,793484000000,0,2414293000000,1160524000000,19334394000000,383699461000000,321626694000000,0,61266635000000,231296761000000,434008000000,0,17460634000000,11168656000000,62072767000000,35477967000000,5172684000000,0,0,21131391000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35001400000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,290725000000
TCB,2018,320988941000000,2606467000000,10555483000000,35559363000000,7572229000000,7583090000000,-10861000000,0,157554103000000,159939217000000,-2385114000000,86512348000000,66625261000000,20236200000000,-349113000000,12223000000,0,0,12883000000,-660000000,1718596000000,788016000000,0,930580000000,1196324000000,17701805000000,320988941000000,269206236000000,6025027000000,36425560000000,201414532000000,310313000000,0,13177959000000,11852845000000,51782705000000,35442539000000,3867846000000,0,0,12403003000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34965922000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,69317000000
TCB,2017,269392380000000,2344362000000,4279431000000,30155807000000,6758094000000,6775118000000,-17024000000,36292000000,158964456000000,160849037000000,-1884581000000,51542484000000,46018398000000,5715484000000,-191398000000,9683000000,0,0,12084000000,-2401000000,1511446000000,569789000000,0,941657000000,1238030000000,12541963000000,269392380000000,242461635000000,1000000000000,46323825000000,170970833000000,0,0,17639970000000,6527007000000,26930745000000,9777116000000,6156928000000,0,0,10996701000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11655307000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TCB,2016,235363136000000,2956708000000,2533875000000,21598874000000,8024620000000,8035905000000,-11285000000,0,141120529000000,142616004000000,-1495475000000,45674924000000,38575369000000,8560113000000,-1460558000000,577746000000,0,0,582672000000,-4926000000,1582722000000,576836000000,0,1005886000000,1278536000000,9996109000000,235363136000000,215776660000000,1447970000000,24886126000000,173448929000000,67892000000,587383000000,10414842000000,4923518000000,19586476000000,8878079000000,5219182000000,0,0,5489215000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8878079000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TCB,2015,191993602000000,2754299000000,2677303000000,14762552000000,1875993000000,1885098000000,-9105000000,0,111012648000000,112179889000000,-1167241000000,45017189000000,39243607000000,6902350000000,-1128768000000,597151000000,0,0,601230000000,-4079000000,882081000000,538147000000,0,343934000000,1310184000000,11073573000000,191993602000000,175536036000000,0,20745990000000,142239546000000,85891000000,336421000000,8133896000000,3994292000000,16457566000000,8878079000000,4744903000000,0,0,2834584000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8878079000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
