CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
TCB,2024,0.0,0.0,0.0,-2359679000000,31037437000000,42379134000000,0,-2579000000,-1618886000000,64561000000,-382599000000,200495000000,-5009760000000,36984196000000,110500219000000,0,147484415000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42376555000000,1741528000000,-56278000000,0,0.0,0.0,0.0,0.0,-5210255000000,0.0
TCB,2023,0.0,0.0,0.0,1384616000000,24938816000000,12058300000000,0,-5013000000,-1232358000000,34756000000,-2912466000000,52664000000,53518000000,9194339000000,101305880000000,0,110500219000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12053287000000,22156000000,-3033432000000,0,0.0,0.0,0.0,0.0,854000000,0.0
TCB,2022,0.0,0.0,0.0,605946000000,29013569000000,55473357000000,0,-4856000000,-1110111000000,8776000000,-1057275000000,65072000000,-709576000000,53701650000000,47604230000000,0,101305880000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55468501000000,44111000000,0,0,0.0,0.0,0.0,0.0,-74648000000,0.0
TCB,2021,0.0,0.0,0.0,816228000000,23061616000000,12838970000000,0,-10749000000,-939995000000,4043000000,-879943000000,60053000000,60053000000,12008331000000,35595899000000,0,47604230000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12828221000000,57506000000,-1497000000,0,0.0,0.0,0.0,0.0,0,0.0
TCB,2020,0.0,0.0,0.0,1190483000000,17631283000000,-10087852000000,0,-615000000,-665860000000,4191000000,-655391000000,47602000000,-174546000000,-10918404000000,46514303000000,0,35595899000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10088467000000,6837000000,0,0,0.0,0.0,0.0,0.0,-65086000000,0.0
TCB,2019,0.0,0.0,0.0,485024000000,13007909000000,12641715000000,0,-9913000000,-257620000000,4216000000,-222244000000,35428000000,-3094234000000,9315324000000,37198979000000,0,46514303000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12631802000000,31428000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TCB,2018,0.0,0.0,0.0,151294000000,9926403000000,298991000000,0,-59000000,-401574000000,275000000,519470000000,0,13699378000000,14517780000000,22681199000000,0,37198979000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298932000000,6097000000,-799000000,915560000000,0.0,0.0,0.0,0.0,0,0.0
TCB,2017,0.0,0.0,0.0,598071000000,11509394000000,6968074000000,0,-263000000,-175815000000,334000000,755377000000,2099999000000,764914000000,8488102000000,14193097000000,0,22681199000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6967811000000,5795000000,0,925780000000,0.0,0.0,0.0,0.0,0,0.0
TCB,2016,0.0,0.0,0.0,569638000000,6855194000000,2355297000000,0,-127000000,-941512000000,470000000,-921370000000,0,2127000000,1435927000000,12757170000000,0,14193097000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2355170000000,2303000000,0,18558000000,0.0,0.0,0.0,0.0,0,0.0
TCB,2015,0.0,0.0,0.0,444854000000,5919035000000,-5301530000000,0,-16628000000,-124265000000,10815000000,7853000000,0,0,-5310305000000,18067475000000,0,12757170000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5318158000000,86580000000,-1677000000,36400000000,0.0,0.0,0.0,0.0,0,0.0
