CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
TCB,2024,60089462000000,0.05963386773933352,21522928000000,0.195465713297669,60089462000000,-24581499000000,35507963000000,10961642000000,-2919394000000,8042248000000,592556000000,81301000000,2359057000000,9324928000000,-8982217000000,342711000000,64561000000,46990397000000,-15369735000000,31620662000000,-4082294000000,27538368000000,-5778264000000,-5787711000000,9447000000,-237176000000,21760104000000,21522928000000,3049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2023,56707759000000,0.2671378508296137,18003802000000,-0.10652778357447108,56707759000000,-29016639000000,27691120000000,11378085000000,-2663188000000,8714897000000,195750000000,64620000000,925833000000,6459694000000,-4025578000000,2434116000000,34756000000,40061092000000,-13251796000000,26809296000000,-3921068000000,22888228000000,-4697362000000,-4706721000000,9359000000,-187064000000,18190866000000,18003802000000,2549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2022,44752636000000,0.26052219837557977,20150377000000,0.11622523508149954,44752636000000,-14462861000000,30289775000000,10840337000000,-2687732000000,8152605000000,-275063000000,-241845000000,425553000000,4499949000000,-2332574000000,2167375000000,8791000000,40527191000000,-13023129000000,27504062000000,-1936294000000,25567768000000,-5131342000000,-5174932000000,43590000000,-286049000000,20436426000000,20150377000000,5725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2021,35503251000000,0.22416932373286286,18052250000000,0.4646866679253559,35503251000000,-8804638000000,26698613000000,8239494000000,-1857254000000,6382240000000,231416000000,152305000000,1804408000000,4343731000000,-2540485000000,1803246000000,4063000000,37076291000000,-11173395000000,25902896000000,-2664603000000,23238293000000,-4822911000000,-4840371000000,17460000000,-363132000000,18415382000000,18052250000000,5137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2020,29001912000000,0.1593187029230214,12324991000000,0.22330729134357352,29001912000000,-10250703000000,18751209000000,6048443000000,-1859665000000,4188778000000,745000000,321397000000,1496997000000,5460013000000,-3180804000000,2279209000000,4191000000,27042526000000,-8631195000000,18411331000000,-2611035000000,15800296000000,-3217829000000,-3217829000000,0,-257476000000,12582467000000,12324991000000,3515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2019,25016341000000,0.16824404236816315,10075139000000,0.19052426656740845,25016341000000,-10758497000000,14257844000000,4884408000000,-1631055000000,3253353000000,104581000000,397664000000,1243759000000,4425079000000,-2618351000000,1806728000000,4216000000,21068145000000,-7312509000000,13755636000000,-917368000000,12838268000000,-2612059000000,-2612059000000,0,-151070000000,10226209000000,10075139000000,2871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2018,21413626000000,0.21706335114647166,8462775000000,0.31295481642889444,21413626000000,-10023687000000,11389939000000,4188317000000,-915737000000,3272580000000,233751000000,168433000000,756585000000,3147169000000,-1513392000000,1633777000000,894703000000,18349768000000,-5842507000000,12507261000000,-1846245000000,10661016000000,-2187019000000,-2185246000000,-1773000000,-11222000000,8473997000000,8462775000000,3816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2017,17594504000000,0.11809976527186541,6445595000000,1.0469705409537335,17594504000000,-8664092000000,8930412000000,4519685000000,-593601000000,3926084000000,278585000000,396730000000,855760000000,1963425000000,-248534000000,1714891000000,355526000000,16457988000000,-4812465000000,11645523000000,-3609226000000,8036297000000,-1590702000000,-1564816000000,-25886000000,0,6445595000000,6445595000000,7719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2016,15736077000000,0.17614334647768243,3148846000000,1.059162117411332,15736077000000,-7593856000000,8142221000000,2558990000000,-603226000000,1955764000000,240201000000,124780000000,481457000000,1567677000000,-679417000000,888260000000,470000000,11833153000000,-4175422000000,7657731000000,-3661091000000,3996640000000,-847794000000,-872808000000,25014000000,0,3148846000000,3148846000000,3525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCB,2015,13379387000000,0.02678819750354711,1529188000000,0.41348310036991914,13379387000000,-6165707000000,7213680000000,1815286000000,-543148000000,1272138000000,-192002000000,63400000000,87948000000,1373267000000,-485304000000,887963000000,10815000000,9343942000000,-3678848000000,5665094000000,-3627889000000,2037205000000,-508017000000,-483862000000,-24155000000,0,1529188000000,1529188000000,1694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
