Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
TCB,2024,5,0,0,0.08427008880873096,2.0940230094756416,0,0,,0,0,,0,0.0,0.0,0.606143697964313,0.1556763471,0,0.0238039002,0,0.0,0.0,0,0,0,,6.616202896720954,194636664335000,7064851700,9.043224246,1.3384527254,4.1420519247,4.593027072,3046.4798008428115,20583.4688646048,0
TCB,2023,5,0,0,0.06756543739550336,1.8629699512792564,0,0,,0,0,,0,0.0,0.0,0.6501651793065791,0.1484720002,0,0.0234946012,0,0.0,0.060851927,0,0,0,,6.454242588091355,86829891220000,3522510800,4.8228641495,0.6663883577,2.167436954,7.2038350385,5111.070773721971,36990.442158474,0
TCB,2022,5,0,0,0.0741581178873794,1.6054826086988037,0,0,,0,0,,0,0.0,0.0,0.6652534394857671,0.1979636613,0,0.0322401747,0,0.0,0.0,0,0,0,,6.162951320611373,111848184300000,3517238500,5.5611618806,0.9960117324,2.7345353659,2.0164270222,5729.033444846006,31927.3347542397,0
TCB,2021,5,0,0,0.07764796541482061,1.3169628385318335,0,0,,0,0,,0,0.0,0.0,0.6761493565227527,0.2196802221,0,0.0365264301,0,0.0,0.0,0,0,0,,6.112639211039138,90757147580000,3510914800,5.0380752782,0.9844087742,2.4478486152,7.0748038703,5141.751090057782,26259.416491679,0
TCB,2020,5,0,0,0.06182987645370986,1.0561408612173,0,0,,0,0,,0,0.0,0.0,0.6572904712437475,0.1841055272,0,0.0305658458,0,0.0,0.0,0,0,0,,5.891632966688399,175245310000000,3504906200,14.2452802965,2.3639976017,6.4803602297,-17.370856246,3516.4966754317134,21150.613674055,0
TCB,2019,5,0,0,0.05167768660933063,0.8786138661246151,0,0,,0,0,,0,0.0,0.0,0.7066383248406982,0.1796349147,0,0.0290233498,0,0.0,0.0,0,0,0,,6.181446059912232,172906916000000,3500140000,17.1992962596,2.7986597788,8.2070308516,13.6882224721,2878.4960030170223,17651.3059477621,0
TCB,2018,5,0,0,0.03318860998088068,0.7329623736354532,0,0,,0,0,,0,0.0,0.0,0.7430044181974987,0.2153125546,0,0.0287068601,0,0.0,0.0,0,0,0,,6.198767349059884,172731654680000,3496592200,20.4833705014,3.340172852,9.4132882051,577.8292544124,2420.2922491218737,14789.6537663157,0
TCB,2017,5,0,0,0.05612343810020852,0.3811933497674777,0,0,,0,0,,0,0.0,0.0,0.7217578539489555,0.27712726,0,0.0255394733,0,0.0,0.0,0,0,0,,10.003153644654093,57577216580000,1165530700,8.9328008632,2.1379734047,3.4984359315,8.2633149177,5530.180371911268,23105.9936902563,0
TCB,2016,5,0,0,0.08080687919562457,0.27723831615428046,0,0,,0,0,,0,0.0,0.0,0.3867305984448224,0.1747221358,0,0.0147363817,0,0.0,0.0,0,0,0,,12.016614729469456,43857710260000,887807900,14.0159438119,2.2391833151,3.6797313958,18.6218872778,3546.765015269632,22061.614905657,0
