time,open,high,low,close,volume
2023-09-11 10:00:00,15.77,15.81,15.73,15.73,2669600
2023-09-11 11:00:00,15.73,15.81,15.69,15.73,312500
2023-09-11 13:00:00,15.73,15.73,15.53,15.57,3097700
2023-09-11 14:00:00,15.57,15.57,15.32,15.36,4110000
2023-09-12 10:00:00,15.36,15.45,15.32,15.41,2785200
2023-09-12 11:00:00,15.41,15.41,15.28,15.32,1291100
2023-09-12 13:00:00,15.32,15.36,15.24,15.36,1940500
2023-09-12 14:00:00,15.36,15.57,15.32,15.57,3009000
2023-09-13 10:00:00,15.53,15.57,15.45,15.49,2175000
2023-09-13 11:00:00,15.53,15.57,15.49,15.57,305000
2023-09-13 13:00:00,15.57,15.65,15.49,15.57,1202800
2023-09-13 14:00:00,15.57,15.61,15.36,15.61,1841500
2023-09-14 10:00:00,15.77,15.77,15.57,15.61,2362700
2023-09-14 11:00:00,15.61,15.61,15.53,15.61,268200
2023-09-14 13:00:00,15.57,15.61,15.45,15.53,1789000
2023-09-14 14:00:00,15.53,15.61,15.41,15.41,1232400
2023-09-15 10:00:00,15.61,15.65,15.53,15.57,2577300
2023-09-15 11:00:00,15.57,15.57,15.45,15.45,462300
2023-09-15 13:00:00,15.45,15.61,15.45,15.57,968600
2023-09-15 14:00:00,15.57,15.61,15.49,15.57,824300
2023-09-18 10:00:00,15.36,15.41,15.32,15.36,2143400
2023-09-18 11:00:00,15.36,15.36,15.28,15.32,446800
2023-09-18 13:00:00,15.32,15.41,15.28,15.36,1633500
2023-09-18 14:00:00,15.36,15.41,15.24,15.36,1089500
2023-09-19 10:00:00,15.28,15.32,15.24,15.28,1595500
2023-09-19 11:00:00,15.28,15.32,15.24,15.24,654500
2023-09-19 13:00:00,15.24,15.49,15.2,15.45,1626600
2023-09-19 14:00:00,15.45,15.49,15.36,15.45,2186400
2023-09-20 10:00:00,15.32,15.36,15.28,15.36,1871400
2023-09-20 11:00:00,15.36,15.69,15.36,15.65,5391500
2023-09-20 13:00:00,15.65,15.65,15.57,15.61,2154000
2023-09-20 14:00:00,15.61,15.89,15.57,15.81,4867200
2023-09-21 10:00:00,15.69,15.73,15.61,15.61,2139700
2023-09-21 11:00:00,15.61,15.69,15.61,15.65,239300
