CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
TPB,2024,418028391000000,1292735000000,22708369000000,70520700000000,1000000,1000000,0,0,247238856000000,250331368000000,-3092512000000,59472044000000,59549367000000,44700000000,-122023000000,0,0,0,0,0,1221874000000,856699000000,0,365175000000,0,14807073000000,418028391000000,380431980000000,238268000000,94513809000000,242805789000000,131330000000,93606000000,36632717000000,6016461000000,37596411000000,26419562000000,3721866000000,0,0,7454884000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26419562000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,99000000
TPB,2023,356633972000000,2338561000000,9213809000000,52353119000000,0,0,0,0,202586102000000,205262092000000,-2675990000000,65335805000000,65391552000000,44700000000,-100447000000,0,0,0,0,0,1058905000000,729429000000,0,329476000000,0,23655609000000,356633972000000,323891055000000,338420000000,83965697000000,208261560000000,66150000000,74311000000,24216267000000,6968650000000,32742917000000,22016350000000,3052367000000,0,0,7674200000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22016350000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2022,328634007000000,2426932000000,11988501000000,53364944000000,0,0,0,203247000000,159160375000000,160992963000000,-1832588000000,74376644000000,74520673000000,44700000000,-188729000000,0,0,0,0,0,1205386000000,903413000000,0,301973000000,0,25727368000000,328634007000000,296394955000000,433439000000,73496158000000,194959921000000,0,164923000000,20429954000000,6910560000000,32239052000000,18378520000000,2113255000000,0,0,11747277000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15817555000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2021,292827078000000,2553309000000,18039848000000,48752914000000,0,0,0,0,139462565000000,141227857000000,-1765292000000,62404684000000,62735195000000,44700000000,-375211000000,0,0,0,0,0,788613000000,512870000000,0,275743000000,0,19864752000000,292827078000000,266840008000000,564074000000,87015960000000,139562262000000,77705000000,401664000000,35405147000000,3813196000000,25987070000000,18378520000000,1388879000000,0,0,6219671000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15817555000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2020,206314594000000,2214265000000,9108762000000,12698296000000,0,0,0,77344000000,118084610000000,119990991000000,-1906381000000,48095142000000,48197336000000,44700000000,-146894000000,0,0,0,0,0,708842000000,475619000000,0,233223000000,0,14284297000000,206314594000000,189570196000000,697937000000,40879958000000,115903526000000,0,688576000000,27438818000000,3961381000000,16744398000000,9859189000000,862350000000,0,0,6022859000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10716717000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2019,164438534000000,1654531000000,7760937000000,21023865000000,0,0,0,12987000000,94435382000000,95643700000000,-1208318000000,26075064000000,26139104000000,44700000000,-108740000000,0,0,0,0,0,570994000000,368965000000,0,202029000000,0,11863440000000,164438534000000,151363855000000,828005000000,40213903000000,92439495000000,0,706047000000,14426020000000,2750385000000,13074679000000,7882729000000,576259000000,0,0,4615691000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8565892000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2018,136179403000000,1332025000000,4692735000000,16340793000000,0,0,0,0,76295237000000,77185148000000,-889911000000,24899523000000,24641343000000,801215000000,-543035000000,0,0,0,0,0,300052000000,202863000000,0,97189000000,0,11053586000000,136179403000000,125557718000000,4752198000000,33491419000000,76138062000000,108589000000,247228000000,8715178000000,2105044000000,10621685000000,8510485000000,305473000000,0,0,1805727000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8565892000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2017,124118747000000,1176978000000,2364130000000,22589779000000,0,0,0,0,62747997000000,63422643000000,-674646000000,25465002000000,24938137000000,994187000000,-467322000000,0,0,0,0,0,250772000000,174892000000,0,75880000000,0,8944035000000,124118747000000,117442030000000,1082224000000,40757187000000,70298586000000,84351000000,132484000000,3481154000000,1606044000000,6676717000000,5552176000000,160932000000,0,0,963609000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5842105000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
TPB,2016,106311115000000,815148000000,1362317000000,23784661000000,0,0,0,29149000000,46233626000000,46642977000000,-409351000000,29882518000000,29175883000000,1019638000000,-313003000000,0,0,0,0,0,144374000000,100386000000,0,43988000000,0,3381792000000,106311115000000,100629629000000,1500282000000,41245247000000,55082028000000,0,1211925000000,0,1590147000000,5681486000000,5040125000000,76150000000,0,0,565211000000,0,,,,,,,,,,,5842105000000,,,,,,,,,,,,,,,,,0,,0
TPB,2015,76220834000000,621500000000,1227426000000,20290118000000,0,0,0,11150000000,27977664000000,28240322000000,-262658000000,21578948000000,21165710000000,604132000000,-190894000000,0,0,0,0,0,134016000000,99684000000,0,34332000000,0,4380012000000,76220834000000,71422169000000,2017980000000,29395609000000,39505447000000,0,0,0,503133000000,4798665000000,4527197000000,42133000000,0,0,229335000000,0,,,,,,,,,,,5550000000000,,,,,,,,,,,,,,,,,0,,0
