CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
TPB,2024,0.0,0.0,0.0,-315820000000,10063823000000,40342756000000,0,0,-377748000000,0,-399917000000,0,764198000000,40707037000000,45441602000000,0,86148639000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40342756000000,251000000,-22420000000,0,0.0,0.0,0.0,0.0,-1100818000000,0.0
TPB,2023,0.0,0.0,0.0,-409461000000,8374931000000,-7879375000000,0,0,-485789000000,0,-485305000000,0,1504711000000,-6859969000000,52301571000000,0,45441602000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7879375000000,484000000,0,0,0.0,0.0,0.0,0.0,-3954389000000,0.0
TPB,2022,0.0,0.0,0.0,79515000000,9499232000000,-1705894000000,0,0,-426031000000,0,-425443000000,0,-2028300000000,-4159637000000,56461208000000,0,52301571000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1705894000000,629000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2021,0.0,0.0,0.0,-2345000000,7937130000000,34229257000000,0,0,-629215000000,0,-629049000000,3283500000000,2852193000000,36452401000000,20008807000000,0,56461208000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34229257000000,166000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2020,0.0,0.0,0.0,555774000000,5826546000000,-13230841000000,0,0,-410688000000,0,-410687000000,390694000000,4451534000000,-9189994000000,29198801000000,0,20008807000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13230841000000,1000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2019,0.0,0.0,0.0,645307000000,5341500000000,8755748000000,0,0,-394594000000,0,-394329000000,0,-368171000000,7993248000000,21205553000000,0,29198801000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8755748000000,265000000,0,0,0.0,0.0,0.0,0.0,-7415000000,0.0
TPB,2018,0.0,0.0,0.0,109126000000,2789785000000,-5119995000000,0,0,-231538000000,0,-232069000000,2190389000000,2126730000000,-3225334000000,24430887000000,0,21205553000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5119995000000,297000000,0,0,0.0,0.0,0.0,0.0,-50659000000,0.0
TPB,2017,0.0,0.0,0.0,36012000000,1866767000000,2272616000000,0,0,-165949000000,0,-165503000000,0,31647000000,2138760000000,22292127000000,0,24430887000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2272616000000,462000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2016,0.0,0.0,0.0,-2968000000,963912000000,2798667000000,0,0,-53159000000,0,-53101000000,403105000000,322757000000,3068323000000,19223804000000,0,22292127000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2798667000000,62000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2015,0.0,0.0,0.0,8999000000,516937000000,3763116000000,0,0,-84589000000,2860000000,-74580000000,0,0,3688536000000,15535268000000,0,19223804000000,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,3763116000000,649000000,0,6500000000,,,,,0,
TPB,2014,0.0,0.0,0.0,3352000000,599741000000,9039880000000,0,0,-35569000000,4155000000,-28456000000,0,0,9011424000000,6523844000000,0,15535268000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9039880000000,2958000000,0,0,0.0,0.0,0.0,0.0,0,0.0
TPB,2013,,,,17284277959,312855454711,3870424382533,0,0,-32117301058,3462425773,-28654875285,0,0,3841769507248,2682075049067,0,6523844556315,,,,,,,,,,,,,,,3870424382533,0,0,0,,,,,0,
