time,open,high,low,close,volume
2023-09-11 10:00:00,60.13,60.2,60.0,60.07,471700
2023-09-11 11:00:00,60.07,60.07,60.0,60.0,102900
2023-09-11 13:00:00,60.07,60.07,59.53,59.53,445300
2023-09-11 14:00:00,59.53,59.53,58.86,59.2,629600
2023-09-12 10:00:00,59.6,59.87,59.6,59.87,422300
2023-09-12 11:00:00,59.87,59.87,59.67,59.73,137900
2023-09-12 13:00:00,59.73,59.8,59.67,59.73,416000
2023-09-12 14:00:00,59.73,60.2,59.73,60.13,595900
2023-09-13 10:00:00,60.07,60.13,59.53,59.8,617100
2023-09-13 11:00:00,59.8,59.87,59.6,59.67,115700
2023-09-13 13:00:00,59.67,60.07,59.53,59.87,376200
2023-09-13 14:00:00,59.67,60.07,59.47,59.6,473000
2023-09-14 10:00:00,59.6,59.67,59.26,59.33,339900
2023-09-14 11:00:00,59.33,59.33,59.2,59.26,108600
2023-09-14 13:00:00,59.26,59.26,58.93,59.0,452100
2023-09-14 14:00:00,59.0,59.6,58.93,59.6,612000
2023-09-15 10:00:00,59.47,59.53,59.26,59.33,285800
2023-09-15 11:00:00,59.33,59.53,59.33,59.47,65300
2023-09-15 13:00:00,59.47,59.53,59.33,59.53,211200
2023-09-15 14:00:00,59.47,60.07,59.33,60.07,1580100
2023-09-18 10:00:00,59.6,59.67,59.33,59.67,183000
2023-09-18 11:00:00,59.67,59.67,59.2,59.33,75000
2023-09-18 13:00:00,59.26,59.4,59.06,59.13,242700
2023-09-18 14:00:00,59.2,59.53,59.06,59.4,217400
2023-09-19 10:00:00,59.2,59.26,58.86,58.86,185500
2023-09-19 11:00:00,58.86,58.86,58.6,58.8,73000
2023-09-19 13:00:00,58.8,58.93,57.53,58.26,408800
2023-09-19 14:00:00,58.19,58.93,58.13,58.93,449900
2023-09-20 10:00:00,58.86,59.13,58.8,58.93,267400
2023-09-20 11:00:00,59.0,59.0,58.86,59.0,57200
2023-09-20 13:00:00,59.0,59.0,58.73,58.73,215600
2023-09-20 14:00:00,58.8,58.86,58.66,58.86,245800
