CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
VCB,2024,2085397244000000,14268065000000,49340493000000,389295778000000,4575850000000,4608140000000,-32290000000,1314434000000,1418036605000000,1449219780000000,-31183175000000,167383349000000,86799901000000,80829540000000,-246092000000,2228098000000,0,774176000000,1528922000000,-75000000000,8092878000000,5530580000000,0,2562298000000,0,30861694000000,2085397244000000,1886441134000000,78237337000000,234653406000000,1514664850000000,0,529000000,24125059000000,34759953000000,198956110000000,61696139000000,27453138000000,-968290000000,0,110678862000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55890913000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809837000000,0.0,96261000000
VCB,2023,1839613198000000,14504849000000,58104503000000,336468607000000,2495408000000,2511395000000,-15987000000,0,1241675333000000,1270359018000000,-28683685000000,145780067000000,67882480000000,78009747000000,-112160000000,2224945000000,0,838225000000,1529145000000,-142425000000,7708181000000,5115612000000,0,2592569000000,0,30651305000000,1839613198000000,1674600532000000,1670837000000,213838980000000,1395697611000000,117752000000,365000000,19912623000000,43362364000000,165012666000000,61696139000000,27447116000000,-983237000000,0,76758658000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55890913000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809837000000,0.0,93990000000
VCB,2022,1813815170000000,18348534000000,92557809000000,313637444000000,1499687000000,1543575000000,-43888000000,156515000000,1120286832000000,1145066250000000,-24779418000000,196171213000000,100739670000000,95513376000000,-81833000000,2193535000000,0,782389000000,1529145000000,-117999000000,7985400000000,5170083000000,0,2815317000000,0,60978201000000,1813815170000000,1678169085000000,67314816000000,232510850000000,1243468471000000,0,3298000000,25337894000000,109533756000000,135646085000000,53130392000000,22556958000000,-863071000000,0,60733423000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47325166000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,809837000000,0.0,88383000000
VCB,2021,1414986259000000,18011766000000,22506711000000,225811765000000,2799649000000,2856082000000,-56433000000,303202000000,935009671000000,960749955000000,-25740284000000,170596896000000,71114698000000,99657595000000,-175397000000,2346176000000,0,759715000000,1661461000000,-75000000000,8636306000000,5562887000000,0,3073419000000,0,28964117000000,1414986259000000,1305799830000000,9468116000000,109757777000000,1135323913000000,0,7707000000,17387747000000,33854570000000,109186429000000,42428821000000,18173068000000,-5109000000,0,48502536000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37088774000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344658000000,0.0,87113000000
VCB,2020,1326230092000000,15095394000000,33139373000000,267969645000000,1954061000000,1991861000000,-37800000000,0,820545467000000,839788261000000,-19242794000000,156931097000000,42148831000000,115382544000000,-600278000000,2239006000000,0,726183000000,1587823000000,-75000000000,8539362000000,5411139000000,0,3128223000000,0,19816687000000,1326230092000000,1232135113000000,41176995000000,103583833000000,1032113567000000,52031000000,14679000000,21240197000000,33953811000000,94094979000000,42428821000000,14925803000000,5103000000,0,36650228000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37088774000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344658000000,0.0,85024000000
VCB,2019,1222813692000000,13778358000000,34684091000000,249470372000000,1801126000000,1889628000000,-88502000000,98312000000,724473254000000,734706891000000,-10233637000000,167529689000000,35699090000000,132271302000000,-440703000000,2464493000000,0,951670000000,1587823000000,-75000000000,6706503000000,4445709000000,0,2260794000000,0,21807494000000,1222813692000000,1141859355000000,92365806000000,73617085000000,928450869000000,0,20431000000,21383932000000,26021232000000,80954337000000,42428821000000,12186141000000,16361000000,113011000000,26126544000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37088774000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344658000000,0.0,83459000000
VCB,2018,1074026560000000,12792045000000,10845701000000,250228037000000,2654806000000,2725051000000,-70245000000,275983000000,621573249000000,631866758000000,-10293509000000,149296430000000,35321259000000,114251030000000,-275859000000,2476067000000,0,907647000000,1635418000000,-66998000000,6527466000000,4459292000000,0,2068174000000,0,17356776000000,1074026560000000,1011847181000000,90685315000000,76524079000000,801929115000000,0,25803000000,21461132000000,21221737000000,62179379000000,36322343000000,9445732000000,84450000000,119178000000,16138687000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35977686000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344657000000,0.0,68989000000
VCB,2017,1035293283000000,10102861000000,93615618000000,232973403000000,9669033000000,9750244000000,-81211000000,832354000000,535321404000000,543434460000000,-8113056000000,129952272000000,34688298000000,95404021000000,-140047000000,3552828000000,0,872001000000,2705966000000,-25139000000,6162361000000,4198053000000,0,1964308000000,0,13111149000000,1035293283000000,982735324000000,171385068000000,66942203000000,708519717000000,0,23153000000,18214504000000,17650679000000,52557959000000,36321931000000,7253682000000,94485000000,83285000000,8715252000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35977686000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344245000000,0.0,89324000000
VCB,2016,787935088000000,9692053000000,17382418000000,151845570000000,4233529000000,4271362000000,-37833000000,230658000000,452721687000000,460808440000000,-8086753000000,131771107000000,51931950000000,80019284000000,-180127000000,3627814000000,0,812743000000,2829418000000,-14347000000,5729637000000,3726000000000,0,2003637000000,0,10700615000000,787935088000000,739789532000000,54151413000000,72238405000000,590451344000000,0,0,10286376000000,12661994000000,48145556000000,36022846000000,5936667000000,84245000000,83285000000,5874992000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35977686000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45160000000,0.0,143521000000
VCB,2015,674394640000000,8519334000000,19715035000000,131527373000000,9925046000000,9941389000000,-16343000000,628000000,379113059000000,387722937000000,-8609878000000,107597495000000,42468041000000,65818278000000,-688824000000,3556750000000,0,763121000000,2829418000000,-35789000000,5039473000000,3385622000000,0,1653851000000,0,9400447000000,674394640000000,629222298000000,41479553000000,72135381000000,501162550000000,0,0,2479070000000,11965744000000,45172342000000,32420681000000,4941362000000,79969000000,89222000000,7475808000000,0,,,,,,,,,,,26650203000000,,,,,,,,,,,,,,,,,45160000000,,165300000000
