CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
VCB,2024,0,0,0,-1390508000000,30478021000000,59408139000000,0,-2835671000000,-1475986000000,160709000000,-1303327000000,0,-19963000000,55249178000000,372818730000000,0,428067908000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56572468000000,12447000000,747000000,0,0.0,0.0,0.0,0.0,-19963000000,0.0
VCB,2023,0,0,0,179388000000,43370999000000,-35738696000000,0,-2802834000000,-1008160000000,146088000000,-859407000000,0,-15627000000,-39416564000000,412235294000000,0,372818730000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-38541530000000,9435000000,0,0,0.0,0.0,0.0,0.0,-15627000000,0.0
VCB,2022,0,0,0,-351728000000,43769595000000,185960143000000,0,-2538654000000,-711567000000,106555000000,-392168000000,0,-3348022000000,179681299000000,232553995000000,0,412235294000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183421489000000,15753000000,0,201899000000,0.0,0.0,0.0,0.0,-3348022000000,0.0
VCB,2021,0,0,0,-526224000000,32489056000000,-53766010000000,0,-2786463000000,-1621433000000,93953000000,-1589936000000,0,-1886298000000,-60028707000000,292582702000000,0,232553995000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56552473000000,8456000000,-83502000000,13791000000,0.0,0.0,0.0,0.0,-1886298000000,0.0
VCB,2020,0,0,0,-628988000000,29528536000000,27469577000000,0,-1866142000000,-3001902000000,83959000000,-2305153000000,0,-2986115000000,20312167000000,272270535000000,0,292582702000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25603435000000,10569000000,0,605274000000,0.0,0.0,0.0,0.0,-2986115000000,0.0
VCB,2019,0,0,0,-115005000000,26469418000000,26510053000000,0,-1434221000000,-1005065000000,197571000000,-706447000000,6106477000000,3886994000000,28256379000000,244014156000000,0,272270535000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25075832000000,11589000000,0,95773000000,0.0,0.0,0.0,0.0,-2219483000000,0.0
VCB,2018,0,0,0,-42957000000,21540011000000,-58869162000000,0,-1365175000000,-1133639000000,129753000000,1629227000000,0,-2914981000000,-61520091000000,305534247000000,0,244014156000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60234337000000,6767000000,0,2628038000000,0.0,0.0,0.0,0.0,-2914981000000,0.0
VCB,2017,0,0,0,-90716000000,18282505000000,152747160000000,0,-1141469000000,-1139976000000,129685000000,-739457000000,0,-2896942000000,147969292000000,157564955000000,0,305534247000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151605691000000,7542000000,0,265688000000,0.0,0.0,0.0,0.0,-2896942000000,0.0
VCB,2016,0,0,0,-209799000000,14523881000000,-1760512000000,0,-1199774000000,-1272248000000,31672000000,-1222592000000,0,-2665020000000,-6847898000000,164412853000000,0,157564955000000,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2960286000000,7206000000,0,12540000000,0.0,0.0,0.0,0.0,-2665020000000,0.0
VCB,2015,0,0,0,67753000000,11486376000000,-6240446000000,0,-497726000000,-1194037000000,90255000000,-1196951000000,0,-2665020000000,-10600143000000,175012996000000,0,164412853000000,,,0,0,0,0,0,,,,,,,,-6738172000000,5254000000,-108464000000,12100000000,,,,,-2665020000000,
