CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
VCB,2024,93654841000000,-0.1338062540635705,33831396000000,0.024163354670753544,93654841000000,-38249106000000,55405735000000,13143005000000,-8006444000000,5136561000000,5291751000000,62123000000,3444000000,4468806000000,-2097103000000,2371703000000,307180000000,68578497000000,-23027362000000,45551135000000,-3314997000000,42236138000000,-8383011000000,-8526489000000,143478000000,-21731000000,33853127000000,33831396000000,6053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2023,108122278000000,0.227090737203604,33033203000000,0.10482583138025889,108122278000000,-54501409000000,53620869000000,12632739000000,-6853016000000,5779723000000,5660028000000,124217000000,0,4050144000000,-1777975000000,2272169000000,266456000000,67723462000000,-21914899000000,45808563000000,-4564876000000,41243687000000,-8189239000000,-8079401000000,-109838000000,-21245000000,33054448000000,33033203000000,5449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2022,88112700000000,0.247667209222197,29899014000000,0.3592560959759192,88112700000000,-34866222000000,53246478000000,12425007000000,-5585907000000,6839100000000,5768445000000,-115194000000,81595000000,2928339000000,-874378000000,2053961000000,208436000000,68082821000000,-21250512000000,46832309000000,-9464218000000,37368091000000,-7449037000000,-8406860000000,957823000000,-20040000000,29919054000000,29899014000000,5821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2021,70621957000000,0.02047280191669017,21996601000000,0.1921429864793889,70621957000000,-28349385000000,42272572000000,11286516000000,-3879443000000,7407073000000,4374820000000,137665000000,-85235000000,3100370000000,-707109000000,2393261000000,129810000000,56629966000000,-17665925000000,38964041000000,-11478198000000,27485843000000,-5469010000000,-4560128000000,-908882000000,-20232000000,22016833000000,21996601000000,4162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2020,69205134000000,0.022753664585566623,18451311000000,-0.007046669365298741,69205134000000,-32919659000000,36285475000000,10588163000000,-3980846000000,6607317000000,3906399000000,1810000000,-98000000,2544714000000,-744461000000,1800253000000,461385000000,49062541000000,-16038250000000,33024291000000,-9974730000000,23049561000000,-4577043000000,-5081068000000,504025000000,-21207000000,18472518000000,18451311000000,4470,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2019,67665496000000,0.21125510796756927,18582254000000,0.27227104603460406,67665496000000,-33127768000000,34537728000000,9005109000000,-4695663000000,4309446000000,3378274000000,145982000000,7040000000,3427795000000,-357970000000,3069825000000,245096000000,45693391000000,-15874542000000,29818849000000,-6607278000000,23211571000000,-4614227000000,-5010302000000,396075000000,-15090000000,18597344000000,18582254000000,4406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2018,55863951000000,0.21025654324222864,14605578000000,0.6065851434429611,55863951000000,-27455435000000,28408516000000,7022155000000,-3619663000000,3402492000000,2266429000000,250462000000,0,3515904000000,-281539000000,3234365000000,1716169000000,39278433000000,-13611094000000,25667339000000,-7398113000000,18269226000000,-3647164000000,-3648356000000,1192000000,-16484000000,14622062000000,14605578000000,3323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2017,46158768000000,0.2237793568735272,9091070000000,0.3221891770392004,46158768000000,-24221222000000,21937546000000,5378176000000,-2839967000000,2538209000000,2042417000000,476400000000,-19742000000,2355831000000,-256301000000,2099530000000,331761000000,29406121000000,-11866345000000,17539776000000,-6198415000000,11341361000000,-2230773000000,-2234378000000,3605000000,-19518000000,9110588000000,9091070000000,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2016,37718211000000,0.20272111659139047,6875771000000,0.29391497212608075,37718211000000,-19185461000000,18532750000000,4326483000000,-2219778000000,2106705000000,1850118000000,495768000000,-89416000000,2294727000000,-376349000000,1918378000000,71556000000,24885859000000,-9939012000000,14946847000000,-6368707000000,8578140000000,-1683093000000,-1683093000000,0,-19276000000,6895047000000,6875771000000,1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VCB,2015,31360729000000,0.11120036648917284,5313928000000,0.16367277095832838,31360729000000,-15907697000000,15453032000000,3557304000000,-1684656000000,1872648000000,1572574000000,197475000000,152354000000,2140550000000,-235271000000,1905279000000,48435000000,21201797000000,-8306249000000,12895548000000,-6068091000000,6827457000000,-1495390000000,-1495100000000,-290000000,-18139000000,5332067000000,5313928000000,1202,,,,,,,,,,,,,,,,
