Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
VCB,2024,5,0,0,0.04067670000182452,3.5597219775725324,0,0,,0,0,,0,0.0,0.0,0.6106118076043933,0.1860221493,0,0.0172499551,0,0.0,0.0,0,0,0,,10.481694902458639,362173116240000,5589091300,10.7052371188,1.8212480702,5.2811468913,6.4019324071,6053.112068503873,35579.9965192911,0
VCB,2023,5,0,0,0.046712662650999166,2.9524060042088465,0,0,,0,0,,0,0.0,0.0,0.6160512430337524,0.2198801657,0,0.01809503,0,0.0,0.0,0,0,0,,11.14831511176239,509725126560000,5589091300,16.7480098322,3.0907665458,7.5265662963,-13.2253474774,5910.299407705149,29507.2431541779,0
VCB,2022,5,0,0,0.058869373192746405,2.426979246559313,0,0,,0,0,,0,0.0,0.0,0.5615209704574263,0.2444042542,0,0.018532607,0,0.0,0.0,0,0,0,,13.371673572444056,380021082980000,4732516600,14.2824498041,2.8033898286,5.5817470163,2.0718460255,6317.783227638335,28643.8936104313,0
VCB,2021,5,0,0,0.07909688117009486,1.9535631801605031,0,0,,0,0,,0,0.0,0.0,0.5203516123882881,0.2159223357,0,0.0160086275,0,0.0,0.0,0,0,0,,12.95936016920198,296710192000000,3708877400,15.0778008124,2.7213558655,5.2308096481,-5.2466351383,5930.797550762934,29397.1108346693,0
VCB,2020,5,0,0,0.09075257883845216,1.6835470130850763,0,0,,0,0,,0,0.0,0.0,0.5085040501743466,0.2111410819,0,0.0144942236,0,0.0,0.0152284264,0,0,0,,14.094589382925523,292259539120000,3708877400,18.187341558,3.1088147965,5.956877348,11.414856605,4974.904535803745,25347.2802848646,0
VCB,2019,5,0,0,0.08284303532743403,1.44843469546481,0,0,,0,0,,0,0.0,0.0,0.5380276896036705,0.2589917833,0,0.0161323827,0,0.0,0.0081218274,0,0,0,,15.10498062630048,365324423900000,3708877400,22.7700180546,4.5213685717,7.9886590908,14.5687857496,5010.20982791181,21785.4391735893,0
VCB,2018,5,0,0,0.10497798635139151,1.112513217001036,0,0,,0,0,,0,0.0,0.0,0.514126749880212,0.2548788782,0,0.0138642435,0,0.0,0.0081218274,0,0,0,,17.27303452162171,354380207100000,3597768600,29.5428683626,5.7056509724,9.0222592918,-5.8833586414,4059.621288595381,17263.5866575744,0
VCB,2017,5,0,0,0.11724886424908547,0.9403668062702677,0,0,,0,0,,0,0.0,0.0,0.4144068803320116,0.1809388282,0,0.0099939077,0,0.0,0.0081218274,0,0,0,,19.698125701570717,354380207100000,3597768600,49.2365008315,6.7541342957,12.0512395055,2.3375125615,2526.863456421294,14583.660272092,0
VCB,2016,5,0,0,0.11900656002394074,0.8614201082623152,0,0,,0,0,,0,0.0,0.0,0.37100651549284375,0.1477733028,0,0.0094300853,0,0.0,0.0081218274,0,0,0,,16.365686752064924,354380207100000,3597768600,64.8244341585,7.3826079894,14.2402240204,-119.7114762222,1911.1209653672556,13342.1685319061,0
