time,open,high,low,close,volume
2023-09-11 10:00:00,54.5,54.6,54.2,54.2,2357500
2023-09-11 11:00:00,54.3,54.3,54.0,54.1,453100
2023-09-11 13:00:00,54.1,54.3,53.6,53.8,2372300
2023-09-11 14:00:00,53.8,53.9,52.5,52.5,3290700
2023-09-12 10:00:00,52.5,52.8,52.4,52.7,2657500
2023-09-12 11:00:00,52.7,52.7,52.4,52.5,643800
2023-09-12 13:00:00,52.5,52.8,52.4,52.6,2111300
2023-09-12 14:00:00,52.7,53.5,52.6,53.5,2005800
2023-09-13 10:00:00,53.2,53.3,52.7,53.0,2905900
2023-09-13 11:00:00,53.0,53.0,52.7,52.9,886600
2023-09-13 13:00:00,52.9,53.1,52.6,52.7,3461300
2023-09-13 14:00:00,52.7,52.8,52.1,52.1,4697100
2023-09-14 10:00:00,51.7,51.8,50.9,51.3,3416600
2023-09-14 11:00:00,51.3,51.3,50.9,51.0,895200
2023-09-14 13:00:00,51.0,51.0,50.0,50.3,3169600
2023-09-14 14:00:00,50.3,50.7,49.0,49.0,4159500
2023-09-15 10:00:00,50.0,50.0,49.4,49.5,2789900
2023-09-15 11:00:00,49.45,49.65,49.4,49.55,565000
2023-09-15 13:00:00,49.6,49.95,49.45,49.9,2097300
2023-09-15 14:00:00,49.9,50.5,49.6,50.5,5063200
2023-09-18 10:00:00,49.85,49.85,49.55,49.6,1404300
2023-09-18 11:00:00,49.6,49.6,49.1,49.2,558500
2023-09-18 13:00:00,49.25,49.25,48.95,49.15,1804400
2023-09-18 14:00:00,49.15,49.2,48.7,48.95,1333500
2023-09-19 10:00:00,50.2,50.3,49.95,50.0,3273600
2023-09-19 11:00:00,50.0,50.1,49.9,50.1,517600
2023-09-19 13:00:00,50.0,50.3,49.8,49.8,2127800
2023-09-19 14:00:00,49.8,50.0,49.1,49.35,1604700
2023-09-20 10:00:00,49.8,49.95,49.7,49.8,1274200
2023-09-20 11:00:00,49.8,49.95,49.75,49.9,288100
2023-09-20 13:00:00,49.9,50.5,49.9,50.1,1619900
2023-09-20 14:00:00,50.1,50.9,50.0,50.7,1333900
2023-09-21 10:00:00,51.1,51.2,50.6,50.7,1981700
2023-09-21 11:00:00,50.7,50.9,50.6,50.7,220600
2023-09-21 13:00:00,50.7,50.8,50.4,50.6,1340200
2023-09-21 14:00:00,50.6,50.6,50.0,50.2,1645100
2023-09-22 10:00:00,49.25,49.3,48.0,48.3,3249100
2023-09-22 11:00:00,48.3,48.55,48.25,48.3,602000
2023-09-22 13:00:00,48.3,48.45,47.85,48.25,2615900
2023-09-22 14:00:00,48.25,48.4,48.0,48.0,1495300
2023-09-25 10:00:00,48.4,48.75,48.3,48.55,1107900
2023-09-25 11:00:00,48.5,48.6,48.25,48.6,328400
2023-09-25 13:00:00,48.5,48.6,47.5,48.0,1329400
2023-09-25 14:00:00,47.9,48.0,46.0,47.0,2552300
2023-09-26 10:00:00,46.5,47.25,46.5,46.8,1583800
2023-09-26 11:00:00,46.8,47.0,46.15,46.2,295100
2023-09-26 13:00:00,46.2,47.0,46.1,47.0,917400
2023-09-26 14:00:00,47.0,47.2,45.0,45.0,1276000
2023-09-27 10:00:00,44.65,44.7,44.0,44.15,2403100
2023-09-27 11:00:00,44.2,44.3,43.85,44.15,830500
2023-09-27 13:00:00,44.15,44.6,44.0,44.05,1843100
2023-09-27 14:00:00,44.1,45.1,44.1,45.1,1424600
2023-09-28 10:00:00,45.0,45.05,44.05,44.3,1552700
2023-09-28 11:00:00,44.3,44.35,44.15,44.2,249500
2023-09-28 13:00:00,44.25,45.1,44.2,44.95,830300
2023-09-28 14:00:00,44.95,45.0,44.5,44.5,781900
2023-09-29 10:00:00,46.15,47.5,46.15,46.5,4178900
2023-09-29 11:00:00,46.5,46.55,46.3,46.3,257500
2023-09-29 13:00:00,46.35,46.4,45.9,46.2,1445900
2023-09-29 14:00:00,46.25,46.3,45.5,45.5,1407000
2023-10-02 10:00:00,45.8,46.1,45.8,45.9,756800
2023-10-02 11:00:00,45.9,45.9,45.85,45.9,144900
2023-10-02 13:00:00,45.9,46.2,45.8,45.9,543200
2023-10-02 14:00:00,45.9,46.0,45.75,45.75,375100
2023-10-03 10:00:00,45.05,45.2,44.9,45.05,1211700
2023-10-03 11:00:00,45.05,45.1,44.7,44.75,496500
2023-10-03 13:00:00,44.85,45.25,44.3,45.0,1844600
2023-10-03 14:00:00,44.95,44.95,44.05,44.05,1107500
2023-10-04 10:00:00,43.75,44.45,43.7,44.3,1079400
2023-10-04 11:00:00,44.3,45.4,44.2,45.0,482900
2023-10-04 13:00:00,45.0,45.25,44.8,45.0,876600
2023-10-04 14:00:00,45.0,45.1,44.5,44.6,1030400
2023-10-05 10:00:00,45.1,45.1,44.75,45.05,823000
2023-10-05 11:00:00,45.0,45.1,44.9,44.95,233700
2023-10-05 13:00:00,44.9,45.0,44.5,44.65,634400
2023-10-05 14:00:00,44.65,44.9,44.25,44.55,1010400
2023-10-06 10:00:00,44.95,44.95,44.65,44.7,614900
2023-10-06 11:00:00,44.7,44.85,44.55,44.8,159300
2023-10-06 13:00:00,44.8,46.0,44.65,45.45,1503400
2023-10-06 14:00:00,45.4,46.15,45.4,46.05,1154200
2023-10-09 10:00:00,46.55,46.95,46.5,46.55,1542200
2023-10-09 11:00:00,46.55,47.2,46.5,46.9,626600
2023-10-09 13:00:00,46.9,46.9,46.45,46.55,655600
2023-10-09 14:00:00,46.55,47.5,46.55,47.0,1036900
2023-10-10 10:00:00,47.35,48.0,47.05,47.65,2004000
2023-10-10 11:00:00,47.6,47.65,47.3,47.4,160600
2023-10-10 13:00:00,47.4,47.4,46.9,47.0,822200
2023-10-10 14:00:00,47.0,48.0,47.0,48.0,1847600
2023-10-11 10:00:00,47.6,47.6,47.2,47.25,936100
2023-10-11 11:00:00,47.2,47.25,47.05,47.1,263100
2023-10-11 13:00:00,47.05,47.2,46.85,46.95,1008000
2023-10-11 14:00:00,46.95,47.4,46.85,47.4,711900
2023-10-12 10:00:00,47.7,47.8,47.55,47.65,941100
2023-10-12 11:00:00,47.65,47.7,47.6,47.65,148900
2023-10-12 13:00:00,47.6,47.75,47.35,47.45,630100
2023-10-12 14:00:00,47.5,48.0,47.4,47.55,730400
2023-10-13 10:00:00,47.1,47.15,46.85,46.9,928400
2023-10-13 11:00:00,46.9,47.0,46.9,46.9,257200
2023-10-13 13:00:00,46.9,46.9,46.5,46.65,713400
2023-10-13 14:00:00,46.65,47.05,46.65,46.9,678000
2023-10-16 10:00:00,46.6,46.6,46.35,46.4,702000
2023-10-16 11:00:00,46.4,46.5,46.2,46.4,276100
2023-10-16 13:00:00,46.4,46.4,45.9,46.0,951000
2023-10-16 14:00:00,46.0,46.0,45.55,45.55,1342300
2023-10-17 10:00:00,45.6,45.8,45.55,45.75,491300
2023-10-17 11:00:00,45.7,45.75,45.6,45.65,163900
2023-10-17 13:00:00,45.65,45.85,45.65,45.75,547000
2023-10-17 14:00:00,45.75,45.75,44.5,44.5,1196300
2023-10-18 10:00:00,44.55,44.6,44.35,44.5,941400
2023-10-18 11:00:00,44.5,44.75,44.5,44.75,262200
2023-10-18 13:00:00,44.75,44.75,44.3,44.35,778300
2023-10-18 14:00:00,44.35,44.4,43.0,43.3,1874300
2023-10-19 10:00:00,43.05,43.1,42.55,42.65,1172500
2023-10-19 11:00:00,42.65,42.9,42.6,42.75,282300
2023-10-19 13:00:00,42.75,42.85,42.55,42.8,906700
2023-10-19 14:00:00,42.8,43.0,42.5,42.5,1372000
2023-10-20 10:00:00,42.65,42.65,42.0,42.1,753300
2023-10-20 11:00:00,42.1,42.15,41.7,42.0,374800
2023-10-20 13:00:00,42.0,43.95,41.95,43.95,978500
2023-10-20 14:00:00,43.95,44.8,43.9,44.5,1083800
2023-10-23 10:00:00,44.6,44.6,44.25,44.3,1486900
2023-10-23 11:00:00,44.3,44.35,44.05,44.2,249500
2023-10-23 13:00:00,44.05,45.3,44.05,44.55,2790600
2023-10-23 14:00:00,44.55,44.9,44.45,44.5,1158400
2023-10-24 10:00:00,44.5,44.55,44.0,44.1,1042600
2023-10-24 11:00:00,44.1,44.25,44.0,44.2,202300
2023-10-24 13:00:00,44.25,44.4,44.1,44.25,1026800
