CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VHM,2024,285478928000000,28780123000000,5391872000000,168405984000000,54696048000000,28204901000000,278730432000000,10896805000000,14622184000000,16916463000000,12519070000000,0,45011920000000,564209360000000,343465385000000,278532295000000,64933090000000,220743975000000,220743975000000,0,167205815000000,0,18108334000000,564209360000000,23593399000000,8429883000000,54753923000000,25843774000000,0,41074120000000,41074120000000,0,47015689000000,40286424000000,34276497000000,481878000000,2875918000000,12294236000000,96773515000000,107670320000000
VHM,2023,242340589000000,14103181000000,3833948000000,132871090000000,55317712000000,36214658000000,202290086000000,1050800000000,11671412000000,17036905000000,7760265000000,0,71231282000000,444630675000000,261994369000000,211073231000000,50921138000000,182636306000000,182636306000000,0,133391779000000,0,3334513000000,444630675000000,17430700000000,4944650000000,55371865000000,33952484000000,0,43543675000000,43543675000000,0,38393923000000,35137334000000,18289641000000,636151000000,1906934000000,7624903000000,32749318000000,33800118000000
VHM,2022,196535229000000,10816783000000,6296725000000,96208736000000,64362407000000,18850578000000,165277418000000,1568000000000,9339806000000,15523727000000,7491325000000,0,59441998000000,361812647000000,213290804000000,187762383000000,25528421000000,148521843000000,148521843000000,0,99933635000000,0,3308568000000,361812647000000,14830404000000,5039256000000,64414043000000,13034620000000,0,43543675000000,43543675000000,0,20876302000000,61962655000000,15330097000000,1203909000000,1954686000000,7625468000000,21229226000000,22797226000000
VHM,2021,94437005000000,4625760000000,4979444000000,37750127000000,28578815000000,18502859000000,136079466000000,8937663000000,7497824000000,12078894000000,10940392000000,0,45574327000000,230516471000000,99109060000000,75400658000000,23708402000000,131407411000000,131407411000000,0,79413446000000,0,6665912000000,230516471000000,8580390000000,3921463000000,28645955000000,16496169000000,0,43543675000000,43543675000000,0,19667987000000,8865372000000,250820000000,1410329000000,1725206000000,7263751000000,6017480000000,14955143000000
VHM,2020,102312109000000,13713651000000,2054219000000,34592470000000,42983662000000,8968107000000,113014268000000,4130000000000,5906615000000,8699597000000,9755842000000,0,45206495000000,215326377000000,126196462000000,103385277000000,22811185000000,89129915000000,89129915000000,0,56259405000000,0,3429404000000,215326377000000,8504424000000,8272493000000,43021241000000,6832475000000,0,33495139000000,33495139000000,0,13957735000000,26968735000000,10997726000000,2679239000000,2287994000000,3969035000000,6954368000000,11084368000000
VHM,2019,139555054000000,13332299000000,360611000000,47467976000000,60296848000000,18097320000000,57685974000000,7863900000000,690347000000,6626630000000,773312000000,0,13268162000000,197241028000000,132525985000000,121556854000000,10969131000000,64715043000000,64715043000000,0,26039678000000,0,8618886000000,197241028000000,8802736000000,16507454000000,60306616000000,15292913000000,0,33495139000000,33495139000000,0,8343025000000,40245699000000,18162354000000,954181000000,2511706000000,558632000000,251096000000,8114996000000
VHM,2018,91202543545647,3515372453072,1009404569232,43356143612198,36858428958296,6463193952849,28486212922051,0,128187004268,5828905860211,478312164507,0,3473984731387,119688756467698,71543881480730,42872273594509,28671607886221,48144874986968,48144874986968,0,7626959265966,0,4911507173368,119688756467698,2552553752942,4527857439663,37065228524079,5244128187792,0,33495139180000,33495139180000,0,25505722594751,14206623474438,6402913383759,1080783375029,508583153143,378632164507,213789123875,213789123875
VHM,2017,44421050167080,1561577770818,0,24774715203806,17006259676992,1078497515464,6882768858975,3257497661,1355894476327,163038247202,1754972107124,0,1059070162884,51303819026055,41180033529612,34223057193372,6956976336240,10123785496443,10123785496443,0,5003298133184,0,3219605214270,51303819026055,1695194896147,9477028513431,17265369555979,206578466985,0,2000000000000,2000000000000,0,6627686696069,16845744264404,8699590490328,626811318467,392514863581,1695528410000,84480824736,87738322397
VHM,2016,16491882437206,2802422910160,0,4615635775596,8475032237345,598791514105,21028863345245,3989915115,3642554098283,1538049792026,10541691385994,0,752600153938,37520745782451,27971803635341,26828479016702,1143324618639,9548942147110,9548942147110,0,2970805560320,0,7346759266096,37520745782451,535598217891,3122655962694,8483419117083,96816638037,0,2000000000000,2000000000000,0,0,10663036084145,9156627147612,696770889568,47574090345,1645613852400,96396545617,100386460732
VHM,2015,12376608929832,556711486785,418092189939,3906109002838,6146477243822,1349219006448,12930029637409,7559839165,2460136369877,224400932227,8858115216559,0,482506245749,25306638567241,18178088642129,17030537199124,1147551443005,7128549925112,7128549925112,0,1446491007481,0,3723275195843,25306638567241,1031249668156,2207939790100,6147666154513,883765549422,0,2000000000000,2000000000000,0,1084796155561,7960185281623,3887363803719,430224397773,46753377527,1690496960200,10945437166,18505276331
