CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
VHM,2024,40847949000000,1800478000000,205980000000,245798000000,0,-24574340000000,7589251000000,0,26115116000000,-95391366000000,7568800000000,59350686000000,-674134000000,-6976847000000,-10891805000000,0,0,-22399550000000,-10645071000000,2469768000000,-17790617000000,8289318000000,-38422610000000,65870603000000,15613124000000,25384515000000,22000000000,-10485188000000,80497407000000,-57737006000000,0,-605236000000,0,11691977000000,14676942000000,14103181000000,0,28780123000000
VHM,2023,43310285000000,1436293000000,153498000000,156755000000,0,-17006296000000,3052805000000,0,31103340000000,-48765045000000,-977614000000,24225002000000,3567140000000,-4176671000000,-5812208000000,0,0,1516891000000,-9987878000000,2774668000000,-33625022000000,33769224000000,-46176139000000,25936626000000,8676566000000,-18631955000000,5700000000,0,53107991000000,-32712229000000,0,0,0,20401462000000,3286398000000,10816783000000,0,14103181000000
VHM,2022,38642699000000,1216548000000,1114361000000,-3474000000,0,-13710128000000,2075514000000,0,29335520000000,-49977318000000,-30770024000000,94860621000000,-3998609000000,-3768556000000,-4135049000000,0,0,31520190000000,-18299050000000,48256000000,-7989295000000,10476298000000,-54766770000000,38362523000000,5339217000000,-26828821000000,0,0,24760212000000,-13876813000000,0,-9383745000000,0,1499654000000,6191023000000,4625760000000,0,10816783000000
VHM,2021,48182977000000,1087692000000,519326000000,-5785000000,0,-7761492000000,2348161000000,0,44370879000000,-7504351000000,15113996000000,-21599280000000,796778000000,-2386255000000,-9751018000000,0,0,17073519000000,-17897772000000,46313000000,-16805425000000,12837606000000,-11582408000000,7582472000000,3822950000000,-21996264000000,6514952000000,0,13819877000000,-19301251000000,0,-5198724000000,0,-4165146000000,-9087891000000,13713651000000,0,4625760000000
VHM,2020,36516837000000,541936000000,938172000000,681000000,0,-20212609000000,3001572000000,0,20786589000000,5598479000000,13823705000000,-7057322000000,410876000000,-2423545000000,-6256733000000,0,0,24882049000000,-3499515000000,430202000000,-4826147000000,16411373000000,-53487656000000,21317425000000,1234721000000,-22419597000000,62000000000,-848308000000,19662865000000,-20739963000000,0,-217694000000,0,-2081100000000,381352000000,13332299000000,0,13713651000000
VHM,2019,29745694000000,351846000000,-197023000000,-899000000,0,-9115700000000,2377698000000,0,23161616000000,-3032812000000,-7354995000000,51451474000000,-2885248000000,-3309171000000,-6102455000000,0,0,51928409000000,-3846972000000,205848000000,-14077010000000,30762019000000,-61164624000000,19568901000000,1232061000000,-27319777000000,0,-5549929000000,6847057000000,-12402281000000,0,-3686552000000,0,-14791705000000,9816927000000,3515372000000,0,13332299000000
VHM,2018,19718734148309,261531599917,-27999828381,-1413212829,0,-14478398435371,2382621895215,0,7855076166860,5329600918213,11297368866011,-20385215510655,427513271356,-2579916793715,-3407626140888,0,0,-1463199222818,-750554985693,1618544881294,-13939641731353,19995489401601,-52277281389717,26397779889480,1113712586604,-17841951347784,12240978700000,0,100191075763433,-90227832170577,0,-945277040000,0,21258945252856,1953794682254,1561577770818,0,3515372453072
VHM,2017,2108782048600,410151852498,278527967484,15599813801,0,176968048334,901949220589,0,3891978951306,-2625640190299,250399794809,3408875999083,-696801595134,-561183467403,-871578330632,0,0,2796051161730,-2405312393577,33942874366,-10670000000000,4692359866717,-3469299732640,2028086730055,331260739350,-9458961915729,28111000000,0,31231831086884,-25837875938367,0,0,0,5422066148517,-1240844605482,2802422910160,-533860,1561577770818
VHM,2016,2794905785692,355233525481,20772079308,18389448,0,-746694602847,384720077362,0,2808955254444,1638891342965,955820656746,-272903519333,95352984466,-140484923411,-344271766727,0,0,4741360029150,-2222134748949,75084489463,-489200738202,2604904018627,-15923861346083,5637411141821,197068616393,-10120728566930,3393212365000,0,11161421565443,-6589869040550,0,-339697297800,0,7625067592093,2245699054313,556711486785,12369062,2802422910160
VHM,2015,978470962016,178916834516,3634941295,-400858218,0,-250810315544,265013754574,0,1174825318639,1093796448747,-764927510981,8670898632758,-485405661732,-601836360332,-265156018040,0,0,8822194849059,-738033080781,0,-9206540083992,2396279238678,-1005945213284,3000000000,50922180818,-8500316958561,3360734490000,0,9455999433335,-12548137026536,0,-339697297800,0,-71100401001,250777489497,305945516262,-11518974,556711486785
