CP,Năm,Tăng trưởng doanh thu (%),Doanh thu (đồng),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác,LN trước thuế,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Lợi nhuận thuần,Cổ đông thiểu số,Cổ đông của Công ty mẹ
VHM,2024,-0.01191169415347079,102323186000000,31801258000000,-0.04705069963189444,26844293000000,-7589251000000,102323186000000,0,102323186000000,-69355949000000,32967237000000,-10487365000000,3211000000,-3791457000000,-4593011000000,40942908000000,1163593000000,0,-1258552000000,-94959000000,40847949000000,-5667211000000,-108052000000,35072686000000,3271428000000,31801258000000
VHM,2023,0.659759603233736,103556722000000,33371406000000,0.15748873195601562,19954131000000,-3052805000000,103556722000000,0,103556722000000,-67850123000000,35706599000000,-3870289000000,10699000000,-3662804000000,-4092923000000,44045413000000,784716000000,0,-1519844000000,-735128000000,43310285000000,-9232770000000,-544639000000,33532876000000,161470000000,33371406000000
VHM,2022,-0.26584505380828843,62392603000000,28830869000000,-0.257406458313683,16690167000000,-2075514000000,62392603000000,0,62392603000000,-31696276000000,30696327000000,-4394119000000,56384000000,-2431780000000,-2643927000000,37973052000000,1133744000000,0,-464097000000,669647000000,38642699000000,-9820841000000,339732000000,29161590000000,330721000000,28830869000000
VHM,2021,0.18783342977611964,84985606000000,38824562000000,0.41947879587353865,7994896000000,-2348161000000,84985606000000,0,84985606000000,-36526042000000,48459564000000,-2785675000000,53759000000,-2289008000000,-3768594000000,47664942000000,616722000000,0,-98687000000,518035000000,48182977000000,-8978371000000,-256128000000,38948478000000,123916000000,38824562000000
VHM,2020,0.3858413741463733,71546737000000,27351280000000,0.2576818463064234,20244792000000,-3001572000000,71546737000000,0,71546737000000,-45610660000000,25936077000000,-4019261000000,18526000000,-2680833000000,-2193460000000,37305841000000,221432000000,0,-1010436000000,-789004000000,36516837000000,-8778070000000,467773000000,28206540000000,855260000000,27351280000000
VHM,2019,0.33526000351942314,51626931000000,21747376000000,0.5224507194136551,9045787000000,-2377698000000,51626931000000,0,51626931000000,-24171323000000,27455608000000,-2548827000000,0,-2080673000000,-2156421000000,29715474000000,185728000000,0,-155508000000,30220000000,29745694000000,-5766161000000,339567000000,24319100000000,2571724000000,21747376000000
VHM,2018,1.5275242598124095,38664328193703,14284453166652,9.13339041097502,14565046792984,-2382621895215,38664328193703,0,38664328193703,-28603257862200,10061070331503,-2456954093023,191238076,-1381104519276,-1062825660762,19725424089502,100932140457,0,-107622081650,-6689941193,19718734148309,-4630060569450,-312354333423,14776319245436,491866078784,14284453166652
VHM,2017,0.3637157448298198,15297312397141,1409642043514,-0.14491968683361778,964268046313,-901949220589,15297312397141,0,15297312397141,-10130622531207,5166689865934,-1652417155368,-88152941732,-1585809553121,-452513058995,2352065203031,91806843120,0,-335089997551,-243283154431,2108782048600,-574855234140,31562245294,1565489059754,155847016240,1409642043514
VHM,2016,1.2797863021070461,11217376095522,1648549290410,1.0734500334125252,822034511730,-384720077362,11217376095522,0,11217376095522,-6763559185952,4453816909570,-946663181685,504832648035,-1298335291291,-883874735719,2651810860640,181549283406,0,-38454358354,143094925052,2794905785692,-585985392868,-1621267702,2207299125122,558749834712,1648549290410
VHM,2015,-0.2445096995511027,4920362967860,795075484745,0.594115414572044,89464728244,-265013754574,4920362967860,0,4920362967860,-3286014581026,1634348386834,-264363634014,161345587300,-416891013798,-499525076277,704378978289,274581279701,0,-489295974,274091983727,978470962016,-192111071670,5528470449,791888360795,-3187123950,795075484745
VHM,2014,-0.07248072965441839,6512807596519,498756537624,-0.5509744243201001,95390646088,-404481592643,6512807596519,0,6512807596519,-4841982250300,1670825346219,-481698379703,0,-280542326968,-301639697766,702335587870,23894927424,29721352435,-128609419277,-104714491853,627342448452,-127139954737,-1807630446,498394863269,-361674355,498756537624
VHM,2013,,7021749094326,1110753072069,,100714215521,-1494962586,7021749094326,0,7021749094326,-5198011916349,1823737177977,-6821387006,0,-202310092969,-210827391282,1504492522241,22896274802,0,-471768204,22424506598,1526917028839,-414174613577,-1989343193,1110753072069,0,1110753072069
