Meta,Meta,Meta,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu cơ cấu nguồn vốn,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu hiệu quả hoạt động,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu khả năng sinh lợi,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu thanh khoản,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá,Chỉ tiêu định giá
CP,Năm,Kỳ,(Vay NH+DH)/VCSH,Nợ/VCSH,TSCĐ / Vốn CSH,Vốn CSH/Vốn điều lệ,Vòng quay tài sản,Vòng quay TSCĐ,Số ngày thu tiền bình quân,Số ngày tồn kho bình quân,Số ngày thanh toán bình quân,Chu kỳ tiền,Vòng quay hàng tồn kho,Biên EBIT (%),Biên lợi nhuận gộp (%),Biên lợi nhuận ròng (%),ROE (%),ROIC (%),ROA (%),EBITDA (Tỷ đồng),EBIT (Tỷ đồng),Tỷ suất cổ tức (%),Chỉ số thanh toán hiện thời,Chỉ số thanh toán tiền mặt,Chỉ số thanh toán nhanh,Khả năng chi trả lãi vay,Đòn bẩy tài chính,Vốn hóa (Tỷ đồng),Số CP lưu hành (Triệu CP),P/E,P/B,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA
VHM,2024,5,0.5812519912,1.5559445507,0.0662404670387946,5.374283728660009,0.2028531431,7.7831260509,69.2395676082721,289.7798472918,106.3390516796,465.3584665796721,1.259576894,0.2402463211026287,0.3221873583959749,0.31079229687003684,0.1665260075,0.0813901518,0.0630451943,26383247000000,24582769000000,0.0,1.0249401349,0.1163540946,0.7209733327,-3.2391561433401,2.555944550694985,210299494400000,4107412000,6.6129300419,1.037820856,2.0552477168,-9.3885588952,7742.407627966223,49334.1405731882,9.9613045127
VHM,2023,5,0.5205837168,1.4345141705,0.06390521280035089,4.446505629874475,0.2568233109,9.8572792877,60.90080313663945,322.1943784833,95.442587628,478.5377692479395,1.1328565126,0.26990881383827503,0.3448023296836298,0.322252436688755,0.2056693774,0.1167929433,0.0827619377,29387165000000,27950872000000,0.0,1.1481351181,0.0668165306,0.6963188572,-9.155799993776215,2.4345141704738595,174174700000000,4354367500,5.2192796432,0.971405233,1.6819255828,114.8234777581,7663.892861592412,41177.4598721858,7.3758419024
VHM,2022,5,0.3843387602,1.4360904746,0.06288506667669078,3.6159470453746088,0.2106687012,7.4110908721,88.60676056339666,535.8184549819,158.5579715264,782.9831870716966,0.6812008743,0.4106355363952358,0.4919866382237651,0.4620879337250924,0.213597771,0.1386935734,0.0973474649,26837168000000,25620620000000,0.0,1.0467231288,0.0701404072,0.5825366309,-12.34422894762454,2.436090474584267,188108676000000,4354367500,6.524557966,1.2953958652,3.014919509,6.0673344362,6621.138202046566,33348.8790277807,7.9553212172
VHM,2021,5,0.30125237,0.7542121045,0.057057847369049834,3.1992751365587138,0.3812357039,12.6802182471,55.667366424013316,358.0804969233,119.455356058,533.2032194053133,1.0193238759,0.4989311013443853,0.5702090775230808,0.4568369142416894,0.3520906207,0.2802023507,0.1741625426,43489654000000,42401962000000,0.0416666667,1.2524692424,0.0922049248,0.59286537,-18.057519054272685,1.7542121045212586,209009640000000,4354367500,5.3834384532,1.6755421546,2.459353411,12.2417434859,8916.234562195314,28647.4439743545,5.1576102905
VHM,2020,5,0.43658962309999994,1.4158710013,0.06626972549003328,2.169977467884909,0.3468365951,21.6908137412,49.703870352565104,413.44137319,69.9412146196,533.0864581621651,0.8828337551,0.2943779812068858,0.36250537882671013,0.3822854982191571,0.3555694038,0.1846142314,0.1325906006,21603720000000,21061784000000,0.0182926829,0.9896197212,0.1361216356,0.4707192785,-7.016917801738556,2.4158710013355225,274660139800000,3349513900,10.0419483037,3.2048833384,3.8388912104,11.0384856086,8165.746080349151,25585.954726147,13.2339222041
VHM,2019,5,0.5384900076,2.0478389391,0.010667488855720919,1.575567363025119,0.3257941256,126.144865652,56.40461582845466,735.1836565026,64.7998727016,856.3881450326546,0.496474584,0.4497364757165209,0.5318078659372567,0.4212409217197125,0.3853870601,0.2545319731,0.1372378177,23570360000000,23218514000000,0.0,1.1480640491,0.1096795332,0.5001797348,-9.765123241050798,3.0478389390856155,261931986980000,3349513900,12.0443030451,4.669339238,5.0735533162,5.0440980578,6492.69614913376,16747.5516372689,11.6716531686
VHM,2018,5,1.1925331323,1.4860124053,0.002662526474576952,1.1721462307672605,0.452234,52.105398119,90.10782125428081,346.6505178319,21.8817138869,458.6400529730808,1.0529336644,0.19700691845217558,0.2602158320480421,0.36944785630539967,0.4902962604,0.0951506069,0.1670768819,7878671751382,7617140151465,0.0127877238,2.1273083021,0.0819964084,1.0932827241,-3.1969571700664887,2.4860124052683843,261931988387600,3349513918,18.3368579344,6.0585608208,6.7745128552,-179.0132090715,4264.63466531325,12907.355775197,36.8495174154
VHM,2017,5,2.1686516264,4.0676517242,0.13393156905619885,0.24647601668846367,0.3444387806,6.1208241593,147.59296053881798,463.8563837867,46.6880404325,658.137384758018,0.7868814848,0.204504371264764,0.33775147763208596,0.09214965393381493,0.1433092624,0.12291696,0.0317399144,3538519106316,3128367253818,0.057544757,1.2979860308,0.045629406,0.7695482267,-3.4684516405203856,5.0676517241579875,15640000000000,200000000,11.0950152714,2.2652942653,1.0224018177,5.5936029405,7048.21021757,34520.901410865,8.3101711569
VHM,2016,5,0.9589153444,2.9293091532,0.3814615317766297,0.23248074792133758,0.3570855674,3.676206799,8.837707167561339,394.7881564506,67.2948710537,470.9207346718614,0.924546479,0.20250786487107536,0.3970462318142273,0.14696389568930512,0.1976975055,0.1214401362,0.0524786861,2626840408041,2271606882560,0.0,0.6147155203,0.1044570178,0.2764994125,-5.904570663783022,3.9293091532454936,15640000000000,200000000,9.4871291329,7.1020441285,1.3942654563,3.298631596,8242.74645205,11010.91440507,8.3728741838
