CP,Năm,TỔNG CỘNG TÀI SẢN (đồng),Tiền và tương đương tiền (đồng),Tiền gửi tại ngân hàng nhà nước Việt Nam,Tiền gửi tại các TCTD khác và cho vay các TCTD khác,Chứng khoán kinh doanh,_Chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Các công cụ tài chính phái sinh và khoản nợ tài chính khác,Cho vay khách hàng,_Cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,Chứng khoán đầu tư,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư giữ đến ngày đáo hạn,Dự phòng giảm giá chứng khoán đầu tư,Đầu tư dài hạn (đồng),Đầu tư vào công ty con,Đầu tư vào công ty liên doanh,Tài sản dài hạn khác (đồng),Dự phòng giảm giá đầu tư dài hạn,Tài sản cố định (đồng),Tài sản cố định hữu hình,Tài sản cố định thuê tài chính,Tài sản cố định vô hình,Giá trị ròng tài sản đầu tư,Tài sản Có khác,TỔNG CỘNG NGUỒN VỐN (đồng),NỢ PHẢI TRẢ (đồng),Các khoản nợ chính phủ và NHNN Việt Nam,Tiền gửi và vay các Tổ chức tín dụng khác,Tiền gửi của khách hàng,_Các công cụ tài chính phái sinh và khoản nợ tài chính khác,"Vốn tài trợ, uỷ thác đầu tư của CP và các tổ chức TD khác",Phát hành giấy tờ có giá,Các khoản nợ khác,VỐN CHỦ SỞ HỮU (đồng),Vốn của tổ chức tín dụng,Quỹ của tổ chức tín dụng,Chênh lệch tỷ giá hối đoái,Chênh lệch đánh giá lại tài sản,Lãi chưa phân phối (đồng),Cổ đông thiểu số,TÀI SẢN NGẮN HẠN (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),TÀI SẢN DÀI HẠN (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Vốn và các quỹ (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Nợ dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Nợ ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Phải thu dài hạn khác (đồng),Phải thu về cho vay dài hạn (đồng),Phải thu dài hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,Lợi thế thương mại,Tài sản dài hạn khác,Các quỹ khác,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ
VIB,2024,493158370000000,1639368000000,9909074000000,105588516000000,0,0,0,821872000000,318316079000000,324009713000000,-5693634000000,50344312000000,50345812000000,42380000000,-43880000000,69457000000,0,0,69667000000,-210000000,795269000000,493206000000,0,302063000000,2360000000,5663284000000,493158370000000,451296561000000,18586891000000,123200585000000,276308322000000,0,5368000000,23262579000000,9932816000000,41861809000000,29793045000000,4333344000000,0,0,7735420000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29791278000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2023,409881373000000,1681071000000,8217767000000,68197574000000,0,0,0,156721000000,262075015000000,266345545000000,-4270530000000,60988364000000,60956278000000,42380000000,-10294000000,69457000000,0,0,69667000000,-210000000,756167000000,466709000000,0,289458000000,2501000000,7720366000000,409881373000000,371941786000000,0,98639721000000,236577266000000,0,6930000000,23896936000000,12820933000000,37939587000000,25369708000000,3470408000000,0,0,9099471000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25368075000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2022,342798925000000,1617931000000,10062633000000,51899808000000,0,0,0,20958000000,228879243000000,231944016000000,-3064773000000,40278720000000,40250383000000,42380000000,-14043000000,69457000000,0,0,69667000000,-210000000,699685000000,407765000000,0,291920000000,2642000000,9164688000000,342798925000000,310147883000000,0,71166441000000,200123940000000,0,8092000000,31774818000000,7074592000000,32651042000000,21078270000000,2517553000000,0,0,9055219000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21076730000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2021,309517129000000,1521580000000,24890710000000,27985117000000,0,0,0,0,199116430000000,201516754000000,-2400324000000,44737181000000,44714514000000,42380000000,-19713000000,69544000000,0,0,69719000000,-175000000,604158000000,302045000000,0,302113000000,2847000000,10430709000000,309517129000000,285226389000000,0,64456470000000,173564890000000,63933000000,8648000000,42298182000000,4834266000000,24290740000000,15532910000000,1786751000000,0,0,6971079000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15531430000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2020,244675677000000,1421993000000,24591537000000,4368977000000,0,0,0,23753000000,167772044000000,169520235000000,-1748191000000,41371557000000,41423474000000,42380000000,-94297000000,73628000000,0,0,137272000000,-63644000000,403882000000,260091000000,0,143791000000,2991000000,4396495000000,244675677000000,226701863000000,0,42487522000000,150349095000000,0,10088000000,28558863000000,5296295000000,17973814000000,11095229000000,1252899000000,0,0,5625686000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11093879000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2019,184531485000000,1159602000000,19040311000000,4011859000000,0,0,0,0,127914086000000,129199808000000,-1285722000000,27841993000000,27882169000000,42380000000,-82556000000,105805000000,0,0,185272000000,-79467000000,365109000000,228214000000,0,136895000000,0,3766419000000,184531485000000,171101841000000,0,27225110000000,122357044000000,2426000000,10702000000,17154847000000,4351712000000,13429644000000,9246246000000,2593032000000,0,0,1590366000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9244914000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2018,139166216000000,1098117000000,2473941000000,8415605000000,0,0,0,0,95260970000000,96138735000000,-877765000000,28577760000000,28676423000000,42380000000,-141043000000,114799000000,0,0,185274000000,-70475000000,350758000000,195020000000,0,155738000000,0,2455993000000,139166216000000,128498571000000,832575000000,29399947000000,84862629000000,20471000000,19818000000,10152430000000,3210701000000,10667645000000,7835885000000,1708703000000,0,0,1123057000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7834673000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2017,123159117000000,1016409000000,3587550000000,10274966000000,0,0,0,0,78919360000000,79864220000000,-944860000000,25609896000000,24893365000000,1570470000000,-853939000000,113947000000,0,0,185259000000,-71312000000,369709000000,219617000000,0,150092000000,16403000000,2295103000000,123159117000000,114371596000000,1000000000000,33695516000000,68377753000000,89431000000,31248000000,9045061000000,2132587000000,8787521000000,6039799000000,2027583000000,0,0,720139000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5644425000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2016,104516957000000,855741000000,4015092000000,9152036000000,0,0,0,11331000000,59164341000000,60179583000000,-1015242000000,28698369000000,26916591000000,2664875000000,-883097000000,124628000000,0,0,185261000000,-60633000000,378176000000,246239000000,0,131937000000,16403000000,2100840000000,104516957000000,95774183000000,0,33261991000000,59260842000000,0,57475000000,2000000000000,1193875000000,8742774000000,6802939000000,1256723000000,0,0,683112000000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5644425000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
VIB,2015,84308832000000,849380000000,6891501000000,761777000000,0,0,0,76363000000,47024555000000,47777031000000,-752476000000,26451598000000,23388818000000,3757699000000,-694919000000,135039000000,0,0,210654000000,-75615000000,395754000000,266390000000,0,129364000000,16605000000,1706260000000,84308832000000,75698023000000,8472331000000,12699666000000,53303964000000,0,72926000000,0,1149136000000,8610809000000,6802946000000,1185521000000,0,0,622342000000,0,,,,,,,,,,,4845000000000,,,,,,,,,,,,,,,,,0,,0
