CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,(Lãi)/lỗ các hoạt động khác,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Lưu chuyển tiền thuần từ HĐKD trước thuế,Tiền thu nhập doanh nghiệp đã trả,Chi từ các quỹ của TCTD,Mua sắm TSCĐ,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)","Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)",Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Tiền thu được từ thanh lý tài sản cố định,Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận
VIB,2024,0.0,0.0,0.0,53057000000,11658937000000,-1492493000000,0,0,-225579000000,3746000000,-221643000000,0,-3170875000000,-4885011000000,66280997000000,0,61395986000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1492493000000,190000000,0,0,0.0,0.0,0.0,0.0,-3171009000000,0.0
VIB,2023,0.0,0.0,0.0,96477000000,12798280000000,29818230000000,0,0,-223136000000,3345000000,-217403000000,0,-3161417000000,26439410000000,39841587000000,0,66280997000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29818230000000,2388000000,0,0,0.0,0.0,0.0,0.0,-3161510000000,0.0
VIB,2022,0.0,0.0,0.0,-23991000000,11469045000000,1917733000000,0,0,-240718000000,2895000000,-235781000000,0,60000000,1682012000000,38159575000000,0,39841587000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1917733000000,2042000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2021,0.0,0.0,0.0,5632000000,7739151000000,9634418000000,0,0,-326118000000,1766000000,-321462000000,0,130000000,9313086000000,28846489000000,0,38159575000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9634418000000,0,0,2890000000,0.0,0.0,0.0,0.0,0,0.0
VIB,2020,0.0,0.0,0.0,68566000000,6099743000000,5903714000000,0,0,-132196000000,1941000000,-130197000000,0,0,5773517000000,23072972000000,0,28846489000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5903714000000,58000000,0,0,0.0,0.0,0.0,0.0,0,0.0
VIB,2019,0.0,0.0,0.0,11677000000,5056257000000,12298574000000,0,0,-97210000000,1766000000,-90880000000,0,-430411000000,11777283000000,11295689000000,0,23072972000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12298574000000,4564000000,0,0,0.0,0.0,0.0,0.0,-430531000000,0.0
VIB,2018,0.0,0.0,0.0,387749000000,3206020000000,-2376139000000,0,0,-74697000000,535000000,-56633000000,0,-265214000000,-2697986000000,13993675000000,0,11295689000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2376139000000,1126000000,0,0,0.0,0.0,0.0,0.0,-265195000000,0.0
VIB,2017,0.0,0.0,0.0,-7349000000,2405753000000,1765576000000,0,0,-89321000000,1380000000,-82033000000,0,-1045360000000,638183000000,13355492000000,0,13993675000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1765576000000,2902000000,0,0,0.0,0.0,0.0,0.0,-282220000000,0.0
VIB,2016,0.0,0.0,0.0,183186000000,1025072000000,5144493000000,0,0,-120436000000,27557000000,265847000000,799425000000,-382506000000,5027834000000,8327658000000,0,13355492000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5144493000000,333131000000,0,25393000000,0.0,0.0,0.0,0.0,-1181924000000,0.0
VIB,2015,0.0,0.0,0.0,212642000000,1015147000000,3486935000000,0,0,-150871000000,3449000000,-64579000000,595000000000,-382504000000,3039852000000,5287806000000,0,8327658000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3486935000000,34567000000,0,48365000000,0.0,0.0,0.0,0.0,-977499000000,0.0
