CP,Năm,Doanh thu (đồng),Tăng trưởng doanh thu (%),Lợi nhuận sau thuế của Cổ đông công ty mẹ (đồng),Tăng trưởng lợi nhuận (%),Thu nhập lãi và các khoản tương tự,Chi phí lãi và các khoản tương tự,Thu nhập lãi thuần,Thu nhập từ hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Kinh doanh ngoại hối và vàng,Chứng khoán kinh doanh,Chứng khoán đầu tư,Hoạt động khác,Chi phí hoạt động khác,Lãi/lỗ thuần từ hoạt động khác,Cố tức đã nhận,Tổng thu nhập hoạt động,Chi phí quản lý DN,LN từ HĐKD trước CF dự phòng,Chi phí dự phòng rủi ro tín dụng,LN trước thuế,Thuế TNDN,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hoãn lại,Cổ đông thiểu số,Lợi nhuận thuần,Cổ đông của Công ty mẹ,Lãi cơ bản trên cổ phiếu,Thu nhập tài chính,Chi phí tiền lãi vay,Doanh thu bán hàng và cung cấp dịch vụ,Các khoản giảm trừ doanh thu,Doanh thu thuần,Giá vốn hàng bán,Lãi gộp,Chi phí tài chính,Lãi/lỗ từ công ty liên doanh,Chi phí bán hàng,_Chi phí quản lý DN,Lãi/Lỗ từ hoạt động kinh doanh,Thu nhập khác,"Lãi lỗ trong công ty liên doanh, liên kết",Thu nhập/Chi phí khác,Lợi nhuận khác
VIB,2024,32442938000000,-0.1157839074543977,7204470000000,-0.15865638108277502,32442938000000,-15692526000000,16750412000000,3202927000000,-1437468000000,1765459000000,500968000000,0,247967000000,1518664000000,-218164000000,1300500000000,3746000000,20569052000000,-7211292000000,13357760000000,-4353458000000,9004302000000,-1799832000000,-1800834000000,1002000000,0,7204470000000,7204470000000,2385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2023,36691187000000,0.3337720328358308,8563053000000,0.011133379865097244,36691187000000,-18207116000000,18484071000000,3613539000000,-1410276000000,2203263000000,548470000000,0,129730000000,850214000000,-58600000000,791614000000,3345000000,22160493000000,-6610743000000,15549750000000,-4845805000000,10703945000000,-2140892000000,-2140892000000,0,0,8563053000000,8563053000000,2837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2022,27509339000000,0.31152918108123995,8468767000000,0.3212320293303171,27509339000000,-12546784000000,14962555000000,4528970000000,-1340589000000,3188381000000,-275032000000,0,-175843000000,408366000000,-53484000000,354882000000,2895000000,18057838000000,-6197114000000,11860724000000,-1279609000000,10581115000000,-2112348000000,-2112348000000,0,0,8468767000000,8468767000000,3971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2021,20975011000000,0.20289519373226267,6409750000000,0.380717113417518,20975011000000,-9158864000000,11816147000000,3520700000000,-778748000000,2741952000000,-86748000000,0,196796000000,280404000000,-59414000000,220990000000,1766000000,14890903000000,-5281843000000,9609060000000,-1598048000000,8011012000000,-1601262000000,-1601262000000,0,0,6409750000000,6409750000000,2997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2020,17437106000000,0.25797790641486196,4642334000000,0.4212378023280662,17437106000000,-8940999000000,8496107000000,2951979000000,-563304000000,2388675000000,20789000000,0,25240000000,362288000000,-79526000000,282762000000,1941000000,11215514000000,-4464872000000,6750642000000,-947635000000,5803007000000,-1160673000000,-1160511000000,-162000000,0,4642334000000,4642334000000,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2019,13861218000000,0.3743241888655217,3266402000000,0.48884212330343707,13861218000000,-7648003000000,6213215000000,2238183000000,-440883000000,1797300000000,-121708000000,0,37147000000,287553000000,-63191000000,224362000000,1766000000,8152082000000,-3437100000000,4714982000000,-632725000000,4082257000000,-815855000000,-815890000000,35000000,0,3266402000000,3266402000000,3894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2018,10085843000000,0.39065894489176517,2193921000000,0.9514026322647671,10085843000000,-5260350000000,4825493000000,1026934000000,-292189000000,734745000000,-25871000000,0,35757000000,598878000000,-83764000000,515114000000,535000000,6085773000000,-2689716000000,3396057000000,-653487000000,2742570000000,-548649000000,-548700000000,51000000,0,2193921000000,2193921000000,3873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2017,7252564000000,0.3705310735061154,1124279000000,1.0014508698098026,7252564000000,-3796588000000,3455976000000,594174000000,-187283000000,406891000000,-62888000000,0,161340000000,160975000000,-34212000000,126763000000,1380000000,4089462000000,-2334457000000,1755005000000,-349935000000,1405070000000,-280791000000,-280779000000,-12000000,0,1124279000000,1124279000000,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2016,5291791000000,0.10376741208673051,561732000000,0.07804385624853666,5291791000000,-2665553000000,2626238000000,391311000000,-135674000000,255637000000,24814000000,0,149445000000,345240000000,-27959000000,317281000000,27556000000,3400971000000,-2092628000000,1308343000000,-606127000000,702216000000,-140484000000,-139806000000,-678000000,0,561732000000,561732000000,1125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIB,2015,4794299000000,-0.02066744888546078,521066000000,-0.0030688579792220714,4794299000000,-2450185000000,2344114000000,278915000000,-112812000000,166103000000,-10503000000,0,88991000000,400962000000,-80609000000,320353000000,20397000000,2929455000000,-1765240000000,1164215000000,-509071000000,655144000000,-134078000000,-140446000000,6368000000,0,521066000000,521066000000,1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
