time,open,high,low,close,volume
2023-09-11 10:00:00,60.5,60.8,60.0,60.5,8935900
2023-09-11 11:00:00,60.5,60.5,59.9,60.3,934200
2023-09-11 13:00:00,60.3,60.4,59.6,59.9,2908900
2023-09-11 14:00:00,59.8,60.0,59.1,59.1,3583000
2023-09-12 10:00:00,60.0,60.4,60.0,60.2,6602200
2023-09-12 11:00:00,60.3,60.4,59.9,60.1,1444900
2023-09-12 13:00:00,60.1,60.2,59.6,59.9,2858300
2023-09-12 14:00:00,59.9,60.3,59.4,60.3,4161800
2023-09-13 10:00:00,60.5,60.6,60.2,60.4,6478300
2023-09-13 11:00:00,60.4,60.6,60.3,60.4,1229200
2023-09-13 13:00:00,60.4,60.5,59.6,59.7,3976900
2023-09-13 14:00:00,59.7,59.8,59.1,59.2,4636600
2023-09-14 10:00:00,58.0,58.1,56.8,57.4,10854100
2023-09-14 11:00:00,57.4,57.4,56.8,56.9,2006200
2023-09-14 13:00:00,57.0,57.1,56.2,56.5,7008400
2023-09-14 14:00:00,56.5,57.1,55.5,55.5,6992300
2023-09-15 10:00:00,55.6,55.7,54.7,54.8,5935300
2023-09-15 11:00:00,54.9,54.9,53.6,53.9,3333300
2023-09-15 13:00:00,53.9,54.5,53.2,54.2,5113000
2023-09-15 14:00:00,54.2,54.6,53.6,53.6,4570800
2023-09-18 10:00:00,52.9,53.1,52.5,52.8,4246300
2023-09-18 11:00:00,52.8,53.0,52.5,52.6,743400
2023-09-18 13:00:00,52.6,52.9,52.4,52.7,4194300
2023-09-18 14:00:00,52.7,53.0,52.5,53.0,2278100
2023-09-19 10:00:00,53.2,53.2,52.7,52.8,3588100
2023-09-19 11:00:00,52.8,52.9,52.6,52.8,987400
2023-09-19 13:00:00,52.8,53.0,52.4,52.6,2999800
2023-09-19 14:00:00,52.6,52.6,51.5,51.7,5214000
2023-09-20 10:00:00,52.0,52.1,51.7,52.0,3555100
2023-09-20 11:00:00,52.0,52.1,51.8,51.9,740500
2023-09-20 13:00:00,51.9,52.5,51.9,52.4,3116000
2023-09-20 14:00:00,52.4,53.5,52.3,53.5,4389900
2023-09-21 10:00:00,53.0,53.2,52.8,52.8,2804600
2023-09-21 11:00:00,52.9,53.0,52.8,52.9,431200
2023-09-21 13:00:00,52.9,52.9,52.6,52.7,2342700
2023-09-21 14:00:00,52.7,52.8,52.2,52.2,2924100
2023-09-22 10:00:00,51.0,51.1,49.8,50.1,9355900
2023-09-22 11:00:00,50.1,50.5,50.0,50.3,1390900
2023-09-22 13:00:00,50.2,50.8,50.1,50.7,2896500
2023-09-22 14:00:00,50.7,50.8,50.0,50.0,3808600
2023-09-25 10:00:00,49.45,49.85,49.2,49.6,3950400
2023-09-25 11:00:00,49.6,49.7,49.45,49.55,449500
2023-09-25 13:00:00,49.5,49.65,48.9,49.1,2680900
2023-09-25 14:00:00,49.1,49.1,46.5,46.5,9754600
2023-09-26 10:00:00,45.55,46.5,45.1,45.6,5932600
2023-09-26 11:00:00,45.6,45.7,45.1,45.25,923900
2023-09-26 13:00:00,45.15,46.0,44.55,45.95,3819000
2023-09-26 14:00:00,45.9,46.5,44.65,45.0,4437900
2023-09-27 10:00:00,44.75,45.0,44.55,44.8,3231600
2023-09-27 11:00:00,44.75,44.9,44.4,44.55,1119500
2023-09-27 13:00:00,44.55,44.7,44.05,44.25,2255700
2023-09-27 14:00:00,44.25,45.2,44.2,45.2,2283600
2023-09-28 10:00:00,44.9,44.95,44.1,44.55,2530500
2023-09-28 11:00:00,44.5,44.85,44.4,44.6,363000
2023-09-28 13:00:00,44.6,44.75,44.2,44.65,1124400
2023-09-28 14:00:00,44.65,45.0,44.1,45.0,2869200
2023-09-29 10:00:00,47.7,48.15,47.2,47.45,9260600
2023-09-29 11:00:00,47.45,47.5,47.2,47.25,491200
2023-09-29 13:00:00,47.35,47.35,46.9,47.2,1915000
2023-09-29 14:00:00,47.2,47.3,46.85,46.85,1901200
2023-10-02 10:00:00,47.2,47.55,47.1,47.1,2125300
2023-10-02 11:00:00,47.1,47.25,47.05,47.2,226400
2023-10-02 13:00:00,47.2,47.3,46.7,46.8,1353300
2023-10-02 14:00:00,46.8,47.1,46.65,46.9,1379800
2023-10-03 10:00:00,45.8,46.0,45.5,45.5,2642500
2023-10-03 11:00:00,45.55,45.6,44.8,45.05,1317200
2023-10-03 13:00:00,44.9,45.0,43.85,44.5,3961700
2023-10-03 14:00:00,44.5,44.75,43.85,44.5,4975400
2023-10-04 10:00:00,44.25,45.1,44.15,44.6,2035000
2023-10-04 11:00:00,44.6,45.9,44.5,45.6,862200
2023-10-04 13:00:00,45.55,46.3,45.55,46.0,2295500
2023-10-04 14:00:00,46.0,46.3,45.9,46.1,1525600
2023-10-05 10:00:00,46.2,46.2,45.6,45.75,1520200
2023-10-05 11:00:00,45.75,45.9,45.7,45.85,361400
2023-10-05 13:00:00,45.8,45.9,45.4,45.6,1143900
2023-10-05 14:00:00,45.6,45.6,44.8,45.6,2332700
2023-10-06 10:00:00,45.8,45.85,45.4,45.55,1739600
2023-10-06 11:00:00,45.55,45.6,45.25,45.6,315400
2023-10-06 13:00:00,45.6,46.25,45.35,45.9,2046000
2023-10-06 14:00:00,45.9,46.15,45.8,45.95,2091900
2023-10-09 10:00:00,45.8,45.95,45.5,45.65,1949400
2023-10-09 11:00:00,45.65,45.8,45.55,45.7,250400
2023-10-09 13:00:00,45.7,45.85,45.3,45.5,1353900
2023-10-09 14:00:00,45.45,45.7,45.2,45.2,1336000
2023-10-10 10:00:00,45.9,46.1,45.75,45.85,2507700
2023-10-10 11:00:00,45.9,45.9,45.75,45.8,280400
2023-10-10 13:00:00,45.8,45.8,45.3,45.45,1161000
2023-10-10 14:00:00,45.45,45.5,44.9,44.9,1912500
2023-10-11 10:00:00,45.05,45.35,45.0,45.2,1178100
2023-10-11 11:00:00,45.2,45.25,45.05,45.15,231700
2023-10-11 13:00:00,45.15,45.25,45.0,45.1,1087500
2023-10-11 14:00:00,45.1,45.45,45.0,45.45,1132400
2023-10-12 10:00:00,46.95,47.3,46.55,46.75,4445400
2023-10-12 11:00:00,46.75,46.85,46.7,46.7,317500
2023-10-12 13:00:00,46.7,47.0,46.5,46.75,1939100
2023-10-12 14:00:00,46.75,46.9,46.5,46.5,1008800
2023-10-13 10:00:00,46.3,46.35,45.9,45.95,1802000
2023-10-13 11:00:00,45.95,46.0,45.75,45.85,469900
2023-10-13 13:00:00,45.7,45.8,45.55,45.65,1184700
2023-10-13 14:00:00,45.65,46.15,45.65,46.1,1601300
2023-10-16 10:00:00,45.7,45.85,45.55,45.65,1287600
2023-10-16 11:00:00,45.65,45.8,45.6,45.6,260600
2023-10-16 13:00:00,45.6,45.7,45.5,45.5,927500
2023-10-16 14:00:00,45.5,45.55,45.0,45.0,2363700
2023-10-17 10:00:00,44.8,44.95,44.7,44.9,1650500
2023-10-17 11:00:00,44.85,45.05,44.85,45.05,361700
2023-10-17 13:00:00,45.05,45.1,44.95,45.05,786200
2023-10-17 14:00:00,45.05,45.05,44.0,44.0,2046600
2023-10-18 10:00:00,43.9,44.5,43.9,44.5,2574500
2023-10-18 11:00:00,44.3,44.55,44.15,44.4,340500
2023-10-18 13:00:00,44.4,44.4,43.95,43.95,1030600
2023-10-18 14:00:00,43.95,44.0,41.5,43.8,4923600
2023-10-19 10:00:00,43.0,43.0,42.4,42.5,2070000
2023-10-19 11:00:00,42.55,42.75,42.5,42.7,340700
2023-10-19 13:00:00,42.7,43.05,42.5,42.9,884600
2023-10-19 14:00:00,42.9,43.45,42.7,43.2,2087100
2023-10-20 10:00:00,42.75,42.75,42.15,42.15,1556900
2023-10-20 11:00:00,42.2,42.2,41.85,41.9,642200
2023-10-20 13:00:00,41.9,42.7,41.85,42.4,1854700
2023-10-20 14:00:00,42.4,43.35,42.35,43.35,1899300
2023-10-23 10:00:00,43.0,43.15,42.85,42.9,1269400
2023-10-23 11:00:00,42.9,42.95,42.8,42.8,216100
2023-10-23 13:00:00,42.8,43.1,42.7,42.8,1351000
2023-10-23 14:00:00,42.85,43.4,42.6,43.4,2063900
2023-10-24 10:00:00,43.35,43.35,43.0,43.05,987900
2023-10-24 11:00:00,43.05,43.45,42.9,43.3,237800
2023-10-24 13:00:00,43.3,43.45,43.0,43.3,624300
2023-10-24 14:00:00,43.3,43.45,43.15,43.45,971800
2023-10-25 10:00:00,43.95,44.05,43.9,43.95,1832600
2023-10-25 11:00:00,43.95,43.95,43.9,43.95,135900
2023-10-25 13:00:00,43.9,45.3,43.85,44.75,3309200
2023-10-25 14:00:00,44.75,44.8,44.45,44.7,947900
2023-10-26 10:00:00,41.6,41.6,41.6,41.6,6908900
2023-10-26 11:00:00,41.6,41.6,41.6,41.6,284300
2023-10-26 13:00:00,41.6,41.6,41.6,41.6,752200
2023-10-26 14:00:00,41.6,41.85,41.6,41.6,7161400
2023-10-27 10:00:00,40.3,41.0,39.85,39.95,3735500
2023-10-27 11:00:00,40.0,40.5,39.85,39.85,559800
2023-10-27 13:00:00,39.85,40.3,38.7,39.5,6141000
2023-10-27 14:00:00,39.5,41.6,39.5,41.6,3561800
2023-10-30 10:00:00,39.95,40.8,39.75,40.25,1457500
2023-10-30 11:00:00,40.25,41.3,40.0,41.2,651800
2023-10-30 13:00:00,41.25,41.5,40.25,41.4,1025100
2023-10-30 14:00:00,41.45,41.55,40.5,41.5,2928400
2023-10-31 10:00:00,41.15,41.25,40.9,41.05,1995500
2023-10-31 11:00:00,41.05,41.5,41.05,41.45,458000
2023-10-31 13:00:00,41.35,41.35,40.7,41.0,1095800
2023-10-31 14:00:00,41.0,41.05,40.45,40.5,2389100
2023-11-01 10:00:00,39.9,39.95,39.6,39.85,1177700
2023-11-01 11:00:00,39.85,40.0,39.75,39.95,355400
2023-11-01 13:00:00,39.95,39.95,39.45,39.9,1091300
2023-11-01 14:00:00,39.9,40.4,39.75,40.4,1994500
2023-11-02 10:00:00,39.7,40.0,39.65,40.0,1777800
2023-11-02 11:00:00,39.95,40.3,39.95,40.1,784300
2023-11-02 13:00:00,40.1,41.2,40.0,40.95,2057200
2023-11-02 14:00:00,40.95,41.5,40.9,41.45,1428200
2023-11-03 10:00:00,41.45,41.85,41.45,41.65,1650300
2023-11-03 11:00:00,41.65,42.1,41.45,42.0,742200
2023-11-03 13:00:00,42.0,42.0,41.55,41.8,576000
2023-11-03 14:00:00,41.75,42.0,41.6,41.6,1126400
2023-11-06 10:00:00,42.05,42.3,41.9,41.95,1517400
2023-11-06 11:00:00,41.9,42.05,41.85,42.0,261800
2023-11-06 13:00:00,42.0,42.15,41.65,42.0,1305700
2023-11-06 14:00:00,42.0,42.1,41.7,42.1,1209100
2023-11-07 10:00:00,41.7,41.8,41.6,41.7,846900
2023-11-07 11:00:00,41.7,41.7,41.55,41.55,137700
2023-11-07 13:00:00,41.55,41.7,41.25,41.3,639400
2023-11-07 14:00:00,41.3,42.1,41.25,42.05,2598000
2023-11-08 10:00:00,42.2,42.5,42.1,42.3,1409300
