CP,Năm,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VIC,2024,400374790000000,42669127000000,6593349000000,190335782000000,112798518000000,47978014000000,438841410000000,23359127000000,182817531000000,13298635000000,27459006000000,0,19503718000000,839216200000000,685698650000000,514844802000000,170853848000000,153517550000000,153517550000000,15306530000000,45234039000000,0,15578855000000,839216200000000,42637187000000,1462018000000,124864801000000,32606386000000,0,38236616000000,38785833000000,3688998000000,126913155000000,139678315000000,97216594000000,4517414000000,7924151000000,19388427000000,56230954000000,81126350000000
VIC,2023,343536472000000,27982623000000,6998671000000,168114731000000,92623746000000,47816701000000,324119295000000,1147876000000,160409312000000,37538324000000,14605235000000,0,9817377000000,667655767000000,519434081000000,401298366000000,118135715000000,148221686000000,148221686000000,22021073000000,14105693000000,0,34480682000000,667655767000000,37390279000000,7637650000000,102040889000000,36094273000000,0,38236616000000,38785833000000,0,97018190000000,45755699000000,116235201000000,492625000000,6195116000000,13892460000000,6107714000000,8237482000000
VIC,2022,283116653000000,26213302000000,6735880000000,126232017000000,98587507000000,25347947000000,294290587000000,2486207000000,119742444000000,38307078000000,11145373000000,0,9454816000000,577407240000000,441751791000000,298411509000000,143340282000000,135655449000000,135655449000000,18481872000000,14346643000000,0,25562645000000,577407240000000,37954852000000,8256866000000,104024054000000,13300057000000,0,38139356000000,38688573000000,9866970000000,119804341000000,74724604000000,40594457000000,764567000000,6028493000000,10691516000000,5722151000000,9932866000000
VIC,2021,161374270000000,18352236000000,8080448000000,72186627000000,50425325000000,12329634000000,267010195000000,455249000000,130695959000000,35133258000000,9230804000000,0,8025884000000,428384465000000,268812599000000,146445324000000,122367275000000,159571866000000,159571866000000,18481872000000,4718123000000,0,59097849000000,428384465000000,21271470000000,14824123000000,52534314000000,3625038000000,0,38052148000000,38675533000000,9488495000000,102011250000000,21680341000000,20036906000000,1144455000000,5714976000000,8831485000000,143707000000,598956000000
VIC,2020,166013805000000,29403688000000,10413625000000,52395927000000,62495269000000,11305296000000,256489962000000,6015000000000,125639869000000,34725866000000,7413828000000,0,13409131000000,422503767000000,286651052000000,169222607000000,117428445000000,135852715000000,135852715000000,7235206000000,4359645000000,0,56656838000000,422503767000000,15346915000000,8539910000000,63606541000000,3054163000000,0,33824306000000,34447691000000,5505646000000,98309224000000,37277334000000,25971982000000,2488464000000,8342477000000,4576705000000,1364649000000,7379649000000
VIC,2019,197392876000000,18446968000000,11172867000000,63871798000000,83808756000000,20092487000000,206347877000000,1207650000000,108268894000000,33872258000000,3950881000000,0,10733664000000,403740753000000,283152164000000,181293250000000,101858914000000,120588589000000,120588589000000,7235206000000,3119758000000,0,44171115000000,403740753000000,16519157000000,21022039000000,85969752000000,12863952000000,0,33685755000000,34309140000000,10259215000000,84430440000000,51470178000000,32995790000000,2374139000000,6681695000000,1707083000000,256782000000,1464432000000
VIC,2018,135401658000000,13557055000000,1951598000000,50075353000000,55228146000000,14589506000000,152725518000000,55000000000,49456326000000,26743666000000,6068158000000,0,11567704000000,288127176000000,188960462000000,109245614000000,79714848000000,99166714000000,99166714000000,7235206000000,5143008000000,0,45521466000000,288127176000000,16677008000000,5077857000000,55739534000000,9389248000000,0,31916212000000,32756212000000,10205665000000,61770712000000,25203958000000,19115963000000,4151695000000,5570350000000,1594869000000,305541000000,360541000000
VIC,2017,100246615638617,8141750027686,672569770071,27335112175074,56058815191085,8038368474701,113545441345980,269026341080,35649944002033,18198420908900,6485785915017,0,15155507789052,213792056984597,161235046806942,123624630823022,37610415983920,52557010177655,52557010177655,0,5583084564118,0,20882759865187,213792056984597,8675566825227,7684239828536,56403215413508,1966598271806,0,26377079540000,26377079540000,0,31219525897044,54822434640779,18140968057370,4640531015193,3061950076912,2176543861811,294618108302,563644449382
VIC,2016,92976241715191,9833332219401,494156904807,18254656305786,55175220368884,9218875916313,90499384229533,58989915115,26880911532443,17362127296491,3360331864355,0,8201079333669,183475625944724,135184454789211,97627931086891,37556523702320,48291171155513,48291171155513,0,1887422518069,0,20463788319550,183475625944724,5229186165035,3224258638813,55272215830425,5011670892619,0,26377079540000,26377079540000,0,34168826603603,47537280868648,5590652159634,5619762801574,2252711733160,1616241288531,406516702082,465506617197
VIC,2015,67699619665953,6938465104490,11142979590895,13848128025192,28027417689166,7742629256210,77854737886022,62559839165,19837150938774,16827664243533,9597557595727,0,13222747664655,145554357551975,107969432655182,64900384271695,43069048383487,37584924896793,37584924896793,0,1571190449441,0,14480205072598,145554357551975,6695026549290,1763123912802,28085895835621,5511521426816,0,18681880870000,18681880870000,2382401760582,33122684524987,20221096466017,1424617794094,8614693556645,1437896150549,2882019433681,191764239314,254324078479
