CP,Năm,Lãi/Lỗ ròng trước thuế,Khấu hao TSCĐ,Dự phòng RR tín dụng,Lãi/Lỗ chênh lệch tỷ giá chưa thực hiện,Lãi/Lỗ từ thanh lý tài sản cố định,Lãi/Lỗ từ hoạt động đầu tư,Thu nhập lãi,Thu lãi và cổ tức,Lưu chuyển tiền thuần từ HĐKD trước thay đổi VLĐ,Tăng/Giảm các khoản phải thu,Tăng/Giảm hàng tồn kho,Tăng/Giảm các khoản phải trả,Tăng/Giảm chi phí trả trước,Chi phí lãi vay đã trả,Tiền thu nhập doanh nghiệp đã trả,Tiền thu khác từ các hoạt động kinh doanh,Tiền chi khác từ các hoạt động kinh doanh,Lưu chuyển tiền tệ ròng từ các hoạt động SXKD,Mua sắm TSCĐ,Tiền thu được từ thanh lý tài sản cố định,"Tiền chi cho vay, mua công cụ nợ của đơn vị khác (đồng)","Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác (đồng)",Đầu tư vào các doanh nghiệp khác,Tiền thu từ việc bán các khoản đầu tư vào doanh nghiệp khác,Tiền thu cổ tức và lợi nhuận được chia,Lưu chuyển từ hoạt động đầu tư,Tăng vốn cổ phần từ góp vốn và/hoặc phát hành cổ phiếu,"Chi trả cho việc mua lại, trả cổ phiếu",Tiền thu được các khoản đi vay,Tiền trả các khoản đi vay,Tiền thanh toán vốn gốc đi thuê tài chính,Cổ tức đã trả,Cố tức đã nhận,Lưu chuyển tiền từ hoạt động tài chính,Lưu chuyển tiền thuần trong kỳ,Tiền và tương đương tiền,Ảnh hưởng của chênh lệch tỷ giá,Tiền và tương đương tiền cuối kỳ
VIC,2024,16724348000000,22745782000000,7813081000000,2974526000000,0,-46368099000000,22892295000000,0,26781933000000,-84484309000000,-19495171000000,134900908000000,-6661220000000,-21045361000000,-10619568000000,0,0,17877212000000,-50726444000000,2080614000000,-29948350000000,16167302000000,-49865661000000,80885861000000,3502910000000,-27903768000000,15659006000000,0,165900455000000,-156180213000000,0,-666188000000,0,24713060000000,14686504000000,27982623000000,0,42669127000000
VIC,2023,13769352000000,17605842000000,6442431000000,2523845000000,0,-17296045000000,17245871000000,0,40291296000000,-50508784000000,-9345650000000,17867029000000,650334000000,-14438520000000,-6880320000000,0,0,-20011668000000,-54548151000000,5774148000000,-13925224000000,12921899000000,-26339194000000,47294434000000,1836680000000,-26985408000000,10752548000000,0,115658072000000,-77620096000000,-11298000000,-60950000000,0,48718276000000,1721200000000,26213302000000,48121000000,27982623000000
VIC,2022,12755518000000,21284073000000,3325467000000,1847813000000,0,-35207028000000,10758322000000,0,14764165000000,-56073019000000,-47051573000000,107552634000000,-2538613000000,-9901728000000,-4504574000000,0,0,4803840000000,-75160452000000,3323256000000,-5398167000000,11158782000000,-11636655000000,50942091000000,5812574000000,-20958571000000,4723482000000,0,70060373000000,-47287263000000,0,-3382021000000,0,24114571000000,7959840000000,18352236000000,-98774000000,26213302000000
VIC,2021,3146451000000,14919628000000,10100081000000,-508816000000,0,-7287409000000,10288893000000,0,30658828000000,-16715014000000,12889865000000,-24749053000000,2669686000000,-9217300000000,-10731071000000,0,0,-14205904000000,-36840586000000,79459000000,-12270575000000,12955430000000,-4738560000000,16765078000000,1665964000000,-22383790000000,20461915000000,-4250000000,70266832000000,-63334265000000,0,-1718207000000,0,25672025000000,-10917669000000,29403688000000,-133783000000,18352236000000
VIC,2020,13942555000000,10063535000000,6833379000000,230354000000,0,-20863970000000,11402385000000,0,21608238000000,5078359000000,16938693000000,-9604723000000,-1745361000000,-10552304000000,-9409698000000,0,0,15954926000000,-27543989000000,1249983000000,-4183635000000,9963339000000,-21962349000000,25139678000000,1123131000000,-16213842000000,8974955000000,-42980000000,41249657000000,-38958120000000,0,-7188000000,0,11216324000000,10957408000000,18446968000000,-688000000,29403688000000
VIC,2019,15637424000000,8337680000000,2629024000000,6516000000,0,-12853241000000,7525182000000,0,21282585000000,-12230443000000,-16411200000000,39864097000000,-1909881000000,-7221315000000,-7941805000000,0,0,15967088000000,-55175557000000,422482000000,-16422931000000,38074294000000,-61532925000000,34006507000000,762065000000,-59866065000000,24156142000000,-10703530000000,63707975000000,-26182542000000,0,-2188673000000,0,48789372000000,4890395000000,13557055000000,-482000000,18446968000000
VIC,2018,13900649000000,5155271000000,241330000000,192368000000,0,-6703086000000,4283365000000,0,17069897000000,1520338000000,4848007000000,-24972741000000,1038687000000,-3740381000000,-5760402000000,0,0,-9983731000000,-44772133000000,1305734000000,-21453789000000,20729470000000,-46807073000000,27524119000000,1160050000000,-62313622000000,24903259000000,0,91020447000000,-36981047000000,0,-1222822000000,0,77719837000000,5422484000000,8141750000000,-7179000000,13557055000000
VIC,2017,9114281478576,3985433267539,689528177247,50260047814,0,-1015255359806,3401633686717,0,16225881298087,-6730252290761,-1227813074755,18034651110034,-2563290205702,-3062709959110,-3890618182474,0,0,16785848695319,-19222683562506,-55811033805,-13120643139535,5871047533029,-15153204450348,13991102708588,1173726980704,-26516464963873,13000000000,-30000000000,31918446307125,-22256448989518,0,-1604550206376,0,8040447111231,-1690169157323,9833332219401,-1413034392,8141750027686
VIC,2016,6737836230994,3311557843562,141826931929,-64931257744,0,-5967033063420,4308066793490,0,8467323478811,-335155028311,-13486963673195,18604163811522,-2720086885910,-3736500947012,-2294234119932,0,0,4498546635973,-14301529343969,66786752382,-3432087468527,22880893204796,-22459345068846,15306966443347,1107787615493,-830527865324,1310346390000,0,20814923248321,-21563433421832,0,-1339903941515,0,-778067725026,2889951045623,6938465104490,4916069288,9833332219401
VIC,2015,2852100965401,2215531092798,180300335624,392125548103,0,-1894455580399,2721940288870,0,6467542650397,-4510794740749,-7424030776827,40818058572231,-1756985859776,-4381857928346,-1421314104431,0,0,27902940507499,-14514819118699,38823385497,-18880888911471,8840834375998,-20185422456828,4450260724277,1152731210286,-39098480790940,7544319623168,0,20664801635454,-16711194036085,0,-974185674300,0,10523741548237,-671798735204,7607513719673,2750120021,6938465104490
