time,open,high,low,close,volume
2023-09-11 10:00:00,101.5,101.7,100.6,100.8,498900
2023-09-11 11:00:00,100.7,101.4,100.7,100.9,39700
2023-09-11 13:00:00,100.9,101.2,100.1,100.8,391500
2023-09-11 14:00:00,100.8,100.9,99.0,99.0,301600
2023-09-12 10:00:00,99.3,99.7,99.3,99.4,403500
2023-09-12 11:00:00,99.4,99.6,99.4,99.6,39700
2023-09-12 13:00:00,99.5,100.4,99.2,100.4,319800
2023-09-12 14:00:00,100.4,101.9,100.4,101.9,237600
2023-09-13 10:00:00,100.9,101.0,99.5,100.2,514200
2023-09-13 11:00:00,100.2,100.4,99.8,100.2,44500
2023-09-13 13:00:00,100.1,100.3,99.5,99.7,266800
2023-09-13 14:00:00,99.7,100.2,99.0,99.0,154700
2023-09-14 10:00:00,99.7,100.0,99.1,99.9,443000
2023-09-14 11:00:00,99.9,99.9,99.4,99.6,80300
2023-09-14 13:00:00,99.6,100.0,98.9,99.0,272500
2023-09-14 14:00:00,99.0,99.5,97.0,99.0,221900
2023-09-15 10:00:00,100.1,100.1,99.1,99.2,348600
2023-09-15 11:00:00,99.2,99.7,98.8,99.3,74800
2023-09-15 13:00:00,99.4,99.7,99.0,99.4,300300
2023-09-15 14:00:00,99.5,99.7,98.7,99.7,212800
2023-09-18 10:00:00,98.8,99.0,98.1,98.2,456100
2023-09-18 11:00:00,98.2,98.3,98.0,98.1,95000
2023-09-18 13:00:00,98.2,99.2,98.0,98.5,237200
2023-09-18 14:00:00,98.6,98.9,98.3,98.8,87700
2023-09-19 10:00:00,98.8,98.9,98.3,98.4,446900
2023-09-19 11:00:00,98.4,98.4,98.0,98.1,68100
2023-09-19 13:00:00,98.1,98.5,97.9,98.4,287700
2023-09-19 14:00:00,98.4,99.4,97.8,99.4,125600
2023-09-20 10:00:00,98.7,99.0,98.7,99.0,476600
2023-09-20 11:00:00,99.0,99.0,98.8,98.9,69200
2023-09-20 13:00:00,98.9,99.1,98.5,98.6,244200
2023-09-20 14:00:00,98.6,99.4,98.5,99.4,129700
2023-09-21 10:00:00,98.7,98.8,98.2,98.6,477900
2023-09-21 11:00:00,98.6,98.9,98.3,98.9,20400
