CP,Năm,Kỳ,TÀI SẢN NGẮN HẠN (đồng),Tiền và tương đương tiền (đồng),Giá trị thuần đầu tư ngắn hạn (đồng),Các khoản phải thu ngắn hạn (đồng),Hàng tồn kho ròng,Tài sản lưu động khác,TÀI SẢN DÀI HẠN (đồng),Phải thu về cho vay dài hạn (đồng),Tài sản cố định (đồng),Giá trị ròng tài sản đầu tư,Đầu tư dài hạn (đồng),Lợi thế thương mại,Tài sản dài hạn khác,TỔNG CỘNG TÀI SẢN (đồng),NỢ PHẢI TRẢ (đồng),Nợ ngắn hạn (đồng),Nợ dài hạn (đồng),VỐN CHỦ SỞ HỮU (đồng),Vốn và các quỹ (đồng),Các quỹ khác,Lãi chưa phân phối (đồng),Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG CỘNG NGUỒN VỐN (đồng),Trả trước cho người bán ngắn hạn (đồng),Phải thu về cho vay ngắn hạn (đồng),"Hàng tồn kho, ròng (đồng)",Tài sản lưu động khác (đồng),Quỹ đầu tư và phát triển (đồng),Cổ phiếu phổ thông (đồng),Vốn góp của chủ sở hữu (đồng),Trái phiếu chuyển đổi (đồng),Vay và nợ thuê tài chính dài hạn (đồng),Người mua trả tiền trước ngắn hạn (đồng),Vay và nợ thuê tài chính ngắn hạn (đồng),Lợi thế thương mại (đồng),Trả trước dài hạn (đồng),Tài sản dài hạn khác (đồng),Phải thu dài hạn khác (đồng),Phải thu dài hạn (đồng)
VJC,2024,4,42388578733114,4558984549152,3825833411115,31756528415194,2005435760243,241796597410,57135100438279,921644963530,14165912678388,0,149417024400,0,10222925205494,99523679171393,82593526197906,33852758118279,48740768079627,16930152973487,16930152973487,0,10675301508086,0,22098467102,99523679171393,769368218015,1035552453293,2005435760243,0,0,5416113340000,5416113340000,0,30052392436812,1515557303596,13561623589695,0,10222925205494,149417024400,21557321326234,29051489946336
VJC,2024,3,43484442786804,2060926374159,2672864582042,37282593011142,1151714215562,316344603899,50281906529049,895783751940,9865100002599,0,149417024400,0,11906376109571,93766349315853,77043141799116,38937860268433,38105281530683,16723207516737,16723207516737,0,10651935728519,0,24020540769,93766349315853,2178026901431,511091531793,1151714215562,0,0,5416113340000,5416113340000,0,20079133721187,1203706257836,17600702818008,0,11906376109571,149417024400,20841616799099,27784862099134
VJC,2024,2,43981809281627,2597624069785,2412327124731,37753479429286,997508725571,220869932254,48224115181770,918763482797,11136549548608,0,149417024400,0,9488883139910,92205924463397,75688242579963,38633994063426,37054248516537,16517681883434,16517681883434,0,10080350253152,0,24900460456,92205924463397,2507703366912,509466531793,997508725571,0,0,5416113340000,5416113340000,0,18564967397002,1015628555930,16801094509366,0,9488883139910,149417024400,20507002358884,27097595166415
VJC,2024,1,38743314155395,3040653480907,799022311096,33765953784477,962536753065,175147825850,47084857269199,904396844465,10646925137268,0,149417024400,0,8775107593608,85828171424594,69776185000569,35373042513810,34403142486759,16051986424025,16051986424025,0,9785708182142,0,24214983218,85828171424594,1751527323694,476116531793,962536753065,0,0,5416113340000,5416113340000,0,17283543657057,2221704082582,13543492835312,0,8775107593608,149417024400,17935717265716,27076668727180
VJC,2023,4,37272431505972,5050743156638,613343871096,30695940657487,703384543264,209019277487,47408630772454,896128275641,8865102742865,0,149417024400,0,8411169336979,84681062278426,69048472310863,36187381369961,32861090940902,15632589967563,15632589967563,0,9361974796142,0,21258359337,84681062278426,1958751910473,457000000000,703384543264,0,0,5416113340000,5416113340000,0,17224224029089,2331776667248,13878114601654,0,8256558289835,149417024400,18631914227018,29649890834721
VJC,2023,3,33866777302218,2076624028013,558993871096,29945494025486,1115793253802,169872123821,42671722964439,886481612013,5840778511635,0,149417024400,0,8533200402960,76538500266657,61324803109474,29553467499399,31771335610075,15213697157183,15213697157183,0,9235814822904,0,-4428072598,76538500266657,898271530747,657000000000,1115793253802,0,0,5416113340000,5416113340000,0,16190909946249,2136129516418,7106512189906,0,8162635279723,149417024400,18109092406014,27814223329335
VJC,2023,2,31481522947844,2165034774500,528875421096,27504897102281,1075114220273,207601429694,39743501493825,851167932661,5923192002166,0,149417024400,0,8596444512261,71225024441669,56352119610987,29834850355055,26517269255932,14872904830682,14872904830682,0,9154052462527,0,21871532811,71225024441669,676998742149,657000000000,1075114220273,0,0,5416113340000,5416113340000,0,11801175763255,2119173158856,7129638119324,0,8299478006841,149417024400,17342709515451,24758058273474
VJC,2023,1,33805248016606,1982370170345,509775421096,30053949812178,1028075400318,231077212669,35471643896394,868566379561,6019553623299,0,149417024400,0,7720356536609,69276891913000,54127724359193,29759919894114,24367804465079,15149167553807,15149167553807,0,9191140442451,0,20958162449,69276891913000,3005345557323,657000000000,1028075400318,0,0,5416113340000,5416113340000,0,10676767140163,2045783491235,8126827048442,0,7385121173822,149417024400,15391908638599,21258547201406
VJC,2022,4,31047872934405,1858261735520,687775421096,26928983183585,982716071675,590136522529,36098931070315,818221855860,5827316201964,0,149417024400,0,7466926655978,67146804004720,52905348036674,30822468393678,22082879642996,14241455968046,14241455968046,0,9109576131129,0,20435833167,67146804004720,2064286286755,657000000000,982716071675,0,0,5416113340000,5416113340000,0,10309745847108,1843104055915,7173459139590,0,7228154288804,149417024400,20170278687773,22121135796687
VJC,2022,3,40400479908669,2067794475466,4475421096,36715578213918,905075666273,707556131916,27069703986459,826512358699,2024117317392,0,149417024400,0,7132457622227,67470183895128,49938102669022,26970777048541,22967325620481,17532081226106,17532081226106,0,11465788667064,0,23037003908,67470183895128,2484236967027,662145921500,905075666273,0,0,5416113340000,5416113340000,0,10825739167208,667950796563,8615933393530,0,7132457622227,149417024400,15214887005344,17163956083066
